,term,variable,value,p,padj,q
0,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,0.14652341932644586,0.14652341932644586,0.3623697467213177,0.0715516420697029
1,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,5BA_diffexpr-nonnaive-cluster1,0.012761908156686569,0.012761908156686569,0.19568259173586072,0.036847703074639165
2,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,0.19268043030534254,0.19268043030534254,0.38874121903709463,0.07442741614197695
3,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,0.23931099903701153,0.23931099903701153,0.39315378413223323,0.07442741614197695
4,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,5BA_diffexpr-nonnaive-cluster1,0.43029311587420976,0.43029311587420976,0.5101413229436508,0.10081844326949622
5,KEGG_MM_RAS_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,0.16527752849512836,0.16527752849512836,0.3690663257658206,0.07293800904462859
6,KEGG_MM_TNF_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,0.12414073421130922,0.12414073421130922,0.3320042891697805,0.06561349588335584
7,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,0.0995446461794013,0.0995446461794013,0.3179898419619764,0.060811136059647664
61,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.30323729657702675,0.30323729657702675,0.41763220486656377,0.08253600886690984
64,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.1265372698203878,0.1265372698203878,0.3345238167665424,0.06611142623844712
66,KEGG_MM_RAS_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.3376623945721193,0.3376623945721193,0.4387703432293076,0.08623977948517594
67,KEGG_MM_TNF_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.26086522925291367,0.26086522925291367,0.3846089918472445,0.07600968218324991
69,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,5BB_diffexpr-nonnaive-cluster2,0.044993299112186906,0.044993299112186906,0.23519224535915884,0.04617139697983583
70,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.23230943068089474,0.23230943068089474,0.3957864374563392,0.07442741614197695
71,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.26086522925291367,0.26086522925291367,0.3846089918472445,0.07600968218324991
72,KEGG_MM_RAP1_SIGNALING_PATHWAY,5BB_diffexpr-nonnaive-cluster2,0.045772425960920765,0.045772425960920765,0.2339479549113728,0.04617139697983583
132,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,5BC_diffexpr-nonnaive-cluster3,0.03612622697048227,0.03612622697048227,0.23740092009174063,0.04617139697983583
134,KEGG_MM_PROLACTIN_SIGNALING_PATHWAY,5BC_diffexpr-nonnaive-cluster3,0.01970033231178651,0.01970033231178651,0.20595801962322263,0.040703165933443204
183,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.1799680096902055,0.1799680096902055,0.37974901127291066,0.07442741614197695
185,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.31568132475649285,0.31568132475649285,0.42460061224557516,0.08386685873305146
186,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.2442065330788131,0.2442065330788131,0.38470892197347273,0.07442741614197695
187,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,5BD_diffexpr-nonnaive-cluster4,0.5875008235631178,0.5875008235631178,0.6496403337476784,0.12838741773669535
192,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.09167256524830386,0.09167256524830386,0.31946500010772555,0.060811136059647664
196,KEGG_MM_AMPK_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.7202322863120177,0.7202322863120177,0.7461866029358741,0.14746770809009374
197,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.48834954039673806,0.48834954039673806,0.5644240919158279,0.11099853563506629
198,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,5BD_diffexpr-nonnaive-cluster4,0.05034743340299227,0.05034743340299227,0.23632468740180043,0.04646036158641139
199,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,5BD_diffexpr-nonnaive-cluster4,0.23266821658927433,0.23266821658927433,0.390610874565935,0.07442741614197695
200,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,5BD_diffexpr-nonnaive-cluster4,0.4128265351508207,0.4128265351508207,0.4919694460346568,0.0972271632479559
201,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.6787766575646523,0.6787766575646523,0.7194406969579265,0.14218195592053884
202,KEGG_MM_CARBON_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.1590939653228969,0.1590939653228969,0.3622931883590722,0.0715994443397376
203,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,5BD_diffexpr-nonnaive-cluster4,0.522406567350228,0.522406567350228,0.5948193588641209,0.117553232977099
204,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.11888245725328139,0.11888245725328139,0.3294333152801774,0.06478409029128358
205,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.6312203164409564,0.6312203164409564,0.684814494251981,0.13533883285612275
206,KEGG_MM_FOLATE_BIOSYNTHESIS,5BD_diffexpr-nonnaive-cluster4,0.2401188007428064,0.2401188007428064,0.3862050641317865,0.07442741614197695
207,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.05315065365485462,0.05315065365485462,0.2350894296272416,0.04646036158641139
208,KEGG_MM_GLUCAGON_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.6375277936177651,0.6375277936177651,0.6884102935778684,0.13604946513396612
209,KEGG_MM_GLUTATHIONE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.018128794615030207,0.018128794615030207,0.20848113807284738,0.040703165933443204
210,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.2401188007428064,0.2401188007428064,0.3862050641317865,0.07442741614197695
211,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,5BD_diffexpr-nonnaive-cluster4,0.024579690497188035,0.024579690497188035,0.22613315257412991,0.044274466437143764
212,KEGG_MM_HIF-1_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.3095875355289486,0.3095875355289486,0.42133214894472293,0.08326722311160532
213,KEGG_MM_IL-17_SIGNALING_PATHWAY,5BD_diffexpr-nonnaive-cluster4,0.5385802213238072,0.5385802213238072,0.6042607361193935,0.11941911781015682
214,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.5618253909610782,0.5618253909610782,0.624250434401198,0.12336965106743045
215,KEGG_MM_LYSINE_DEGRADATION,5BD_diffexpr-nonnaive-cluster4,0.522406567350228,0.522406567350228,0.5948193588641209,0.117553232977099
216,KEGG_MM_METABOLIC_PATHWAYS,5BD_diffexpr-nonnaive-cluster4,0.7031692318630463,0.7031692318630463,0.7351314696750029,0.14528289914525752
217,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,5BD_diffexpr-nonnaive-cluster4,0.21356430861389844,0.21356430861389844,0.39934789415607025,0.07442741614197695
218,KEGG_MM_NUCLEOTIDE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.0029641930475264953,0.0029641930475264953,0.0973949144187277,0.017146605392411696
219,KEGG_MM_PROPANOATE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.33771497646394893,0.33771497646394893,0.4363732841949902,0.08623977948517594
220,KEGG_MM_PURINE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.32839355146446503,0.32839355146446503,0.4340834300967067,0.08578723914954678
221,KEGG_MM_PYRIMIDINE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.0006112872976155285,0.0006112872976155285,0.04686535948385719,0.009261928751750434
222,KEGG_MM_PYRUVATE_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.3817329345025739,0.3817329345025739,0.472035349116086,0.092325480282118
223,KEGG_MM_RNA_DEGRADATION,5BD_diffexpr-nonnaive-cluster4,0.6842752531147451,0.6842752531147451,0.7219417808091347,0.14267624126662742
224,KEGG_MM_VITAMIN_B6_METABOLISM,5BD_diffexpr-nonnaive-cluster4,0.0663054939735326,0.0663054939735326,0.27232613596272315,0.05381939445903621
305,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.2389420915714421,0.2389420915714421,0.3953718061973503,0.07442741614197695
307,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.3084798625442944,0.3084798625442944,0.42232362134040297,0.08326722311160532
314,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.01670682325068655,0.01670682325068655,0.2022404919819951,0.039968476676283615
316,KEGG_MM_RAP1_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.22917395420711276,0.22917395420711276,0.4023664844857705,0.07442741614197695
323,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.1888739800294846,0.1888739800294846,0.38786620898912016,0.07442741614197695
331,KEGG_MM_GLUTATHIONE_METABOLISM,5BF_diffexpr-nonnaive-cluster6,0.0992155026703354,0.0992155026703354,0.3214023325940442,0.060811136059647664
338,KEGG_MM_METABOLIC_PATHWAYS,5BF_diffexpr-nonnaive-cluster6,0.9406523446651928,0.9406523446651928,0.9573010587300634,0.18918993255534852
340,KEGG_MM_NUCLEOTIDE_METABOLISM,5BF_diffexpr-nonnaive-cluster6,0.16796675208146078,0.16796675208146078,0.37146493248784596,0.07341204199364545
342,KEGG_MM_PURINE_METABOLISM,5BF_diffexpr-nonnaive-cluster6,0.19658236070863597,0.19658236070863597,0.3897753703705713,0.07442741614197695
343,KEGG_MM_PYRIMIDINE_METABOLISM,5BF_diffexpr-nonnaive-cluster6,0.12179311621959146,0.12179311621959146,0.32955784388830633,0.06513000867357832
347,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.1940208111027495,0.1940208111027495,0.388041622205499,0.07442741614197695
348,KEGG_MM_THYROID_HORMONE_SIGNALING_PATHWAY,5BF_diffexpr-nonnaive-cluster6,0.2142938959166029,0.2142938959166029,0.3974806133936989,0.07442741614197695
366,KEGG_MM_FOXO_SIGNALING_PATHWAY,5BG_diffexpr-nonnaive-cluster8,0.0215896826562288,0.0215896826562288,0.215896826562288,0.04266735702812016
370,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,5BG_diffexpr-nonnaive-cluster8,0.34830985963082794,0.34830985963082794,0.445062598417169,0.0875170613851441
375,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BG_diffexpr-nonnaive-cluster8,0.35536607949364635,0.35536607949364635,0.4466349632980255,0.08826777930791019
379,KEGG_MM_AMPK_SIGNALING_PATHWAY,5BG_diffexpr-nonnaive-cluster8,0.4031131669505352,0.4031131669505352,0.4879790968348584,0.09643855668673092
392,KEGG_MM_GLUTATHIONE_METABOLISM,5BG_diffexpr-nonnaive-cluster8,0.20517780108073316,0.20517780108073316,0.39992283261498834,0.07442741614197695
399,KEGG_MM_METABOLIC_PATHWAYS,5BG_diffexpr-nonnaive-cluster8,0.9848459608685007,0.9848459608685007,0.989146598252206,0.19548351744114745
401,KEGG_MM_NUCLEOTIDE_METABOLISM,5BG_diffexpr-nonnaive-cluster8,0.060923640710231035,0.060923640710231035,0.2547715884246025,0.05035011628944715
403,KEGG_MM_PURINE_METABOLISM,5BG_diffexpr-nonnaive-cluster8,0.38185818644683994,0.38185818644683994,0.467166930227517,0.092325480282118
404,KEGG_MM_PYRIMIDINE_METABOLISM,5BG_diffexpr-nonnaive-cluster8,0.032560965347110005,0.032560965347110005,0.23403193843235315,0.04617139697983583
429,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.5554353695745231,0.5554353695745231,0.6201462864181568,0.12255855462809427
430,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.645129170323656,0.645129170323656,0.6933631269833685,0.13702828596509264
433,KEGG_MM_TNF_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.3946990069763084,0.3946990069763084,0.48032154288122186,0.09492520610300828
434,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.059080191868027813,0.059080191868027813,0.25163785425271107,0.049730801235713655
436,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5BH_diffexpr-nonnaive-cluster9,0.35536607949364635,0.35536607949364635,0.4466349632980255,0.08826777930791019
447,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,5BH_diffexpr-nonnaive-cluster9,0.25872020995441064,0.25872020995441064,0.38640031356827564,0.07600968218324991
