,term,variable,value,p,padj
0,Fatty acid oxidation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
1,Nucleotide interconversion,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
2,Keratan sulfate degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
3,Sphingolipid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
4,Tyrosine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
5,Keratan sulfate synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
6,Steroid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
7,Chondroitin synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
8,Tryptophan metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
9,Glycerophospholipid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
10,Inositol phosphate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
11,Folate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
12,"Valine, leucine, and isoleucine metabolism",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
13,Chondroitin sulfate degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
14,Cholesterol metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
15,Arginine and Proline Metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
16,Bile acid synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
17,Fatty acid synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
18,"Glycine, serine, alanine and threonine metabolism",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
19,Pyrimidine catabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
20,Blood group synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
21,Pyruvate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
22,Aminosugar metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
23,Heparan sulfate degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
24,Urea cycle,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
25,Purine catabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
26,Eicosanoid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
27,Methionine and cysteine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
28,Lysine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
29,Starch and sucrose metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
30,Pentose phosphate pathway,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
31,NAD metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
32,Vitamin A metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
33,beta-Alanine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
34,Triacylglycerol synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
35,Glyoxylate and dicarboxylate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
36,Glutamate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
37,Alanine and aspartate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
38,Histidine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
39,Selenoamino acid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
40,Tetrahydrobiopterin metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
41,Glutathione metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
42,Propanoate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
43,Biotin metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
44,Limonene and pinene degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
45,Phenylalanine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
46,ROS detoxification,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
47,Glycolysis/gluconeogenesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
48,Pyrimidine synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
49,Heme synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
50,Galactose metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
51,Purine synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
52,"Transport, extracellular",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
53,Miscellaneous,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
54,Hyaluronan metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
55,Fructose and mannose metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
56,C5-branched dibasic acid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
57,Oxidative phosphorylation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
58,N-glycan degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
59,Nucleotide salvage pathway,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
60,Vitamin B2 metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
61,Butanoate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
62,Vitamin C metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
63,Cytochrome metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
