,term,variable,value,p,padj
0,Fatty acid oxidation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
1,Nucleotide interconversion,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
2,Keratan sulfate degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
3,Sphingolipid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
4,Tyrosine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
5,Keratan sulfate synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
6,Steroid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
7,Chondroitin synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
8,Tryptophan metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
9,Glycerophospholipid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
10,Inositol phosphate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
11,Folate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
12,"Valine, leucine, and isoleucine metabolism",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
13,Chondroitin sulfate degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
14,Cholesterol metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
15,Arginine and Proline Metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
16,Fatty acid synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
17,"Glycine, serine, alanine and threonine metabolism",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
18,Pyrimidine catabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
19,Blood group synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
20,Pyruvate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
21,Aminosugar metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
22,Heparan sulfate degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
23,Urea cycle,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
24,Purine catabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
25,Eicosanoid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
26,Methionine and cysteine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
27,Lysine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
28,Starch and sucrose metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
29,Pentose phosphate pathway,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
30,NAD metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
31,Vitamin A metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
32,beta-Alanine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
33,Triacylglycerol synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
34,Glyoxylate and dicarboxylate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
35,Glutamate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
36,Alanine and aspartate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
37,Histidine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
38,Selenoamino acid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
39,Tetrahydrobiopterin metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
40,Glutathione metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
41,Propanoate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
42,Biotin metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
43,Limonene and pinene degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
44,Phenylalanine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
45,ROS detoxification,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
46,Glycolysis/gluconeogenesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
47,Pyrimidine synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
48,Heme synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
49,Galactose metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
50,Purine synthesis,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
51,"Transport, extracellular",5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
52,Miscellaneous,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
53,Hyaluronan metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
54,Fructose and mannose metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
55,C5-branched dibasic acid metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
56,Oxidative phosphorylation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
57,N-glycan degradation,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
58,Nucleotide salvage pathway,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
59,Vitamin B2 metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
60,Butanoate metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
61,Vitamin C metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
62,Vitamin B6 metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
63,Taurine and hypotaurine metabolism,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
