,term,variable,value,p,padj,q
0,Chondroitin synthesis,5BA_diffexpr-nonnaive-cluster1,,,,
1,Nucleotide interconversion,5BA_diffexpr-nonnaive-cluster1,,,,
2,Folate metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
3,"Glycine, serine, alanine and threonine metabolism",5BA_diffexpr-nonnaive-cluster1,,,,
4,Pyruvate metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
5,Eicosanoid metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
6,Methionine and cysteine metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
7,Glyoxylate and dicarboxylate metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
8,Propanoate metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
9,Inositol phosphate metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
10,"Transport, extracellular",5BA_diffexpr-nonnaive-cluster1,,,,
11,Tetrahydrobiopterin metabolism,5BA_diffexpr-nonnaive-cluster1,,,,
12,Pyrimidine catabolism,5BA_diffexpr-nonnaive-cluster1,,,,
13,Chondroitin synthesis,5BB_diffexpr-nonnaive-cluster2,0.05691741442976808,0.05691741442976808,,0.0
14,Nucleotide interconversion,5BB_diffexpr-nonnaive-cluster2,,,,
15,Folate metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
16,"Glycine, serine, alanine and threonine metabolism",5BB_diffexpr-nonnaive-cluster2,,,,
17,Pyruvate metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
18,Eicosanoid metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
19,Methionine and cysteine metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
20,Glyoxylate and dicarboxylate metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
21,Propanoate metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
22,Inositol phosphate metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
23,"Transport, extracellular",5BB_diffexpr-nonnaive-cluster2,,,,
24,Tetrahydrobiopterin metabolism,5BB_diffexpr-nonnaive-cluster2,,,,
25,Pyrimidine catabolism,5BB_diffexpr-nonnaive-cluster2,,,,
26,Chondroitin synthesis,5BC_diffexpr-nonnaive-cluster3,,,,
27,Nucleotide interconversion,5BC_diffexpr-nonnaive-cluster3,,,,
28,Folate metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
29,"Glycine, serine, alanine and threonine metabolism",5BC_diffexpr-nonnaive-cluster3,,,,
30,Pyruvate metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
31,Eicosanoid metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
32,Methionine and cysteine metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
33,Glyoxylate and dicarboxylate metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
34,Propanoate metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
35,Inositol phosphate metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
36,"Transport, extracellular",5BC_diffexpr-nonnaive-cluster3,,,,
37,Tetrahydrobiopterin metabolism,5BC_diffexpr-nonnaive-cluster3,,,,
38,Pyrimidine catabolism,5BC_diffexpr-nonnaive-cluster3,,,,
39,Chondroitin synthesis,5BD_diffexpr-nonnaive-cluster4,,,,
40,Nucleotide interconversion,5BD_diffexpr-nonnaive-cluster4,0.0018243339301697754,0.0018243339301697754,,0.0
41,Folate metabolism,5BD_diffexpr-nonnaive-cluster4,0.11314959179025529,0.11314959179025529,,0.0
42,"Glycine, serine, alanine and threonine metabolism",5BD_diffexpr-nonnaive-cluster4,0.15765685728183226,0.15765685728183226,,0.0
43,Pyruvate metabolism,5BD_diffexpr-nonnaive-cluster4,0.2269548837017326,0.2269548837017326,,0.0
44,Eicosanoid metabolism,5BD_diffexpr-nonnaive-cluster4,0.08218724000189073,0.08218724000189073,,0.0
45,Methionine and cysteine metabolism,5BD_diffexpr-nonnaive-cluster4,0.2269548837017326,0.2269548837017326,,0.0
46,Glyoxylate and dicarboxylate metabolism,5BD_diffexpr-nonnaive-cluster4,0.18608760346883738,0.18608760346883738,,0.0
47,Propanoate metabolism,5BD_diffexpr-nonnaive-cluster4,0.1719935169673127,0.1719935169673127,,0.0
48,Inositol phosphate metabolism,5BD_diffexpr-nonnaive-cluster4,,,,
49,"Transport, extracellular",5BD_diffexpr-nonnaive-cluster4,,,,
