,term,variable,value,p,padj
0,KEGG_MM_2-OXOCARBOXYLIC_ACID_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
1,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
2,KEGG_MM_AMPK_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
3,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
4,KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
5,KEGG_MM_ALDOSTERONE_SYNTHESIS_AND_SECRETION,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
6,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
7,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
8,KEGG_MM_APELIN_SIGNALING_PATHWAY,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
9,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
10,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
11,KEGG_MM_ARGININE_BIOSYNTHESIS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
12,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
13,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
14,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
15,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,5BA_diffexpr-nonnaive-cluster1,1.0,1.0,1.0
