,wilcox_stat,wilcox_pval,cohens_d,adjusted_pval,metadata_r_id,rxn_name_long,subsystem,ind_in_original_recon,rxn_EC_number,genes_associated_with_rxn,rxn_formula,rxn_confidence
13DAMPPOX_pos,29.0,0.09307359307359307,1.1668508832519746,0.14338840646532955,13DAMPPOX,"1,3-Diaminopropane:oxygen oxidoreductase (deaminating)",beta-Alanine metabolism,13,1.4.3.6,AOC1; AOC2; AOC3,"1.00 * trimethylenediaminium [c] + 1.00 * Water [c] + 1.00 * O2 [c] --> 1.00 * beta-Aminopropion aldehyde [c] + 1.00 * Hydrogen peroxide [c] + 1.00 * Ammonium [c]
AOC1; AOC2; AOC3",1.0
2HBO_neg,27.0,0.17965367965367965,1.151279994951226,0.231465914660689,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Propanoate metabolism,41,1.1.1.27,LDHA; LDHAL6B; LDHB; LDHC; UEVLD,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",4.0
2HBO_pos,31.0,0.04112554112554113,1.5851889955597456,0.07481446260093551,2HBO,2-Hydroxybutyrate:NAD+ oxidoreductase,Propanoate metabolism,41,1.1.1.27,LDHA; LDHAL6B; LDHB; LDHC; UEVLD,"1.00 * 2-Hydroxybutyrate [c] + 1.00 * Nicotinamide adenine dinucleotide [c] --> 1.00 * proton [c] + 1.00 * 2-Oxobutanoate [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c]
LDHA; LDHAL6B; LDHB; LDHC; UEVLD",4.0
2OXOADOXm_pos,23.0,0.48484848484848486,0.8051247483921536,0.5426201492226251,2OXOADOXm,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating) (mitochondria),Lysine metabolism,45,2.3.1.61,DLD; DLST; OGDH; PDHX,"1.00 * 2-oxoadipate(2-) [m] + 1.00 * Coenzyme A [m] + 1.00 * Nicotinamide adenine dinucleotide [m] --> 1.00 * carbon dioxide [m] + 1.00 * glutaryl-CoA(5-) [m] + 1.00 * Nicotinamide adenine dinucleotide - reduced [m]
DLD; DLST; OGDH; PDHX",2.0
34DHOXPEGOX_pos,36.0,0.0021645021645021645,3.258966114809642,0.014494593198296903,34DHOXPEGOX,"3,4-Dihydroxyphenylethyleneglycol:NAD+ oxidoreductase",Tyrosine metabolism,47,1.1.1.1,ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1,"1.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylethyleneglycol [c]
ADH1; ADH4; ADH5; ADH6A; ADH7; ADHFE1",4.0
34DHPLACOX_NADP__neg,25.0,0.30952380952380953,0.25280629063456433,0.3675771713538545,34DHPLACOX_NADP_,"3,4-Dihydroxyphenylacetaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,52,1.2.1.5,ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH3A1; ALDH3B1; ALDH3B3",4.0
34DHPLACOX_pos,25.0,0.30952380952380953,0.25280629063456433,0.3675771713538545,34DHPLACOX,"3,4-Dihydroxyphenylacetaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,51,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxyphenylacetaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * (3,4-dihydroxyphenyl)acetate [c]
ALDH1A3; ALDH3A1; ALDH3B1; ALDH3B3",4.0
34DHXMANDACOX_NADP__neg,19.0,0.9372294372294373,-0.05177348157264544,0.9521502117881079,34DHXMANDACOX_NADP_,"3,4-Dihydroxymandelaldehyde:NADP+ oxidoreductase",Tyrosine metabolism,54,1.2.1.5,ALDH3B1; ALDH3B3,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide phosphate - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH3B1; ALDH3B3",4.0
34DHXMANDACOX_pos,19.0,0.9372294372294373,-0.05177348157264544,0.9521502117881079,34DHXMANDACOX,"3,4-Dihydroxymandelaldehyde:NAD+ oxidoreductase",Tyrosine metabolism,53,1.2.1.5,ALDH1A3; ALDH3A1; ALDH3B1,"1.00 * Water [c] + 1.00 * Nicotinamide adenine dinucleotide [c] + 1.00 * 3,4-Dihydroxymandelaldehyde [c] --> 2.00 * proton [c] + 1.00 * Nicotinamide adenine dinucleotide - reduced [c] + 1.00 * 3,4-Dihydroxymandelate [c]
ALDH1A3; ALDH3A1; ALDH3B1",4.0
34HPPOR_pos,31.0,0.04112554112554113,1.4864269723080408,0.07481446260093551,34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,Tyrosine metabolism,56,1.13.11.27,HPD,"1.00 * O2 [c] + 1.00 * 3-(4-hydroxyphenyl)pyruvate [c] --> 1.00 * carbon dioxide [c] + 1.00 * homogentisate [c]
HPD",4.0
