	AveExpr	Coef.(Intercept)	Coef.metadata$cell_typeTh17p	t.(Intercept)	t.metadata$cell_typeTh17p	P.value.(Intercept)	P.value.metadata$cell_typeTh17p	F	F.p.value
EIF4G3	3.30703161993023	3.28510365169386	0.0457489984787749	25.0658478628031	0.241670318624796	2.08953883132535e-75	0.809201616663553	611.441816542287	2.83744711270798e-106
HP1BP3	4.58729872313718	4.6910365276158	-0.216431390638841	35.8295789798428	-1.14446243267293	4.16630941830589e-110	0.25334905424465	1179.48408320902	2.04054744857099e-142
DDOST	4.86821898746826	4.78735580505461	0.168707358992509	48.355195218997	1.17974966518555	3.21818130275817e-143	0.239039448570995	2322.50301132789	1.22554779849988e-182
PINK1	0.290391214135071	0.329799208619054	-0.0822181179881658	4.0581853315512	-0.700419454147161	6.32169276407456e-05	0.484211123402807	12.5061989236719	6.08533502171283e-06
MUL1	2.42951472831862	2.67087603932379	-0.503559569723001	16.0531927066179	-2.0954000119328	3.10365138684076e-42	0.0369780063297712	206.955530076587	4.18035010624409e-57
TMCO4	0.947930694722621	0.771454725860046	0.368187273166524	6.36538833446144	2.10325356516516	7.33081893302098e-10	0.0362806491353006	60.9571407036803	6.34802518091403e-23
MINOS1	7.22031055234371	7.12752322016518	0.19358508152354	180.533935661285	3.39469293066433	8.96576804647199e-307	0.000780045743136761	32123.3725378151	0
CAPZB	7.82475162895552	7.95558464392735	-0.272960966487976	146.477363649899	-3.47942406093301	5.50881524469332e-280	0.000577401103848206	19937.0493466433	2.12648324298302e-318
PQLC2	1.41431877298616	1.39333754836604	0.0437737779844246	8.50565724523069	0.185000954475239	8.84988064029729e-16	0.853353959576063	71.5966259557912	4.0043424410506e-26
AKR7A5	0.897547011041528	0.797020774958558	0.209730996144324	6.42205496046623	1.16997180800125	5.29107944920637e-10	0.242945893381426	50.9087545845781	9.49175315169863e-20
MRTO4	7.34568823356881	7.17069568553699	0.365092366397302	63.4951046628887	2.23815471878506	2.25111852443266e-175	0.0259484541320296	4065.19706884783	3.25123516897156e-217
SP110	6.58815084655584	6.79826790991105	-0.438373729302238	66.9151711943994	-2.98730275282976	9.95970589435598e-182	0.00304808851410011	4042.50331894553	7.27642131057824e-217
EMC1	3.43405765472793	3.66540212267352	-0.482661120174234	28.5525536497183	-2.60299927338219	2.48672917955252e-87	0.00970296618437186	690.539902444938	1.10276806239596e-112
UBR4	3.2224783946646	3.3820996249069	-0.333022710577444	35.8846243522962	-2.44626927467755	2.87180713333704e-110	0.0150115055173793	1125.5664276756	9.86458120764693e-140
ALDH4A1	0.563302701764251	0.594942902259593	-0.0660119290910016	5.66229283946049	-0.434958541956507	3.51013762588501e-08	0.66390691404574	27.6945765702591	9.27429281985196e-12
SP140	4.85614479786407	5.0303657388269	-0.363482538699427	24.4942709855488	-1.22534084393205	2.16246873531389e-73	0.22141308069536	537.664105145641	1.15881412197488e-99
RCC2	4.11803742319289	4.18750385527798	-0.144929966220689	40.4039407010029	-0.968133163811529	5.05948482409713e-123	0.333761865878556	1516.50160055532	4.58825200598538e-157
PADI2	1.99749656248794	2.25387299627485	-0.53488608487916	22.33366679774	-3.6694442446004	1.23399591542776e-65	0.000287839876053155	382.937200244637	4.00606218373081e-83
SDHB	9.54608535648887	9.59529025635026	-0.102657704746778	145.151767636502	-1.07513787993724	7.99783788809453e-279	0.28318152798991	20025.4664448831	1.10421695582935e-318
ATP13A2	0.41011175649568	0.292686650508146	0.244987631197014	3.54848086177454	2.05632668925197	0.0004498815197061	0.0406204457215501	25.8539054065895	4.41627597892537e-11
SP100	4.76381198683224	4.48580490266514	0.580014779916965	20.8705059889112	1.86827180036672	2.85816990314699e-60	0.062704023219831	473.466506813882	2.6444644782112e-93
NECAP2	4.32146385808339	4.64815263098663	-0.68158089310747	28.2001720507198	-2.86284072056351	3.7262540216433e-86	0.00449589429177492	664.176417986525	1.28654405986198e-110
SZRD1	2.92467956824826	3.03619088893242	-0.232649517974158	26.666842936692	-1.41466330516198	5.81903150340047e-81	0.158209830224067	634.626210430165	3.21650128201196e-108
FBXO42	1.20153702142303	1.3358611767752	-0.280244640662812	11.0312995868532	-1.60217912151678	5.8483542386515e-24	0.110173986245205	95.8192381001967	7.20237933316588e-33
RSG1	0.318905619524096	0.229898915510103	0.185697440029194	2.57585561450679	1.44045239823416	0.0104803016775465	0.150787810325497	13.2972854306071	2.93807708847815e-06
A630001G21RIK	1.77157744847495	1.73578781270113	0.0746690242763193	10.7201548725383	0.319266463994599	6.73204344537375e-23	0.749747842086854	115.003934104143	9.39191329409919e-38
ZBTB17	1.58873961428513	1.30811705052332	0.585471535905944	8.95966956958303	2.7762564059709	3.61612769881141e-17	0.00584645939057136	117.560819780186	2.23192285098725e-38
DDI2	0.367254071666431	0.48685906571565	-0.249535599095495	5.38600151962533	-1.91119113762968	1.46261761812127e-07	0.0569379151531525	17.677108558731	5.55522184699404e-08
RSC1A1	1.47620533490305	1.57543922156081	-0.20703472755936	8.71267531643133	-0.792686527755849	2.08365044419441e-16	0.428590235783618	64.314820764739	5.96426737840037e-24
DNAJC16	0.478206829611702	0.54730690914987	-0.144165633568841	5.69477276298096	-1.03852179340827	2.95751616046329e-08	0.299867950373839	24.3138813755103	1.65053621566884e-10
CASP9	0.580372321444255	0.55013521042197	0.0630846201184358	4.95771052386789	0.393589601854037	1.19843329981258e-06	0.694165131315009	26.3455094934347	2.90630930659169e-11
EFHD2	1.33639947326889	1.49523542201568	-0.331384353500504	11.2548588796208	-1.72691466399952	9.93205239977845e-25	0.0852178285454682	98.65941621923	1.29029029778931e-33
CAB39	4.97329936380467	5.03838459145071	-0.135789323865838	35.5547497316043	-0.663407440246541	2.68465494967659e-109	0.507581809651464	1182.96984788143	1.38029926622316e-142
ITM2C	1.39009655963506	1.2027624671544	0.390840912369723	8.71107452572548	1.95974823335482	2.10724510081736e-16	0.0509557806611776	99.2543389859387	9.02286350599862e-34
PRDM2	1.90126926014472	1.85279254026298	0.101138480328795	14.4196295818721	0.54494432676646	3.92852162719169e-36	0.586198842162832	210.396993469342	9.95613900532197e-58
PDPN	3.39529357918293	6.2003401802238	-5.85225549857448	44.5693476381119	-29.1240950179279	6.18856638863044e-134	3.18539212343109e-89	996.094878263888	8.59033692884597e-133
PRAMEF8	1.40655800492595	1.51768525297627	-0.231848215356794	8.88569494211671	-0.939770576563713	6.12753090969363e-17	0.348095328088146	65.5632827434175	2.49907224269663e-24
DHRS3	0.401152388708204	0.0357708927584797	0.762306718168489	0.302349446716665	4.4608492539323	0.762596319520315	1.15774239846393e-05	20.9895764575305	2.95868094331865e-09
TNFRSF1B	2.11802128143819	2.52444920220126	-0.847943144038048	14.9426124312359	-3.47484174603046	4.46073674906612e-38	0.000586960358292261	156.965842636075	2.63778625316483e-47
TNFRSF8	1.31257337635749	0.254615870557274	2.20724947253282	1.759973569216	10.5628350605811	0.0794368305771788	2.28949490899907e-22	134.832685782198	1.92083269872978e-42
GM13212	0.917217516304161	1.21514804208624	-0.621581672494992	8.8745642112522	-3.14285573641472	6.63219354114492e-17	0.0018413166919333	48.0282680500888	8.25759860579358e-19
PSMD1	6.98088438229703	7.10201445131628	-0.252717410184059	93.4237070476832	-2.30154307747817	5.55744938677155e-223	0.02204972459441	8100.37374209595	9.77168153773403e-261
GM13051	0.458011369600595	0.409163365193266	0.101913102720327	4.33421979394447	0.74739917530828	2.00186141633844e-05	0.455411174056205	22.8826080942591	5.6798361168696e-10
ARMC9	0.396195713224937	0.471936501796731	-0.1580203502577	5.20040837241578	-1.20552244599842	3.69946893976032e-07	0.228956726499677	19.0294769481511	1.6661151762617e-08
