"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"AQP3",-6.30018270586777,3.29855460272147,-37.1475489645065,6.2062655086624e-114,5.46958179278417e-110,247.927181385778
"MAF",-5.52190260521194,3.36920020759037,-33.7977610263365,4.94635840600296e-104,2.1796128316052e-100,225.645859423902
"PDPN",-5.85225549857448,3.39529357918293,-29.1240950179279,3.18539212343109e-89,9.35762026126608e-86,192.183156183964
"LGALS1",-1.84068829458125,10.1172127795626,-22.7764949016015,3.05142637685548e-67,6.72305516480685e-64,142.281577298242
"TMEM176B",-6.67759334072439,3.52302676513053,-22.1781559674667,4.54508349638585e-65,8.0111641707297e-62,137.337013005531
"IL9",-8.59266880004251,4.82581451716481,-21.8216778606353,9.10355101469827e-64,1.33715991820893e-60,134.374397437133
"TMEM176A",-6.37568127271231,3.44048914594954,-21.5131969370206,1.22926137103606e-62,1.5476400661344e-59,131.801065212838
"CTLA2B",-4.63742178019763,2.53085460817552,-20.4475719964951,1.04977026841774e-58,1.1564531719457e-55,122.848431066799
"B4GALT1",-2.32970128600481,4.76632246282108,-19.3188909419373,1.67258070243744e-54,1.63782819228679e-51,113.274424167502
"LTA",-5.19345026648448,7.84099408785489,-18.8722896264862,7.84763850348314e-53,6.91612381311969e-50,109.465478258256
"PMEPA1",-2.58619229135565,2.33837664861442,-18.7376495225884,2.50829363112666e-52,2.00959925191993e-49,108.315312280774
"CAPG",-3.19589936585374,7.12360138763249,-18.5750937254184,1.02109080664113e-51,7.49906106577355e-49,106.925660278941
"CTLA2A",-4.08158093625439,4.88951909082745,-18.4494464871537,3.02418292793955e-51,2.05016339568702e-48,105.850827462636
"TIGIT",4.96755368524161,3.90793948906933,18.3651587961166,6.2670425118909e-51,3.94510326123532e-48,105.129481101011
"IL22",7.62710005079733,4.13726333460089,17.7470135437199,1.31956434034935e-48,7.75288035433255e-46,99.8329443672453
"TNFSF8",3.5409671235072,2.16987597690608,16.699484849399,1.1541858203167e-44,6.35739977153191e-42,90.845153372152
"FTH1",-0.896066405700243,10.2870809288264,-16.6586005357431,1.64469791001873e-44,8.52630745940884e-42,90.4944192417278
"PDZK1IP1",5.42755540772311,3.93236178895332,16.5853754265688,3.10125345609023e-44,1.51840815047351e-41,89.8663031171765
"INTS4",-3.23426138700721,4.46612151466895,-15.7828338751464,3.21036641903068e-41,1.48910311846934e-38,82.9908330826276
"PLP2",-1.42961996432795,8.94743389885861,-15.6404286041567,1.09763988669597e-40,4.8367501607258e-38,81.7732820654911
"AHR",-2.563125763614,1.55575781491276,-15.4421207112612,6.07026032815163e-40,2.5474859177143e-37,80.0794733589549
"ASS1",-3.5278067075218,4.59339318778539,-15.4189876786515,7.40949466405611e-40,2.96817620337848e-37,79.8820281668671
"TNFRSF13B",-3.70554952307143,4.16989982718835,-14.6425940956618,5.83964884654927e-37,2.23760109933212e-34,73.2766042731008
"BDH2",-2.76770111957165,1.94582734743395,-14.5022267462661,1.93997517191526e-36,7.12375049587051e-34,72.0876352738128
"EGFR",3.69848399020908,1.86455008626086,14.4947232885999,2.06845347104295e-36,7.2917121761206e-34,72.0241306301676
"TNIP3",2.52118964141167,1.2306122195003,14.195529236124,2.65525386938177e-35,9.00028936571598e-33,69.4966072723312
"SERPINB6B",4.00857217806565,2.53049889311894,14.1142443945625,5.30312807934617e-35,1.73098028752881e-32,68.8115982752047
"ADAM19",-2.41545380319458,1.8309701333654,-14.1067702578067,5.65119094642509e-35,1.7787123503873e-32,68.7486495051396
"LUM",4.39413268972033,2.4653730386116,13.823487963856,6.25744001901481e-34,1.90161444439922e-31,66.3677208335101
"ILTIFB",4.27142453768745,2.19995134412412,13.8068846288885,7.20223465012962e-34,2.11577646571975e-31,66.2284840253519
"KCTD14",-3.10936757110723,1.91454801834243,-13.7643977861558,1.03198247404428e-33,2.9338263044362e-31,65.8723499471007
"SKIL",-2.15931428393367,4.79453529698282,-13.6675246290381,2.34123361480149e-33,6.44790370226422e-31,65.0612359785225
"PRICKLE3",-1.29569495291455,3.69286534438107,-13.575055584423,5.11124600939467e-33,1.3650124569938e-30,64.2881964235893
"1110007C09RIK",-3.50799285702624,4.56880938015341,-13.5495212655399,6.33971081130384e-33,1.64329033470649e-30,64.0749418188915
"PPFIBP1",-2.97636977099283,2.45455860183702,-13.5423169774136,6.73681253778805e-33,1.69632939701503e-30,64.0147907041062
"RGS1",-3.0051782770286,7.23672296169624,-13.5172248994839,8.32389780510312e-33,2.03773642656594e-30,63.8053464381711
"CASP6",3.15979762748421,6.49272628663856,13.4276801086139,1.76955717617167e-32,4.21489389016241e-30,63.0586622101338
"SELL",3.92233115039165,2.47432015165384,13.2791880378272,6.16420951175576e-32,1.42960995860799e-29,61.8230950216972
"CPD",-2.01872664740989,4.44553551185876,-13.2628963785848,7.06731447039246e-32,1.59703185711715e-29,61.6877439456101
"IFITM2",3.81547249290204,6.85413600743983,13.1342730227674,2.07681311887078e-31,4.57573850415206e-29,60.6206338208462
"IFIH1",2.44660966033635,1.40690702826093,13.0712085870823,3.51968613656783e-31,7.56560827355422e-29,60.0984169819254
"CNDP2",-3.2472478805929,4.39786005137998,-13.0461675835614,4.33906142783487e-31,9.10479722940683e-29,59.8912454068621
"CCR6",-3.64320631081621,5.77432710019778,-13.03211801755,4.87946041739184e-31,1.00006243391801e-28,59.7750558199938
"CYP11A1",-3.27086214105045,1.8981950677414,-12.8675165142491,1.92530836544392e-30,3.85630514196756e-28,58.4163554350592
"APLP2",-3.01297015144823,4.1802698162691,-12.8628947594453,2.00082442924853e-30,3.9185034877705e-28,58.3782743951647
"IL23R",3.62665340382911,2.80819772293397,12.8598018321118,2.05300349034276e-30,3.93328690443277e-28,58.3527923076867
"OLFM2",-2.89309910912465,1.50640677750973,-12.8132500846526,3.02399504106291e-30,5.67031240359306e-28,57.9694698532722
"SAT1",1.22191315885121,9.53122427324554,12.7526150722239,5.00495202029273e-30,9.18930044892496e-28,57.4707763816848
"GPR183",2.93536805068761,3.56958498267879,12.7453081230385,5.3180131597539e-30,9.56482652590023e-28,57.410726285575
"MS4A6B",3.20737591399715,5.61703158576312,12.6800688904277,9.13728201413272e-30,1.61053732781103e-27,56.8750206850007
"MAPKAPK3",-2.84833101361229,3.94545492933943,-12.6723606655929,9.74020699320262e-30,1.68314596531558e-27,56.8117785995497
"CD53",2.04854764394422,6.97870632256745,12.5859937747299,1.99145759901475e-29,3.37513765771481e-27,56.1039638546374
"TMSB4X",-0.783983214028522,12.3630841433886,-12.3934258125326,9.75948553942986e-29,1.62283671809425e-26,54.5311031783788
"CALCRL",2.49559098943531,3.66100381737453,12.262987876473,2.85179750454409e-28,4.65423914954575e-26,53.4700509045547
"ICOS",2.75721641161155,5.98107782007909,12.2476174807069,3.23513327446393e-28,5.18385991779103e-26,53.3452583298252
"NIPAL1",-2.01444052952504,1.06516034811319,-12.1741497278964,5.90739589414478e-28,9.29676428841035e-26,52.7494810094625
"AA467197",-3.39730612912917,5.1843533618738,-12.0271306258499,1.96408553484816e-27,3.03675189800296e-25,51.5608473827233
"PPP1R16B",-1.42577674010739,4.92876604845522,-11.9930093861097,2.59390756951613e-27,3.94139782933546e-25,51.2856831866641
"CTSW",-2.5305378732528,1.31762489262474,-11.743345245985,1.968883727284e-26,2.94097835399219e-24,49.2806835197182
"MILR1",2.99176434577692,2.73128186977813,11.7210416825494,2.3579958598621e-26,3.46350291882745e-24,49.1023044041793
"ALCAM",2.27909867262129,2.07274668065509,11.651836210228,4.12317680162721e-26,5.9569765824165e-24,48.5496053577682
"IFITM3",4.85955662514066,4.5945545895535,11.5844900335709,7.09418446431925e-26,1.0022866681401e-23,48.0129203424183
"VIM",-2.18846547574736,6.27012464403507,-11.5832581369145,7.16487689695066e-26,1.0022866681401e-23,48.0031141254977
"SERPINB9",2.38531499227735,1.17558692373209,11.5259135717427,1.13626103678656e-25,1.56466695581249e-23,47.5470716588614
"CXCR3",3.8035901671907,3.76415879630153,11.231360669054,1.19745493151606e-24,1.62356466330016e-22,45.2184189688975
"SFN",-2.00922851765224,1.58479703998755,-11.2025298936956,1.5059840439533e-24,2.01094505747885e-22,44.9917742720932
"SLC4A11",-2.54670775035906,2.24022514714124,-11.1309825398503,2.65741050175774e-24,3.49548638089417e-22,44.4303460699936
"ATP6V0A1",-1.83397422742103,1.44276417841566,-11.0555515987217,4.82838816978277e-24,6.25773307945522e-22,43.8400408559239
"EPB4.1L2",-2.39805694430445,2.54645309038692,-11.0416204500511,5.39041370226316e-24,6.88488637073119e-22,43.731200529129
"STAT1",-1.7656445217804,6.71557325321819,-10.9501851467836,1.10885100584863e-23,1.39604341636342e-21,43.0182667158596
"NINJ1",-2.19787994964109,6.10804753300451,-10.7637448854186,4.78913456599128e-23,5.94459759578607e-21,41.5724073978404
"YWHAZ",-0.461376999236373,9.58228684514122,-10.7269321958535,6.3851332197567e-23,7.81558042579386e-21,41.2881961054093
"IQGAP1",-0.89644517102748,6.0714179901477,-10.7137196382701,7.07877875786906e-23,8.54592838261645e-21,41.1862932443174
"RBPJ",-1.19163633589962,5.76140645202719,-10.6697674918817,9.971911943985e-23,1.18760081030189e-20,40.8477082318035
"RAP1B",-1.49259170868431,6.27275888639904,-10.5663198845622,2.22844190524864e-22,2.61856780146084e-20,40.0532526683079
"TNFRSF8",2.20724947253282,1.31257337635749,10.5628350605811,2.28949490899907e-22,2.65491034644853e-20,40.02655056285
"CD38",-1.79412930072409,0.937627663892276,-10.5024223060207,3.65564812545161e-22,4.18405544540325e-20,39.5642795356417
"S100A3",3.46410300487922,2.23974159292053,10.4675747325718,4.78580115165252e-22,5.40734173711714e-20,39.2981805878376
"PLA2G12A",2.36210037267373,3.35288943334129,10.4568838595561,5.19770169397848e-22,5.7983981049408e-20,39.2166255462329
"CD5L",-3.23852256249896,2.73675059317924,-10.4173519040708,7.0511081736033e-22,7.76767704174574e-20,38.9153908562573
"SLAMF7",2.7673848753661,2.74533660443694,10.321071040634,1.47871661029826e-21,1.60888018352575e-19,38.1839493933563
