"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZFP865",2265.35146612134,-0.995461788391103,1.60487811471799,-0.620272517434152,0.535078385359825,0.915734148851319
"MED11",134212.469636088,-0.0446777960155974,0.177924867703016,-0.25110484325424,0.801733051475497,0.974451135822739
"FRMD8",44641.664666321,-1.19951933967738,0.465422460127019,-2.57726999111736,0.00995841328151427,0.0909972375304837
"BTAF1",68708.6103135938,0.477447900751869,0.37988283315538,1.25682936706061,0.208815429570975,0.666442389912907
"ADAMTS13",5844.14162308017,0.277086737444087,0.31436365846506,0.881421023018422,0.378089983056593,0.833154063080581
"PRPSAP1",108517.098898527,0.606336148373138,0.266731306727679,2.27320952988912,0.0230135562848522,0.170479062576138
"ZC3H6",4157.4592893933,-1.5739077282659,1.73247082028,-0.908475750264889,0.36362692008553,0.82547738610123
"DNA2",99898.276785716,0.166333427001046,0.522472545794997,0.31835821487606,0.750213230341523,0.965908039417023
"KIN",222794.273979736,0.270313777500901,0.257160904553009,1.05114647178098,0.293191323229746,0.771351227545015
"UBTF",330335.115880086,-0.0750501441173587,0.224188639132521,-0.334763368954639,0.737803595023236,0.96422062746685
"TMEM81",386.49162270453,0.31925920403724,2.74042792213216,0.11649976321539,0.907256473747448,0.991723531839938
"EFR3A",259937.466323221,-0.552805942551814,0.280685905073199,-1.96948237357216,0.0488977247262072,0.292619325224283
"GAS2L3",357197.475973536,0.137787217178359,0.118907698329503,1.1587745714877,0.246548085122532,0.716178384321669
"HDAC3",114977.473557328,0.0329744953790325,0.308682485410683,0.10682334417245,0.914929127468243,0.992625837293127
"ZBTB41",9952.84372558253,-0.352242803901672,0.795187878984387,-0.442968024552331,0.657788863066227,0.949500951895015
"AGPAT2",10877.8932786504,0.0693785512392007,0.87882915314099,0.0789442987766592,0.937076927839648,0.99532210334556
"TMEM205",13494.4275503725,-1.10383082349036,0.836656629875421,-1.31933553631759,0.187056962492241,0.634812279082519
"FGFR1OP2",308087.170321051,-0.113425793104127,0.153560430077762,-0.738639459701231,0.460125956487864,0.884694090214801
"ANXA7",329310.500510333,0.418567229720167,0.21593577070634,1.9383876434692,0.0525759468129988,0.307005975140189
"ANKLE2",66710.8096450825,-0.310773488088137,0.270911942123681,-1.14713838619288,0.251324431265269,0.721808812002762
"ZYX",204561.453675731,-0.866617393824653,0.333080569007726,-2.60182512719483,0.00927291223575335,0.0865471808670312
"RALGPS2",28827.836573714,-0.815665948559706,0.540018446232349,-1.51044090114054,0.130930958686342,0.535584624565281
"CUL3",230407.004913677,-0.220947180125002,0.22472771237787,-0.983177276122888,0.325520196684314,0.798812581453466
"IWS1",86689.3558624775,-0.0484091279667641,0.313379312746987,-0.1544745488859,0.877235577382822,0.985971427859892
"MFAP3",142139.721642379,0.103137055621351,0.495635024308729,0.20809073322693,0.83515812260524,0.979680768480571
"PTPN14",2844.81545614297,30,1.738824839278,17.2530316581264,1.06178824583669e-66,4.05072215786698e-64
"PPM1A",60295.6862142436,-0.418591172773093,0.4509530029883,-0.928236800729219,0.353284748897177,0.820242488817948
"AI987944",72649.025306279,-0.209463532124558,0.81229285221118,-0.257867013792338,0.796509543273076,0.974451135822739
"PABPN1",267683.696850507,0.126957637454848,0.238281792019262,0.532804610788662,0.59416884177936,0.935217596165049
"GTF3A",65508.7160861868,-0.135491781308598,0.310692577923712,-0.436095970538012,0.66276710058279,0.949655019238815
"SLC4A2",46371.5957393666,-1.0481457074495,0.674395853043793,-1.55419951460086,0.120136833272417,0.509722971018371
"BLZF1",133288.393084819,0.484087012464872,0.489174628942686,0.989599590459525,0.322369870268505,0.79558451002114
"4833420G17RIK",166281.82750374,0.00949894926914066,0.293003290938402,0.0324192579500331,0.974137704936051,0.998758974142171
"GM7609",3582.97924822166,0.573374674097273,0.888067814415553,0.645642894371324,0.518510651252516,0.908783216475505
"MAP3K8",148781.883383001,0.723305318150415,0.343719926548079,2.10434502711102,0.0353483609877643,0.233529772261609
"BOLA2",103406.30249727,-0.0761734467967191,0.0733385181376221,-1.03865538507033,0.298965037508711,0.775226248493275
"SYNCRIP",618273.618847728,-0.197996258576743,0.0949756069010436,-2.08470643186348,0.0370959564718482,0.242434387905955
"RTKN2",24646.9344165389,0.716722490482415,1.00583067654995,0.71256773847941,0.476113281060412,0.89152114792299
"CD6",703441.483542277,0.406019718347787,0.117357098511733,3.45969458598359,0.000540788385275482,0.00817072352406323
"CRTC3",38158.2612484179,-2.13846231862438,0.660261576993187,-3.23881078823772,0.00120029171677078,0.0163054465263402
"SLC19A1",505536.104636443,0.209608763137589,0.223001700837922,0.939942441470133,0.347247085697272,0.816798258023855
"IDUA",3850.7150628995,-1.51607485765172,1.59239895928741,-0.952069736550295,0.341061615982726,0.81187629511014
"PPIG",1334586.42724978,-0.271514207912045,0.114071702420808,-2.38020650301539,0.0173029385162252,0.13909192717696
"CST7",79753.4156157311,1.38357557138706,0.412964361960942,3.35035102016362,0.00080709211778307,0.0116373786305855
"IDI2",174.948705870604,5.15402928016009,2.88806537777429,1.78459577813715,0.0743269067210841,0.386661932745898
"GDAP2",103538.466844387,-0.430718556737171,0.466941300377478,-0.922425487719711,0.356306680161407,0.820242488817948
"MORN4",989.194013104582,-0.501986435281442,2.16748095424653,-0.231599006347876,0.816849479350393,0.976397412534426
"POLR3C",275515.77115081,0.062090320800527,0.259412321025211,0.239349929699341,0.810834251982851,0.976397412534426
"SNORD17",5380.54498956274,0.338643659275179,1.06421932816705,0.318208521788867,0.750326769025615,0.965908039417023
"MGLL",128386.275629766,0.286513958257473,0.615275658362509,0.465667631025741,0.641453425148152,0.945299784428855
"ZFP688",16692.5193108089,0.296775513419703,0.866291291735154,0.342581665371784,0.731913197203156,0.962526456924348
"NEK7",186074.71174514,-0.377223218042714,0.2746539502628,-1.37344908996128,0.169612777706282,0.604970534511942
"TRIM35",61188.7839352559,-0.254864817483649,0.50527905640986,-0.504404079786188,0.613977451692439,0.937908937320421
"TMBIM6",2095204.07769215,-0.317061723225049,0.0649307806933627,-4.88307270972733,1.04445335267281e-06,2.67871565744321e-05
"PKN1",67905.5915956809,-0.904630674535743,0.63273218990369,-1.42972127698045,0.152797031060019,0.576673378559576
"L3MBTL3",18846.6663397357,1.0428360730274,0.740560915137347,1.40817055249802,0.159080573709835,0.588264027821992
"TIMP3",886.528338468472,7.03615138121889,2.88799448281099,2.43634516031705,0.0148365198794697,0.123944503664621
"ERLIN1",24543.447269647,-0.63369714712167,0.977456860146187,-0.648312138324852,0.516783084718989,0.908200240336081
"VAPA",256293.940526421,0.0310869703841454,0.130101022755544,0.238944857816813,0.811148341314775,0.976397412534426
"CD37",412121.321343339,-0.712957946467459,0.267814397848403,-2.66213449387076,0.00776468467041065,0.0747565224419347
"VPS4A",54148.1513625867,-0.271760645210123,0.438520043491414,-0.619722289194392,0.535440638562802,0.916029021885439
"LYSMD3",39504.5930223248,0.237463112375741,0.664123134090987,0.357558862485294,0.72067346854509,0.959910973035336
"PHF14",348300.320454666,-0.573261283820148,0.29847037384342,-1.92066393872943,0.054774088670261,0.317211610287735
