,term,p,padj,q
0,Keratan sulfate synthesis,0.14080666464885164,,0.6802641973333821
1,Inositol phosphate metabolism,0.940719707655857,,0.7774543038478158
2,Folate metabolism,,,
3,"Valine, leucine, and isoleucine metabolism",,,
4,Fatty acid synthesis,,,
5,Aminosugar metabolism,0.7482906170667202,,0.6802641973333821
6,Methionine and cysteine metabolism,0.6331877879638294,,0.6802641973333821
7,Selenoamino acid metabolism,0.5572354780566711,,0.6802641973333821
8,Purine synthesis,,,
9,C5-branched dibasic acid metabolism,,,
10,Oxidative phosphorylation,0.22875203808847513,,0.6802641973333821
11,Vitamin B2 metabolism,,,
12,"Transport, lysosomal",0.6554959081704703,,0.6802641973333821
13,Chondroitin sulfate degradation,0.43101589170128485,,0.6802641973333821
14,Lysine metabolism,0.6961312848055483,,0.6802641973333821
15,Heme synthesis,0.3133077936305413,,0.6802641973333821
16,N-glycan synthesis,0.22162748280039118,,0.6802641973333821
