,term,p,padj,q
0,5HTRPDOX,,,
1,ACGAM6PSi,,,
2,ACP1_FMN_,,,
3,ADK1m,,,
4,ADPGLC,,,
5,ADPMAN,,,
6,ADPRDP,,,
7,ADSL1,,,
8,ADSL2,,,
9,ATPasel,0.6554959081704703,,0.0
10,CYSTGL,,,
11,FACOAL1831,0.268900646236774,,0.0
12,FAS100COA,,,
13,FAS120COA,,,
14,FAS140COA,,,
15,FAS160COA,,,
16,FAS180COA,,,
17,GTHO,,,
18,GTHOm,,,
19,HACD1m,,,
20,HACD9m,,,
21,ITCOAL1m,,,
22,ITCOALm,,,
23,KAS8,,,
24,MECOALm,,,
25,MECOAS1m,,,
26,MELATN23DOX,,,
27,MTAP,,,
28,MTHFCm,,,
29,MTHFD2m,,,
30,MTHFDm,,,
31,NADH2_u10m,0.6663947486373152,,0.0
32,NDP6,,,
33,PROD2m,,,
34,PSP_L,,,
35,RNDR1,0.010591090721017209,,0.0
36,RNDR2,0.010591090721017209,,0.0
37,RNDR3,0.010591090721017209,,0.0
38,RNDR4,0.010591090721017209,,0.0
39,SELCYSTGL,,,
40,SFGTH,,,
41,SPRMS,,,
42,SRTN23OX,,,
43,3HAO,0.06070577555845,,0.0
44,ATPS4m,0.04905513481085477,,0.0
45,CPPPGO,0.06070577555845,,0.0
46,DNAMTn,0.22162748280039118,,0.0
47,DNAMTSEn,0.22162748280039118,,0.0
48,FACOAL150,0.17130370071984108,,0.0
49,FACOAL160i,0.22162748280039118,,0.0
50,FACOAL170,0.17130370071984108,,0.0
51,FACOAL181i,0.17130370071984108,,0.0
52,FACOAL1821,0.17130370071984108,,0.0
53,FACOAL204,0.17130370071984108,,0.0
54,G14T10g,0.22162748280039118,,0.0
55,G14T11g,0.22162748280039118,,0.0
56,G14T12g,0.22162748280039118,,0.0
57,G14T13g,0.22162748280039118,,0.0
58,G14T14g,0.22162748280039118,,0.0
59,G14T15g,0.22162748280039118,,0.0
60,G14T16g,0.22162748280039118,,0.0
61,G14T17g,0.22162748280039118,,0.0
62,G14T18g,0.22162748280039118,,0.0
63,G14T19g,0.22162748280039118,,0.0
64,G14T20g,0.22162748280039118,,0.0
65,G14T21g,0.22162748280039118,,0.0
66,G14T2g,0.22162748280039118,,0.0
67,G14T3g,0.22162748280039118,,0.0
68,G14T4g,0.22162748280039118,,0.0
69,G14T5g,0.22162748280039118,,0.0
70,G14T6g,0.22162748280039118,,0.0
71,G14T7g,0.22162748280039118,,0.0
72,G14T8g,0.22162748280039118,,0.0
73,G14T9g,0.22162748280039118,,0.0
74,G14Tg,0.22162748280039118,,0.0
75,GCNTg,0.06070577555845,,0.0
76,GF6PTA,0.11773283072134268,,0.0
77,GTHP,0.22162748280039118,,0.0
78,GTHPm,0.17130370071984108,,0.0
79,HKYNH,0.06070577555845,,0.0
80,KYN,0.06070577555845,,0.0
81,LFORKYNHYD,0.06070577555845,,0.0
82,NADNe,0.06070577555845,,0.0
83,NADPNe,0.06070577555845,,0.0
84,NTD1,0.11773283072134268,,0.0
85,NTD2e,0.06070577555845,,0.0
86,NTD4e,0.0036787203981240644,,0.0
87,NTD7e,0.0036787203981240644,,0.0
88,NTD9e,0.0036787203981240644,,0.0
89,ORNDC,0.06070577555845,,0.0
90,P45011A1m,0.06070577555845,,0.0
91,PCLYSOX,0.17130370071984108,,0.0
92,PI45P5P,0.268900646236774,,0.0
93,S4TASE1ly,0.06070577555845,,0.0
94,S4TASE2ly,0.06070577555845,,0.0
95,S4TASE3ly,0.06070577555845,,0.0
96,S4TASE4ly,0.06070577555845,,0.0
97,S4TASE5ly,0.06070577555845,,0.0
98,SARDHm,0.06070577555845,,0.0
