,term,p,padj,q
0,Keratan sulfate degradation,1.0,1.0,1.0
1,Keratan sulfate synthesis,0.257324411890112,1.0,1.0
2,Inositol phosphate metabolism,0.7045688834506255,1.0,1.0
3,Folate metabolism,1.0,1.0,1.0
4,"Valine, leucine, and isoleucine metabolism",0.5313852089206788,1.0,1.0
5,Chondroitin sulfate degradation,1.0,1.0,1.0
6,Fatty acid synthesis,0.14975074739748576,1.0,1.0
7,Aminosugar metabolism,0.4486324373703431,1.0,1.0
8,Heparan sulfate degradation,1.0,1.0,1.0
9,Methionine and cysteine metabolism,0.35133631755522143,1.0,1.0
10,Lysine metabolism,0.4019517136789523,1.0,1.0
11,Pentose phosphate pathway,1.0,1.0,1.0
12,Selenoamino acid metabolism,0.2964560718837226,1.0,1.0
13,Tetrahydrobiopterin metabolism,1.0,1.0,1.0
14,Propanoate metabolism,1.0,1.0,1.0
15,Biotin metabolism,1.0,1.0,1.0
16,Limonene and pinene degradation,1.0,1.0,1.0
17,ROS detoxification,1.0,1.0,1.0
18,Glycolysis/gluconeogenesis,1.0,1.0,1.0
19,Pyrimidine synthesis,1.0,1.0,1.0
20,Heme synthesis,1.0,1.0,1.0
21,Purine synthesis,0.10249676357333223,1.0,1.0
22,C5-branched dibasic acid metabolism,1.0,1.0,1.0
23,Oxidative phosphorylation,0.7686707901132372,1.0,1.0
24,N-glycan degradation,1.0,1.0,1.0
25,Vitamin B2 metabolism,1.0,1.0,1.0
26,Butanoate metabolism,1.0,1.0,1.0
27,Phosphatidylinositol phosphate metabolism,1.0,1.0,1.0
28,"Transport, mitochondrial",1.0,1.0,1.0
29,Nucleotide sugar metabolism,1.0,1.0,1.0
30,CoA synthesis,1.0,1.0,1.0
31,"Stilbene, coumarine and lignin synthesis",1.0,1.0,1.0
32,O-glycan synthesis,1.0,1.0,1.0
33,Ubiquinone synthesis,1.0,1.0,1.0
34,CoA catabolism,1.0,1.0,1.0
35,Citric acid cycle,1.0,1.0,1.0
36,"Transport, lysosomal",1.0,1.0,1.0
37,Vitamin B12 metabolism,1.0,1.0,1.0
38,N-glycan synthesis,1.0,1.0,1.0
39,Thiamine metabolism,1.0,1.0,1.0
