,term,p,padj,q
0,2OXOADOXm,1.0,1.0,1.0
1,3DSPHR,1.0,1.0,1.0
2,3HAO,1.0,1.0,1.0
3,3HBCDm,1.0,1.0,1.0
4,3HPCOAHYD,1.0,1.0,1.0
5,3NTD7l,1.0,1.0,1.0
6,3SALATAi,1.0,1.0,1.0
7,3SALATAim,1.0,1.0,1.0
8,4HGLSDm,1.0,1.0,1.0
9,5HOXINDACTOXm,1.0,1.0,1.0
10,5HTRPDOX,1.0,1.0,1.0
11,AACOAT,1.0,1.0,1.0
12,ABUTD,1.0,1.0,1.0
13,ACACT10m,1.0,1.0,1.0
14,ACACT1x,1.0,1.0,1.0
15,ACACT4p,1.0,1.0,1.0
16,ACACT5p,1.0,1.0,1.0
17,ACACT6p,1.0,1.0,1.0
18,ACACT7p,1.0,1.0,1.0
19,ACACT8p,1.0,1.0,1.0
20,ACACT9p,1.0,1.0,1.0
21,ACCOAL,1.0,1.0,1.0
22,ACGAM2E,1.0,1.0,1.0
23,ACGAM6PSi,0.02666811799311293,1.0,1.0
24,ACGAMK,1.0,1.0,1.0
25,ACGAMPM,1.0,1.0,1.0
26,ACGPID,1.0,1.0,1.0
27,ACNAM9PL,1.0,1.0,1.0
28,ACNAM9PL2,1.0,1.0,1.0
29,ACNAMPH,1.0,1.0,1.0
30,ACOAD10m,1.0,1.0,1.0
31,ACOAD1fm,1.0,1.0,1.0
32,ACOAD8m,1.0,1.0,1.0
33,ACOAD9m,1.0,1.0,1.0
34,ACOAO7p,1.0,1.0,1.0
35,ACOATA,1.0,1.0,1.0
36,ACODA,1.0,1.0,1.0
37,ACP1_FMN_,1.0,1.0,1.0
38,ACS,1.0,1.0,1.0
39,ACS2,1.0,1.0,1.0
40,ACYP,1.0,1.0,1.0
41,ADA,1.0,1.0,1.0
42,ADAe,1.0,1.0,1.0
43,ADK1m,1.0,1.0,1.0
44,ADMDC,1.0,1.0,1.0
45,ADPGLC,0.02666811799311293,1.0,1.0
46,ADPMAN,0.02666811799311293,1.0,1.0
47,ADPRDP,0.02666811799311293,1.0,1.0
48,ADPRDPm,1.0,1.0,1.0
49,ADSL1,0.02666811799311293,1.0,1.0
50,ADSL2,0.02666811799311293,1.0,1.0
51,AGDC,1.0,1.0,1.0
52,AGPAT1,0.14975074739748576,1.0,1.0
53,AGPRim,1.0,1.0,1.0
54,AGPSx,1.0,1.0,1.0
55,AHEXASE2ly,1.0,1.0,1.0
56,AHEXASEly,1.0,1.0,1.0
57,AICART,1.0,1.0,1.0
58,ALATA_L,1.0,1.0,1.0
59,ALDD20xm,1.0,1.0,1.0
60,AMACR2p,1.0,1.0,1.0
61,AMACR2r,1.0,1.0,1.0
62,AMACRp,1.0,1.0,1.0
63,AMACRr,1.0,1.0,1.0
64,AMANK,1.0,1.0,1.0
65,AP4AH1,1.0,1.0,1.0
66,ARSA,1.0,1.0,1.0
67,ASAH1,1.0,1.0,1.0
68,ASNNm,1.0,1.0,1.0
69,ASNS1,1.0,1.0,1.0
70,ASPCTr,1.0,1.0,1.0
71,ASPTA,1.0,1.0,1.0
72,ASPTAm,1.0,1.0,1.0
73,ATPasel,1.0,1.0,1.0
74,ATPS4m,1.0,1.0,1.0
75,B3GALT41g,1.0,1.0,1.0
76,B3GALT42g,1.0,1.0,1.0
77,B3GALT43g,1.0,1.0,1.0
78,B3GALT44g,1.0,1.0,1.0
79,BACCL,1.0,1.0,1.0
80,BACCLm,1.0,1.0,1.0
81,BAMPPALDOXm,1.0,1.0,1.0
82,BDHm,1.0,1.0,1.0
83,BPNT,1.0,1.0,1.0
84,BPNT2,1.0,1.0,1.0
85,BTND1,1.0,1.0,1.0
86,BTND1n,1.0,1.0,1.0
87,BTNDe,1.0,1.0,1.0
88,BTNDm,1.0,1.0,1.0
89,BUP2,1.0,1.0,1.0
90,C14STRr,1.0,1.0,1.0
91,C160CPT2,1.0,1.0,1.0
92,C161CPT22,1.0,1.0,1.0
93,C180CPT2,1.0,1.0,1.0
94,C2M26DCOAHLm,1.0,1.0,1.0
95,C2M26DCOAHLx,1.0,1.0,1.0
96,CAT2p,1.0,1.0,1.0
97,CATm,1.0,1.0,1.0
98,CBLATm,1.0,1.0,1.0
99,CBR1,1.0,1.0,1.0
100,CBR2,1.0,1.0,1.0
101,CDIPTr,1.0,1.0,1.0
102,CERK,1.0,1.0,1.0
103,CMPSAS,1.0,1.0,1.0
104,CMPSASn,1.0,1.0,1.0
105,CPPPGO,1.0,1.0,1.0
106,CSNAT2m,1.0,1.0,1.0
107,CSNAT2x,1.0,1.0,1.0
108,CSNAT3x,1.0,1.0,1.0
109,CSNATer,1.0,1.0,1.0
110,CSNATm,1.0,1.0,1.0
111,CSNATp,1.0,1.0,1.0
112,CSNATr,1.0,1.0,1.0
113,CYSO,1.0,1.0,1.0
114,CYSTA,1.0,1.0,1.0
115,CYSTAm,1.0,1.0,1.0
116,CYSTGL,0.02666811799311293,1.0,1.0
117,CYSTS,1.0,1.0,1.0
118,CYTK10,1.0,1.0,1.0
119,CYTK10n,1.0,1.0,1.0
120,CYTK11,1.0,1.0,1.0
121,CYTK11n,1.0,1.0,1.0
122,CYTK12,1.0,1.0,1.0
123,CYTK12n,1.0,1.0,1.0
124,CYTK13,1.0,1.0,1.0
125,CYTK13n,1.0,1.0,1.0
126,CYTK14,1.0,1.0,1.0
127,CYTK14n,1.0,1.0,1.0
128,CYTK1n,1.0,1.0,1.0
129,CYTK2n,1.0,1.0,1.0
130,CYTK3n,1.0,1.0,1.0
131,CYTK4n,1.0,1.0,1.0
132,CYTK5,1.0,1.0,1.0
133,CYTK5n,1.0,1.0,1.0
134,CYTK6,1.0,1.0,1.0
135,CYTK6n,1.0,1.0,1.0
136,CYTK7,1.0,1.0,1.0
137,CYTK7n,1.0,1.0,1.0
138,CYTK8,1.0,1.0,1.0
139,CYTK8n,1.0,1.0,1.0
140,CYTK9,1.0,1.0,1.0
141,CYTK9n,1.0,1.0,1.0
142,DADA,1.0,1.0,1.0
143,DADAe,1.0,1.0,1.0
144,DASCBR,1.0,1.0,1.0
145,DCK1n,1.0,1.0,1.0
146,DCK2n,1.0,1.0,1.0
147,DCMPDA,1.0,1.0,1.0
148,DESAT16_2,1.0,1.0,1.0
149,DESAT18_10,1.0,1.0,1.0
150,DESAT18_3,1.0,1.0,1.0
151,DESAT18_4,1.0,1.0,1.0
152,DESAT18_5,1.0,1.0,1.0
153,DESAT18_6,1.0,1.0,1.0
154,DESAT18_7,1.0,1.0,1.0
155,DESAT18_8,1.0,1.0,1.0
156,DESAT18_9,1.0,1.0,1.0
157,DESAT20_1,1.0,1.0,1.0
158,DESAT20_2,1.0,1.0,1.0
159,DESAT24_1,1.0,1.0,1.0
160,DGNSKm,1.0,1.0,1.0
161,DHAPA,1.0,1.0,1.0
162,DHAPAx,1.0,1.0,1.0
163,DHCR71r,1.0,1.0,1.0
164,DHCR72r,1.0,1.0,1.0
165,DHDPBMTm,1.0,1.0,1.0
166,DHFR,1.0,1.0,1.0
167,DHORD9,1.0,1.0,1.0
168,DHORTS,1.0,1.0,1.0
169,DHPR,1.0,1.0,1.0
170,DMATT,1.0,1.0,1.0
171,DMATTx,1.0,1.0,1.0
172,DNAMTn,1.0,1.0,1.0
