,0
0,Keratan sulfate degradation
1,"Valine, leucine, and isoleucine metabolism"
2,Chondroitin sulfate degradation
3,Cholesterol metabolism
4,Aminosugar metabolism
5,Methionine and cysteine metabolism
6,Lysine metabolism
7,Pentose phosphate pathway
8,NAD metabolism
9,Selenoamino acid metabolism
10,Propanoate metabolism
11,Limonene and pinene degradation
12,ROS detoxification
13,Pyrimidine synthesis
14,Heme synthesis
15,Purine synthesis
16,C5-branched dibasic acid metabolism
17,Oxidative phosphorylation
18,N-glycan degradation
19,Nucleotide salvage pathway
20,Vitamin B2 metabolism
21,Butanoate metabolism
22,Phosphatidylinositol phosphate metabolism
23,Nucleotide sugar metabolism
24,CoA synthesis
25,"Stilbene, coumarine and lignin synthesis"
26,O-glycan synthesis
27,Ubiquinone synthesis
28,CoA catabolism
29,Citric acid cycle
30,"Transport, lysosomal"
31,Vitamin B12 metabolism
32,Thiamine metabolism
