,term,p,padj,q
0,2HBO,0.46912023146770965,,0.010935203530715842
1,2OXOADOXm,,,
2,34DHPHAMT,,,
3,3HBCDm,,,
4,4HGLSDm,,,
5,5HOXINDACTOXm,0.3160786583025782,,0.008280813683588635
6,5HTRPDOX,,,
7,ACACT10m,0.3160786583025782,,0.008280813683588635
8,ACGAM6PSi,,,
9,ACOAD8m,,,
10,ACOATA,,,
11,ADK1m,,,
12,ADMDC,,,
13,ADPGLC,,,
14,ADPMAN,,,
15,ADPRDP,,,
16,ADPRDPm,,,
17,ADSL1,,,
18,ADSL2,,,
19,ADSS,0.2237405132541668,,0.007589569649055863
20,AG13T10g,0.5322789046796043,,0.011576313716389829
21,AG13T11g,0.5322789046796043,,0.011576313716389829
22,AG13T12g,0.5322789046796043,,0.011576313716389829
23,AG13T13g,0.5322789046796043,,0.011576313716389829
24,AG13T14g,0.5322789046796043,,0.011576313716389829
25,AG13T15g,0.5322789046796043,,0.011576313716389829
26,AG13T16g,0.5322789046796043,,0.011576313716389829
27,AG13T17g,0.5322789046796043,,0.011576313716389829
28,AG13T18g,0.5322789046796043,,0.011576313716389829
29,AG13T1g,0.5322789046796043,,0.011576313716389829
30,AG13T2g,0.5322789046796043,,0.011576313716389829
31,AG13T3g,0.5322789046796043,,0.011576313716389829
32,AG13T4g,0.5322789046796043,,0.011576313716389829
33,AG13T5g,0.5322789046796043,,0.011576313716389829
34,AG13T6g,0.5322789046796043,,0.011576313716389829
35,AG13T7g,0.5322789046796043,,0.011576313716389829
36,AG13T8g,0.5322789046796043,,0.011576313716389829
37,AG13T9g,0.5322789046796043,,0.011576313716389829
38,AGPAT1,0.5322789046796043,,0.011576313716389829
39,AGPSx,,,
40,ALAR,,,
41,ALASm,0.3160786583025782,,0.008280813683588635
42,ALATA_L,,,
43,ALCD1,,,
44,ALCD21_D,,,
45,ALCD21_L,,,
46,ALCD22_D,,,
47,ALCD22_L,,,
48,ALDD20xm,0.3160786583025782,,0.008280813683588635
49,ALKP,,,
50,ALR2,,,
51,ALR3,,,
52,AMPDA,,,
53,ARABR,,,
54,ASNS1,,,
55,ASPCTr,,,
56,ATPasel,0.9384176802604179,,0.020168013760163722
57,ATPS4m,0.3292986954310623,,0.008602369264134335
58,BACCL,,,
59,BACCLm,,,
60,BAMPPALDOXm,0.3160786583025782,,0.008280813683588635
61,BDHm,,,
62,BUP2,,,
63,C2M26DCOAHLm,,,
64,CAATPS,0.3974368423153972,,0.00955836561605092
65,CDIPTr,,,
66,CK,,,
67,CYSTGL,,,
68,CYSTS,,,
69,CYTK10,,,
70,CYTK10n,,,
71,CYTK11,,,
72,CYTK11n,,,
73,CYTK12,,,
74,CYTK12n,,,
75,CYTK13,,,
76,CYTK13n,,,
77,CYTK14,,,
78,CYTK14n,,,
79,CYTK1n,,,
80,CYTK2n,,,
81,CYTK3n,,,
82,CYTK4n,,,
83,CYTK5,,,
84,CYTK5n,,,
85,CYTK6,,,
86,CYTK6n,,,
87,CYTK7,,,
88,CYTK7n,,,
89,CYTK8,,,
90,CYTK8n,,,
91,CYTK9,,,
92,CYTK9n,,,
93,DAGK_hs,0.29137462032521666,,0.008280813683588635
94,DASCBR,,,
95,DCMPDA,,,
96,DESAT18_10,,,
97,DESAT18_6,,,
98,DESAT18_7,,,
99,DESAT18_8,,,
100,DESAT18_9,0.2237405132541668,,0.007589569649055863
101,DESAT24_1,,,
102,DHORTS,,,
103,DHPM1,,,
104,DMATT,,,
105,DNAMTn,,,
106,DNAMTSEn,,,
107,DOPABMO,,,
108,DOPACHRMISO,,,
109,DOPAMT,,,
110,DRPA,,,
111,DURIK1,,,
112,DUTPDPm,,,
113,DUTPDPn,,,
114,ECOAH12m,0.3160786583025782,,0.008280813683588635
115,ECOAH1m,0.3974368423153972,,0.00955836561605092
116,ECOAH9m,0.3160786583025782,,0.008280813683588635
117,FA160ACPH,,,
118,FACOAL1831,0.5322789046796043,,0.011576313716389829
119,FAEL183,,,
120,FAEL184,,,
121,FAEL204,,,
122,FAEL205,,,
123,FAOXC16080x,0.3974368423153972,,0.00955836561605092
124,FAOXC180x,0.3974368423153972,,0.00955836561605092
125,FAOXC183806x,0.3974368423153972,,0.00955836561605092
126,FAOXC18480x,0.3974368423153972,,0.00955836561605092
127,FAOXC200180x,0.3974368423153972,,0.00955836561605092
128,FAOXC2051843x,0.3974368423153972,,0.00955836561605092
129,FAOXC2242046x,0.3974368423153972,,0.00955836561605092
130,FAOXC2251836x,0.3974368423153972,,0.00955836561605092
131,FAOXC2252053x,0.3974368423153972,,0.00955836561605092
132,FAOXC226205x,0.3974368423153972,,0.00955836561605092
133,FAOXC240200x,0.3974368423153972,,0.00955836561605092
134,FAOXC241181x,0.3974368423153972,,0.00955836561605092
135,FAOXC2442246x,0.3974368423153972,,0.00955836561605092
136,FAOXC2452253x,0.3974368423153972,,0.00955836561605092
137,FAOXC2452256x,0.3974368423153972,,0.00955836561605092
138,FAOXC246226x,0.3974368423153972,,0.00955836561605092
139,FAOXC260240x,0.3974368423153972,,0.00955836561605092
140,FAS100COA,,,
141,FAS120COA,,,
142,FAS140COA,,,
143,FAS160COA,,,
144,FAS180COA,,,
145,FAS80COA_L,,,
146,FCLTm,,,
147,FPGS,,,
148,FPGS2,,,
149,FPGS2m,,,
150,FPGS3,,,
151,FPGS3m,,,
152,FPGS4,,,
153,FPGS4m,,,
154,FPGS5,,,
155,FPGS5m,,,
156,FPGS6,,,
157,FPGS6m,,,
158,FPGS7,,,
159,FPGS7m,,,
160,FPGS8,,,
161,FPGS8m,,,
162,FPGS9,,,
163,FPGS9m,,,
164,FPGSm,,,
165,FRTT,,,
166,FTHFDH,,,
167,FTHFLm,0.2237405132541668,,0.007589569649055863
168,FUCASE2e,,,
169,FUMAC,,,
170,G14T10g,0.07200410626412096,,0.006007133835351159
171,G14T11g,0.07200410626412096,,0.006007133835351159
172,G14T12g,0.07200410626412096,,0.006007133835351159
173,G14T13g,0.07200410626412096,,0.006007133835351159
174,G14T14g,0.07200410626412096,,0.006007133835351159
175,G14T15g,0.07200410626412096,,0.006007133835351159
176,G14T16g,0.07200410626412096,,0.006007133835351159
177,G14T17g,0.07200410626412096,,0.006007133835351159
178,G14T18g,0.07200410626412096,,0.006007133835351159
179,G14T19g,0.07200410626412096,,0.006007133835351159
180,G14T20g,0.07200410626412096,,0.006007133835351159
181,G14T21g,0.07200410626412096,,0.006007133835351159
182,G14T2g,0.07200410626412096,,0.006007133835351159
183,G14T3g,0.07200410626412096,,0.006007133835351159
184,G14T4g,0.07200410626412096,,0.006007133835351159
185,G14T5g,0.07200410626412096,,0.006007133835351159
186,G14T6g,0.07200410626412096,,0.006007133835351159
187,G14T7g,0.07200410626412096,,0.006007133835351159
188,G14T8g,0.07200410626412096,,0.006007133835351159
189,G14T9g,0.07200410626412096,,0.006007133835351159
190,G14Tg,0.07200410626412096,,0.006007133835351159
191,G6PDA,0.2237405132541668,,0.007589569649055863
192,GALASE10ly,0.07200410626412096,,0.006007133835351159
193,GALASE11ly,0.07200410626412096,,0.006007133835351159
194,GALASE12ly,0.07200410626412096,,0.006007133835351159
195,GALASE13ly,0.07200410626412096,,0.006007133835351159
196,GALASE14ly,0.07200410626412096,,0.006007133835351159
197,GALASE15ly,0.07200410626412096,,0.006007133835351159
198,GALASE16ly,0.07200410626412096,,0.006007133835351159
199,GALASE17ly,0.07200410626412096,,0.006007133835351159
200,GALASE18ly,0.07200410626412096,,0.006007133835351159
201,GALASE19ly,0.07200410626412096,,0.006007133835351159
202,GALASE1ly,0.07200410626412096,,0.006007133835351159
203,GALASE20ly,0.07200410626412096,,0.006007133835351159
204,GALASE3ly,0.07200410626412096,,0.006007133835351159
205,GALASE4ly,0.07200410626412096,,0.006007133835351159
206,GALASE5ly,0.07200410626412096,,0.006007133835351159
207,GALASE6ly,0.07200410626412096,,0.006007133835351159
208,GALASE7ly,0.07200410626412096,,0.006007133835351159
209,GALASE8ly,0.07200410626412096,,0.006007133835351159
210,GALASE9ly,0.07200410626412096,,0.006007133835351159
211,GALGT1,,,
212,GALGT2,,,
213,GALGT3,,,
214,GALGT4,,,
215,GALNACT1g,,,
216,GALNACT2g,,,
217,GALNACT3g,,,
218,GALNACT4g,,,
219,GALNACT5g,,,
220,GALOR,,,
221,GARFT,,,
222,GASNASE3ly,,,
223,GCALDDm,0.15332686540823642,,0.007534489700650439
224,GCC2am,,,
225,GCC2bim,,,
226,GCC2cm,,,
227,GCCam,,,
228,GCCbim,,,
229,GCCcm,,,
230,GF6PTA,0.2237405132541668,,0.007589569649055863
231,GHMT2r,,,
232,GHMT2rm,,,
233,GHMT3,,,
234,GHMT3m,,,
235,GLACOm,0.3160786583025782,,0.008280813683588635
236,GLB1,0.07200410626412096,,0.006007133835351159
237,GLCAASE1ly,,,
238,GLCAASE4ly,,,
239,GLCAASE5ly,,,
240,GLCAASE6ly,,,
241,GLCAASE7ly,,,
