,term,p,padj,q
0,Fatty acid oxidation,0.7420001356433439,,0.38181825161750116
1,Nucleotide interconversion,0.0028791096927432928,,0.0311412870842448
2,Keratan sulfate degradation,0.12988789497750264,,0.19679984087500402
3,Sphingolipid metabolism,0.6779541207334842,,0.3760996043769499
4,Tyrosine metabolism,0.34441881510033173,,0.30300775522023327
5,Keratan sulfate synthesis,0.22134529852382548,,0.22455631288645023
6,Steroid metabolism,0.7906742917853051,,0.39095433317724676
7,Chondroitin synthesis,0.8822657252404852,,0.4103163439345944
8,Tryptophan metabolism,0.22231074975758572,,0.22455631288645023
9,Glycerophospholipid metabolism,0.5478333416092593,,0.3320202070359148
10,Inositol phosphate metabolism,0.8478154258607764,,0.40565331380898395
11,Folate metabolism,0.022169153967518593,,0.07340302287625083
12,"Valine, leucine, and isoleucine metabolism",0.0020960585778633713,,0.0311412870842448
13,Chondroitin sulfate degradation,0.3314514800197494,,0.30131952729068134
14,Cholesterol metabolism,0.724483200638284,,0.3799737066284707
15,Arginine and Proline Metabolism,0.1659399733223298,,0.22455631288645023
16,Fatty acid synthesis,0.057427637726686444,,0.12047756166437718
17,"Glycine, serine, alanine and threonine metabolism",0.0034255415792669272,,0.0311412870842448
18,Pyrimidine catabolism,0.12429820208015147,,0.19679984087500402
19,Pyruvate metabolism,0.2960265149759295,,0.2783948416701532
20,Aminosugar metabolism,0.36469356439026024,,0.30630243613349195
21,Heparan sulfate degradation,0.5272061669568486,,0.3267806819980467
22,Urea cycle,0.04095684371529875,,0.10154589350900518
23,Purine catabolism,0.46161159533037366,,0.30886468007132195
24,Eicosanoid metabolism,0.9067924279474776,,0.4103163439345944
25,Methionine and cysteine metabolism,0.018208620167993923,,0.07094267597919711
26,Lysine metabolism,0.05441660026255373,,0.12047756166437718
27,Pentose phosphate pathway,0.00862034926899546,,0.04702008692179343
28,NAD metabolism,0.07229811256897113,,0.14084047903046326
29,Vitamin A metabolism,0.776517412678287,,0.39095433317724676
30,beta-Alanine metabolism,0.724483200638284,,0.3799737066284707
31,Triacylglycerol synthesis,0.38891072487065936,,0.30630243613349195
32,Glyoxylate and dicarboxylate metabolism,0.6541480477276411,,0.371675027117978
33,Glutamate metabolism,0.03165957776146278,,0.0863443029858076
34,Alanine and aspartate metabolism,0.37624338780691524,,0.30630243613349195
35,Histidine metabolism,0.9177408892670427,,0.4103163439345944
36,Selenoamino acid metabolism,0.02422299754916277,,0.07340302287625083
37,Tetrahydrobiopterin metabolism,0.46432656904055397,,0.30886468007132195
38,Glutathione metabolism,0.18940661581921395,,0.22455631288645023
39,Propanoate metabolism,0.6096097845633531,,0.3537387531315396
40,Biotin metabolism,0.22094455796618953,,0.22455631288645023
41,Limonene and pinene degradation,0.46161159533037366,,0.30886468007132195
42,Pyrimidine synthesis,0.14992857945908009,,0.21520848726183747
43,Heme synthesis,0.5272061669568486,,0.3267806819980467
44,Galactose metabolism,0.46161159533037366,,0.30886468007132195
45,Purine synthesis,0.0058902975746085665,,0.0401611198268766
46,"Transport, extracellular",0.8943874323861184,,0.4103163439345944
47,Miscellaneous,0.8027595641239466,,0.39095433317724676
48,Hyaluronan metabolism,0.5827073602740569,,0.34547867209924327
49,Fructose and mannose metabolism,0.4197339061748107,,0.30886468007132195
50,Oxidative phosphorylation,0.6895159413577413,,0.3760996043769499
51,N-glycan degradation,0.5272061669568486,,0.3267806819980467
52,Nucleotide salvage pathway,0.22094455796618953,,0.22455631288645023
53,Butanoate metabolism,0.2857808547995158,,0.27835797545407387
54,Vitamin C metabolism,0.4197339061748107,,0.30886468007132195
55,Phosphatidylinositol phosphate metabolism,0.1941990070535998,,0.22455631288645023
56,CoA synthesis,0.22094455796618953,,0.22455631288645023
57,"Stilbene, coumarine and lignin synthesis",0.1173560071095739,,0.19679984087500402
58,O-glycan synthesis,0.1173560071095739,,0.19679984087500402
59,"Transport, lysosomal",0.010499284651891806,,0.04772402114496275
60,N-glycan synthesis,0.3930881263713146,,0.30630243613349195
61,Blood group synthesis,,,
62,Starch and sucrose metabolism,,,
63,Phenylalanine metabolism,,,
64,ROS detoxification,,,
65,Glycolysis/gluconeogenesis,,,
66,C5-branched dibasic acid metabolism,,,
67,Vitamin B2 metabolism,,,
68,Vitamin B6 metabolism,,,
69,Taurine and hypotaurine metabolism,,,
70,Alkaloid synthesis,,,
71,CoA catabolism,,,
72,Citric acid cycle,,,
