,term,p,padj,q
0,2HBO,0.10813435569435721,,0.005104654506723529
1,2OXOADOXm,0.07025633555429246,,0.005104654506723529
2,34DHPHAMT,0.1173560071095739,,0.005104654506723529
3,3HBCDm,0.1173560071095739,,0.005104654506723529
4,4HGLSDm,0.1173560071095739,,0.005104654506723529
5,5HOXINDACTOXm,0.312380178667059,,0.009606259197734961
6,5HTRPDOX,0.1173560071095739,,0.005104654506723529
7,ACACT10m,0.312380178667059,,0.009606259197734961
8,ACGAM6PSi,0.1173560071095739,,0.005104654506723529
9,ACOAD8m,0.1173560071095739,,0.005104654506723529
10,ACOATA,0.1173560071095739,,0.005104654506723529
11,ADK1m,0.22094455796618953,,0.008231913486072636
12,ADMDC,0.1173560071095739,,0.005104654506723529
13,ADPGLC,0.1173560071095739,,0.005104654506723529
14,ADPMAN,0.1173560071095739,,0.005104654506723529
15,ADPRDP,0.1173560071095739,,0.005104654506723529
16,ADPRDPm,0.1173560071095739,,0.005104654506723529
17,ADSL1,0.1173560071095739,,0.005104654506723529
18,ADSL2,0.1173560071095739,,0.005104654506723529
19,ADSS,0.22094455796618953,,0.008231913486072636
20,AG13T10g,0.5272061669568486,,0.011576771342925972
21,AG13T11g,0.5272061669568486,,0.011576771342925972
22,AG13T12g,0.5272061669568486,,0.011576771342925972
23,AG13T13g,0.5272061669568486,,0.011576771342925972
24,AG13T14g,0.5272061669568486,,0.011576771342925972
25,AG13T15g,0.5272061669568486,,0.011576771342925972
26,AG13T16g,0.5272061669568486,,0.011576771342925972
27,AG13T17g,0.5272061669568486,,0.011576771342925972
28,AG13T18g,0.5272061669568486,,0.011576771342925972
29,AG13T1g,0.5272061669568486,,0.011576771342925972
30,AG13T2g,0.5272061669568486,,0.011576771342925972
31,AG13T3g,0.5272061669568486,,0.011576771342925972
32,AG13T4g,0.5272061669568486,,0.011576771342925972
33,AG13T5g,0.5272061669568486,,0.011576771342925972
34,AG13T6g,0.5272061669568486,,0.011576771342925972
35,AG13T7g,0.5272061669568486,,0.011576771342925972
36,AG13T8g,0.5272061669568486,,0.011576771342925972
37,AG13T9g,0.5272061669568486,,0.011576771342925972
38,AGPAT1,0.5272061669568486,,0.011576771342925972
39,AGPSx,0.1173560071095739,,0.005104654506723529
40,ALAR,0.1173560071095739,,0.005104654506723529
41,ALASm,0.312380178667059,,0.009606259197734961
42,ALATA_L,0.22094455796618953,,0.008231913486072636
43,ALCD1,0.5827073602740569,,0.012552937532831904
44,ALCD21_D,0.5827073602740569,,0.012552937532831904
45,ALCD21_L,0.5827073602740569,,0.012552937532831904
46,ALCD22_D,0.5827073602740569,,0.012552937532831904
47,ALCD22_L,0.5827073602740569,,0.012552937532831904
48,ALDD20xm,0.312380178667059,,0.009606259197734961
49,ALKP,0.22094455796618953,,0.008231913486072636
50,ALR2,0.312380178667059,,0.009606259197734961
51,ALR3,0.312380178667059,,0.009606259197734961
52,AMPDA,0.312380178667059,,0.009606259197734961
53,ARABR,0.312380178667059,,0.009606259197734961
54,ASNS1,0.1173560071095739,,0.005104654506723529
55,ASPCTr,0.1173560071095739,,0.005104654506723529
56,ATPasel,0.010499284651891806,,0.005104654506723529
57,ATPS4m,0.13002808872122473,,0.005628921589663409
58,BACCL,0.1173560071095739,,0.005104654506723529
59,BACCLm,0.1173560071095739,,0.005104654506723529
60,BAMPPALDOXm,0.312380178667059,,0.009606259197734961
61,BDHm,0.1173560071095739,,0.005104654506723529
62,BUP2,0.1173560071095739,,0.005104654506723529
63,C2M26DCOAHLm,0.312380178667059,,0.009606259197734961
64,CAATPS,0.3930881263713146,,0.009606259197734961
65,CDIPTr,0.1173560071095739,,0.005104654506723529
66,CK,0.22094455796618953,,0.008231913486072636
67,CYSTGL,0.1173560071095739,,0.005104654506723529
68,CYSTS,0.1173560071095739,,0.005104654506723529
69,CYTK10,0.1173560071095739,,0.005104654506723529
70,CYTK10n,0.1173560071095739,,0.005104654506723529
71,CYTK11,0.1173560071095739,,0.005104654506723529
72,CYTK11n,0.1173560071095739,,0.005104654506723529
73,CYTK12,0.1173560071095739,,0.005104654506723529
74,CYTK12n,0.1173560071095739,,0.005104654506723529
75,CYTK13,0.1173560071095739,,0.005104654506723529
76,CYTK13n,0.1173560071095739,,0.005104654506723529
77,CYTK14,0.1173560071095739,,0.005104654506723529
78,CYTK14n,0.1173560071095739,,0.005104654506723529
79,CYTK1n,0.1173560071095739,,0.005104654506723529
80,CYTK2n,0.1173560071095739,,0.005104654506723529
81,CYTK3n,0.1173560071095739,,0.005104654506723529
82,CYTK4n,0.1173560071095739,,0.005104654506723529
83,CYTK5,0.1173560071095739,,0.005104654506723529
84,CYTK5n,0.1173560071095739,,0.005104654506723529
85,CYTK6,0.1173560071095739,,0.005104654506723529
86,CYTK6n,0.1173560071095739,,0.005104654506723529
87,CYTK7,0.1173560071095739,,0.005104654506723529
88,CYTK7n,0.1173560071095739,,0.005104654506723529
89,CYTK8,0.1173560071095739,,0.005104654506723529
90,CYTK8n,0.1173560071095739,,0.005104654506723529
91,CYTK9,0.1173560071095739,,0.005104654506723529
