,0
0,0610007P14RIK
1,0610009B22RIK
2,0610009L18RIK
3,0610009O20RIK
4,0610010F05RIK
5,0610010K14RIK
6,0610012G03RIK
7,0610030E20RIK
8,0610037L13RIK
9,1110002L01RIK
10,1110004E09RIK
11,1110004F10RIK
12,1110008F13RIK
13,1110008P14RIK
14,1110012L19RIK
15,1110032A03RIK
16,1110034G24RIK
17,1110037F02RIK
18,1110038B12RIK
19,1110038F14RIK
20,1110059E24RIK
21,1110059G10RIK
22,1110065P20RIK
23,1190002N15RIK
24,1190007I07RIK
25,1300002E11RIK
26,1500004A13RIK
27,1500009L16RIK
28,1500011B03RIK
29,1500011K16RIK
30,1500015A07RIK
31,1600002K03RIK
32,1600012H06RIK
33,1600014C10RIK
34,1600020E01RIK
35,1700001O22RIK
36,1700007L15RIK
37,1700008J07RIK
38,1700012D14RIK
39,1700017B05RIK
40,1700019D03RIK
41,1700020I14RIK
42,1700020L24RIK
43,1700021A07RIK
44,1700021F05RIK
45,1700025G04RIK
46,1700028E10RIK
47,1700034I23RIK
48,1700037C18RIK
49,1700037H04RIK
50,1700047I17RIK2
51,1700048O20RIK
52,1700052K11RIK
53,1700056E22RIK
54,1700058P15RIK
55,1700066B19RIK
56,1700096K18RIK
57,1700097N02RIK
58,1700113A16RIK
59,1700120C14RIK
60,1700123O20RIK
61,1810009A15RIK
62,1810013L24RIK
63,1810014B01RIK
64,1810022K09RIK
65,1810024B03RIK
66,1810026B05RIK
67,1810026J23RIK
68,1810030O07RIK
69,1810032O08RIK
70,1810034E14RIK
71,1810037I17RIK
72,1810041H14RIK
73,1810043G02RIK
74,1810043H04RIK
75,1810044D09RIK
76,1810058I24RIK
77,1810062O18RIK
78,2010008C14RIK
79,2010016I18RIK
80,2010107E04RIK
81,2010111I01RIK
82,2010300C02RIK
83,2010315B03RIK
84,2010320M18RIK
85,2210011C24RIK
86,2210013O21RIK
87,2210016F16RIK
88,2210016L21RIK
89,2210418O10RIK
90,2300009A05RIK
91,2310001H17RIK
92,2310009A05RIK
93,2310009B15RIK
94,2310010J17RIK
95,2310011J03RIK
96,2310015A10RIK
97,2310022A10RIK
98,2310031A07RIK
99,2310033P09RIK
100,2310035C23RIK
101,2310036O22RIK
102,2310039H08RIK
103,2310057M21RIK
104,2310061I04RIK
105,2410002F23RIK
106,2410004B18RIK
107,2410006H16RIK
108,2410015M20RIK
109,2410016O06RIK
110,2410022M11RIK
111,2410089E03RIK
112,2410131K14RIK
113,2510002D24RIK
114,2510039O18RIK
115,2510046G10RIK
116,2610001J05RIK
117,2610002M06RIK
118,2610005L07RIK
119,2610008E11RIK
120,2610020C07RIK
121,2610035D17RIK
122,2610037D02RIK
123,2610044O15RIK8
124,2610306M01RIK
125,2610318N02RIK
126,2610507B11RIK
127,2610524H06RIK
128,2700016F22RIK
129,2700038G22RIK
130,2700049A03RIK
131,2700060E02RIK
132,2700062C07RIK
133,2700094K13RIK
134,2700097O09RIK
135,2810001G20RIK
136,2810002D19RIK
137,2810004N23RIK
138,2810006K23RIK
139,2810013P06RIK
140,2810021J22RIK
141,2810025M15RIK
142,2810039B14RIK
143,2810402E24RIK
144,2810403A07RIK
145,2810403D21RIK
146,2810405F17RIK
147,2810408I11RIK
148,2810417H13RIK
149,2810428I15RIK
150,2810454H06RIK
151,2810468N07RIK
152,2810474O19RIK
153,2900026A02RIK
154,2900041M22RIK
155,2900060B14RIK
156,2900076A07RIK
157,2900093K20RIK
158,2900097C17RIK
159,3010003L21RIK
160,3010026O09RIK
161,3110001I22RIK
162,3110002H16RIK
163,3110009E18RIK
164,3110040N11RIK
165,3110056K07RIK
166,3110062M04RIK
167,3830406C13RIK
168,4632404H12RIK
169,4632415L05RIK
170,4632427E13RIK
171,4732440D04RIK
172,4833403J16RIK
173,4833407H14RIK
174,4833420G17RIK
175,4833439L19RIK
176,4921524J17RIK
177,4921531C22RIK
178,4930402H24RIK
179,4930404N11RIK
180,4930430F08RIK
181,4930431P03RIK
182,4930431P19RIK
183,4930453N24RIK
184,4930486L24RIK
185,4930503L19RIK
186,4930522L14RIK
187,4930523C07RIK
188,4930570N18RIK
189,4930577N17RIK
190,4930579G24RIK
191,4930581F22RIK
192,4931406C07RIK
193,4931406P16RIK
194,4932422M17RIK
195,4932438A13RIK
196,4933412E12RIK
197,4933427D14RIK
198,4933434E20RIK
199,5031425E22RIK
200,5033430I15RIK
201,5330406M23RIK
202,5330438D12RIK
203,5430403G16RIK
204,5430405H02RIK
205,5430416N02RIK
206,5430427O19RIK
207,5530601H04RIK
208,5730455P16RIK
209,5730480H06RIK
210,5730508B09RIK
211,5830408C22RIK
212,5830417I10RIK
213,5830428M24RIK
214,5830432E09RIK
215,5830444F18RIK
216,5830468F06RIK
217,6030458C11RIK
218,6230400D17RIK
219,6330403K07RIK
220,6330418K02RIK
221,6430590A07RIK
222,6530402F18RIK
