MD_SRX,cell_id,cell_type,NREADS,NALIGNED,geo
SRX1435513,SRR2921289,Th17p,1296320,922293,GSM1943112
SRX1435545,SRR2921321,Th17p,1320230,941281,GSM1943144
SRX1435597,SRR2921373,Th17p,2109040,1149880,GSM1943196
SRX1435517,SRR2921293,Th17p,1631870,1183900,GSM1943116
SRX1435624,SRR2921400,Th17p,1895830,1292000,GSM1943223
SRX1435623,SRR2921399,Th17p,2946520,2149250,GSM1943222
SRX1435568,SRR2921344,Th17p,1479640,1086190,GSM1943167
SRX1435633,SRR2921409,Th17p,2702100,1679700,GSM1943232
SRX1435626,SRR2921402,Th17p,1907850,1280170,GSM1943225
SRX1435605,SRR2921381,Th17p,2934600,1876220,GSM1943204
SRX1435548,SRR2921324,Th17p,1675190,1175480,GSM1943147
SRX1435587,SRR2921363,Th17p,1409870,760250,GSM1943186
SRX1435552,SRR2921328,Th17p,1911150,1317530,GSM1943151
SRX1435508,SRR2921284,Th17p,1480810,1085800,GSM1943107
SRX1435528,SRR2921304,Th17p,899124,583146,GSM1943127
SRX1435507,SRR2921283,Th17p,1074300,732092,GSM1943106
SRX1435576,SRR2921352,Th17p,1981660,1167040,GSM1943175
SRX1435554,SRR2921330,Th17p,1905310,1368650,GSM1943153
SRX1435511,SRR2921287,Th17p,1511040,1074640,GSM1943110
SRX1435561,SRR2921337,Th17p,1723060,1256080,GSM1943160
SRX1435590,SRR2921366,Th17p,2565930,1562870,GSM1943189
SRX1435583,SRR2921359,Th17p,1968390,1164730,GSM1943182
SRX1435544,SRR2921320,Th17p,1682290,1177530,GSM1943143
SRX1435549,SRR2921325,Th17p,1716800,1168960,GSM1943148
SRX1435582,SRR2921358,Th17p,2295110,1262610,GSM1943181
SRX1435569,SRR2921345,Th17p,1558140,1048300,GSM1943168
SRX1435557,SRR2921333,Th17p,1772230,1220120,GSM1943156
SRX1435565,SRR2921341,Th17p,1088470,636749,GSM1943164
SRX1435541,SRR2921317,Th17p,717082,441623,GSM1943140
SRX1435558,SRR2921334,Th17p,2230300,1593580,GSM1943157
SRX1435625,SRR2921401,Th17p,1287500,890797,GSM1943224
