,0
0,SOX17
1,MRPL15
2,LYPLA1
3,TCEA1
4,ATP6V1H
5,RB1CC1
6,4732440D04RIK
7,PCMTD1
8,GM26901
9,RRS1
10,ADHFE1
11,2610203C22RIK
12,MYBL1
13,VCPIP1
14,SGK3
15,MCMDC2
16,SNHG6
17,COPS5
18,CSPP1
19,ARFGEF1
20,PREX2
21,SULF1
22,SLCO5A1
23,NCOA2
24,TRAM1
25,LACTB2
26,EYA1
27,GM9947
28,MSC
29,TERF1
30,RPL7
31,RDH10
32,STAU2
33,UBE2W
34,ELOC
35,TMEM70
36,LY96
37,PI15
38,MCM3
39,PAQR8
40,EFHC1
41,TRAM2
42,TMEM14A
43,GSTA3
44,GM28836
45,KHDC1A
46,KCNQ5
47,GM29107
48,OGFRL1
49,B3GAT2
50,SMAP1
51,SDHAF4
52,FAM135A
53,LMBRD1
54,PHF3
55,PRIM2
56,RAB23
57,BAG2
58,ZFP451
59,BEND6
60,DST
61,CCDC115
62,IMP4
63,PTPN18
64,GM28417
65,4930568A12RIK
66,ARHGEF4
67,GM38336
68,FAM168B
69,PLEKHB2
70,HS6ST1
71,UGGT1
72,NEURL3
73,ARID5A
74,KANSL3
75,LMAN2L
76,CNNM4
77,CNNM3
78,ANKRD23
79,ANKRD39
80,SEMA4C
81,D430040D24RIK
82,FAM178B
83,COX5B
84,ACTR1B
85,ZAP70
86,TMEM131
87,VWA3B
88,INPP4A
89,COA5
90,UNC50
91,MGAT4A
92,2010300C02RIK
93,TSGA10
94,LIPT1
95,MITD1
96,MRPL30
97,TXNDC9
98,EIF5B
99,REV1
100,AFF3
101,LONRF2
102,CHST10
103,PDCL3
104,NPAS2
105,RPL31
106,TBC1D8
107,CNOT11
108,GM15832
109,RNF149
110,CREG2
111,D930019O06RIK
112,MAP4K4
113,IL1R2
114,IL1R1
115,IL1RL2
116,IL1RL1
117,IL18R1
118,IL18RAP
119,MFSD9
120,MRPS9
121,GPR45
122,TGFBRAP1
123,8430432A02RIK
124,AI597479
125,FHL2
126,NCK2
127,ECRG4
128,GM29155
129,UXS1
130,TPP2
131,METTL21C
132,GM8251
133,TEX30
134,POGLUT2
135,BIVM
136,ERCC5
137,GULP1
138,COL3A1
139,COL5A2
140,WDR75
141,SLC40A1
142,SLC39A10
143,GM28151
144,TMEFF2
145,CAVIN2
146,NABP1
147,MYO1B
148,STAT4
149,GM31812
150,STAT1
151,GLS
152,NAB1
153,NEMP2
154,MFSD6
155,INPP1
156,HIBCH
157,1700019D03RIK
158,PMS1
159,ORMDL1
160,OSGEPL1
161,ASNSD1
162,DNAH7A
163,STK17B
164,HECW2
165,GTF3C3
166,PGAP1
167,ANKRD44
168,SF3B1
169,COQ10B
170,HSPD1
171,HSPE1
172,MOB4
173,RFTN2
174,GM10561
175,MARS2
176,BOLL
177,PLCL1
178,4930558J18RIK
179,1700066M21RIK
180,TYW5
181,MAIP1
182,SPATS2L
183,KCTD18
184,SGO2A
185,AOX1
186,AOX3
187,BZW1
188,CLK1
189,PPIL3
190,NIF3L1
191,ORC2
192,FAM126B
193,NDUFB3
194,FLACC1
195,CFLAR
196,CASP8
197,TRAK2
198,STRADB
199,TMEM237
200,G730003C15RIK
201,ALS2
202,FZD7
203,SUMO1
204,NOP58
205,BMPR2
206,FAM117B
207,ICA1L
208,WDR12
209,CARF
210,NBEAL1
211,CYP20A1
212,ABI2
213,RAPH1
214,CD28
215,GM11579
216,CTLA4
217,ICOS
218,PARD3B
219,NRP2
220,GM4208
221,INO80D
222,INO80DOS
223,GM20342
224,NDUFS1
225,EEF1B2
226,GPR1
227,ADAM23
228,FASTKD2
229,KLF7
230,CREB1
231,METTL21A
232,2810408I11RIK
233,CCNYL1
234,FZD5
235,PLEKHM3
236,AKR1CL
237,D630023F18RIK
238,IDH1
239,PIKFYVE
240,MAP2
241,RPE
242,KANSL1L
243,ACADL
244,LANCL1
245,IKZF2
246,BARD1
247,ATIC
248,FN1
249,MREG
250,PECR
251,XRCC5
252,MARCH4
253,SMARCAL1
254,RPL37A
255,IGFBP2
256,IGFBP5
257,TNS1
258,RUFY4
259,CXCR2
260,ARPC2
261,AAMP
262,PNKD
263,TMBIM1
264,CATIP
265,SLC11A1
266,CTDSP1
267,USP37
268,CNOT9
269,ZFP142
270,BCS1L
271,RNF25
272,STK36
273,TTLL4
274,CYP27A1
275,WNT6
276,WNT10A
277,NHEJ1
278,SLC23A3
279,CNPPD1
280,RETREG2
281,ZFAND2B
282,ABCB6
283,ATG9A
284,ANKZF1
285,GLB1L
286,STK16
287,TUBA4A
288,DNAJB2
289,PTPRN
290,DNPEP
291,DES
292,SPEG
293,GMPPA
294,CHPF
295,OBSL1
296,TMEM198
297,INHA
298,STK11IP
299,SLC4A3
300,EPHA4
301,FARSB
302,MOGAT1
303,ACSL3
304,UTP14B
305,KCNE4
306,AP1S3
307,WDFY1
308,MRPL44
309,SERPINE2
310,FAM124B
311,CUL3
312,1700016L21RIK
313,DOCK10
314,IRS1
315,RHBDD1
316,C430014B12RIK
317,MFF
318,AGFG1
319,A030005L19RIK
320,SLC19A3
321,CCL20
322,PID1
323,TRIP12
324,FBXO36
325,C130026I21RIK
326,A530032D15RIK
327,GM10553
328,A530040E14RIK
329,G530012D18RIK
330,SP110
331,SP140
332,SP100
333,A630001G21RIK
334,CAB39
335,ITM2C
336,GM28884
337,GPR55
338,PSMD1
339,ARMC9
340,GM16341
341,B3GNT7
342,NCL
343,C130036L24RIK
344,PTMA
345,PDE6D
346,COPS7B
347,DIS3L2
348,EIF4E2
349,EFHD1
350,GIGYF2
351,SNORC
352,NGEF
353,INPP5D
354,ATG16L1
355,SAG
356,DGKD
357,USP40
358,DNAJB3
359,MROH2A
360,HJURP
361,GM29336
362,ARL4C
363,SH3BP4
364,AGAP1
365,GBX2
366,D130058E05RIK
367,ACKR3
368,COPS8
369,COL6A3
370,MLPH
371,LRRFIP1
372,RBM44
373,RAMP1
374,UBE2F
375,SCLY
376,ILKAP
377,HES6
378,PER2
379,TRAF3IP1
380,ASB1
381,TWIST2
382,HDAC4
383,NDUFA10
384,COPS9
385,OTOS
386,GM29483
387,GPC1
388,ANKMY1
389,DUSP28
390,5033417F24RIK
391,RNPEPL1
392,CAPN10
393,GPR35
394,KIF1A
395,SNED1
396,MTERF4
397,PASK
398,PPP1R7
399,ANO7
400,HDLBP
401,SEPT2
402,FARP2
403,STK25
404,BOK
405,THAP4
406,ATG4B
407,DTYMK
408,ING5
409,D2HGDH
410,GAL3ST2
411,GAL3ST2B
412,GAL3ST2C
413,PDCD1
414,FAM174A
415,ST8SIA4
416,D1ERTD622E
417,PPIP5K2
418,GIN1
419,PAM
420,B230216N24RIK
421,1810006J02RIK
422,GM29461
423,GM7967
424,RNF152
425,PIGN
426,RELCH
427,TNFRSF11A
428,GM7160
429,ZCCHC2
430,PHLPP1
431,BCL2
432,D630008O14RIK
433,KDSR
434,VPS4B
435,SERPINB7
436,SERPINB8
437,DSEL
438,TSN
439,NIFK
440,CLASP1
441,2900060B14RIK
442,GLI2
443,INHBB
444,RALB
445,GM27184
446,TMEM185B
447,EPB41L5
448,PTPN4
449,TMEM177
450,TMEM37
451,DBI
452,3110009E18RIK
453,STEAP3
454,C1QL2
455,MARCO
456,EN1
457,INSIG2
458,CCDC93
459,DDX18
460,DPP10
461,ACTR3
462,SLC35F5
463,NCKAP5
