,0
0,SOX17
1,MRPL15
2,LYPLA1
3,TCEA1
4,ATP6V1H
5,RB1CC1
6,4732440D04RIK
7,ST18
8,PCMTD1
9,GM26901
10,RRS1
11,ADHFE1
12,2610203C22RIK
13,MYBL1
14,VCPIP1
15,1700034P13RIK
16,SGK3
17,MCMDC2
18,SNHG6
19,TCF24
20,COPS5
21,CSPP1
22,ARFGEF1
23,CPA6
24,PREX2
25,SULF1
26,SLCO5A1
27,PRDM14
28,NCOA2
29,TRAM1
30,LACTB2
31,XKR9
32,EYA1
33,GM9947
34,MSC
35,TRPA1
36,TERF1
37,SBSPON
38,RPL7
39,RDH10
40,STAU2
41,UBE2W
42,ELOC
43,D030040B21RIK
44,TMEM70
45,LY96
46,JPH1
47,PI15
48,CRISPLD1
49,GM28653
50,MCM3
51,6720483E21RIK
52,PAQR8
53,EFHC1
54,TRAM2
55,TMEM14A
56,GSTA3
57,KHDC1A
58,KHDC1C
59,KCNQ5
60,GM29107
61,OGFRL1
62,B3GAT2
63,SMAP1
64,SDHAF4
65,FAM135A
66,COL9A1
67,LMBRD1
68,PHF3
69,PTP4A1-1
70,PRIM2
71,RAB23
72,BAG2
73,ZFP451
74,BEND6
75,DST
76,GM26788
77,GM37233
78,CCDC115
79,IMP4
80,PTPN18
81,GM28417
82,4930568A12RIK
83,ARHGEF4
84,GM38336
85,FAM168B
86,PLEKHB2
87,HS6ST1
88,UGGT1
89,NEURL3
90,ARID5A
91,KANSL3
92,LMAN2L
93,CNNM4
94,CNNM3
95,ANKRD23
96,ANKRD39
97,SEMA4C
98,D430040D24RIK
99,FAM178B
100,COX5B
101,ACTR1B
102,4933424G06RIK
103,ZAP70
104,TMEM131
105,VWA3B
106,CNGA3
107,INPP4A
108,COA5
109,UNC50
110,MGAT4A
111,2010300C02RIK
112,TSGA10
113,LIPT1
114,MITD1
115,MRPL30
116,TXNDC9
117,EIF5B
118,REV1
119,AFF3
120,CHST10
121,PDCL3
122,NPAS2
123,RPL31
124,TBC1D8
125,CNOT11
126,GM15832
127,RNF149
128,CREG2
129,MAP4K4
130,IL1R2
131,IL1R1
132,IL1RL2
133,IL1RL1
134,IL18R1
135,IL18RAP
136,SLC9A4
137,SLC9A2
138,MFSD9
139,TMEM182
140,MRPS9
141,TGFBRAP1
142,8430432A02RIK
143,AI597479
144,FHL2
145,NCK2
146,ECRG4
147,GM29155
148,UXS1
149,TPP2
150,GM8251
151,TEX30
152,POGLUT2
153,BIVM
154,ERCC5
155,GULP1
156,COL3A1
157,COL5A2
158,WDR75
159,SLC40A1
160,DNAH7B
161,SLC39A10
162,GM28151
163,GM28321
164,TMEFF2
165,CAVIN2
166,NABP1
167,GM17767
168,MYO1B
169,STAT4
170,GM31812
171,STAT1
172,GLS
173,NAB1
174,NEMP2
175,MFSD6
176,INPP1
177,HIBCH
178,1700019D03RIK
179,MSTN
180,PMS1
181,ORMDL1
182,OSGEPL1
183,ASNSD1
184,STK17B
185,HECW2
186,CCDC150
187,GTF3C3
188,PGAP1
189,ANKRD44
190,SF3B1
191,COQ10B
192,HSPD1
193,HSPE1
194,MOB4
195,RFTN2
196,GM10561
197,MARS2
198,PLCL1
199,9130227L01RIK
200,SATB2
201,9130024F11RIK
202,BC055402
203,4930558J18RIK
204,1700066M21RIK
205,TYW5
206,MAIP1
207,SPATS2L
208,KCTD18
209,SGO2A
210,AOX1
211,AOX3
212,AOX4
213,BZW1
214,CLK1
215,PPIL3
216,NIF3L1
217,ORC2
218,GM15834
219,FAM126B
220,NDUFB3
221,FLACC1
222,CFLAR
223,CASP8
224,TRAK2
225,STRADB
226,TMEM237
227,G730003C15RIK
228,MPP4
229,ALS2
230,CDK15
231,FZD7
232,GM973
233,SUMO1
234,NOP58
235,BMPR2
236,FAM117B
237,ICA1L
238,WDR12
239,CARF
240,NBEAL1
241,CYP20A1
242,ABI2
243,RAPH1
244,CD28
245,CTLA4
246,ICOS
247,PARD3B
248,NRP2
249,GM29083
250,INO80D
251,INO80DOS
252,GM20342
253,NDUFS1
254,EEF1B2
255,GPR1
256,ADAM23
257,FASTKD2
258,KLF7
259,CREB1
260,METTL21A
261,2810408I11RIK
262,CCNYL1
263,FZD5
264,PLEKHM3
265,AKR1CL
266,CRYGE
267,D630023F18RIK
268,IDH1
269,PIKFYVE
270,MAP2
271,UNC80
272,RPE
273,KANSL1L
274,ACADL
275,MYL1
276,LANCL1
277,CPS1
278,IKZF2
279,BARD1
280,ATIC
281,FN1
282,APOL7D
283,GM8883
284,GM28818
285,4933417E11RIK
286,GM4319
287,MREG
288,PECR
289,TMEM169
290,XRCC5
291,MARCH4
292,SMARCAL1
293,RPL37A
294,IGFBP2
295,IGFBP5
296,TNS1
297,RUFY4
298,CXCR2
299,ARPC2
300,AAMP
301,PNKD
302,TMBIM1
303,CATIP
304,SLC11A1
305,CTDSP1
306,VIL1
307,USP37
308,CNOT9
309,PLCD4
310,ZFP142
311,BCS1L
312,RNF25
313,STK36
314,TTLL4
315,CYP27A1
316,PRKAG3
317,WNT6
318,GM29539
319,WNT10A
320,IHH
321,NHEJ1
322,SLC23A3
323,CNPPD1
324,RETREG2
325,ZFAND2B
326,ABCB6
327,ATG9A
328,ANKZF1
329,GLB1L
330,STK16
331,TUBA4A
332,A630095N17RIK
333,DNAJB2
334,PTPRN
335,RESP18
336,DNPEP
337,DES
338,SPEG
339,GMPPA
340,CHPF
341,OBSL1
342,TMEM198
343,INHA
344,STK11IP
345,SLC4A3
346,EPHA4
347,PAX3
348,FARSB
349,MOGAT1
350,ACSL3
351,UTP14B
352,KCNE4
353,AP1S3
354,WDFY1
355,MRPL44
356,SERPINE2
357,CUL3
358,DOCK10
359,IRS1
360,GM9747
361,RHBDD1
362,COL4A4
363,C430014B12RIK
364,MFF
365,AGFG1
366,A030005L19RIK
367,SPHKAP
368,PID1
369,DNER
370,TRIP12
371,FBXO36
372,C130026I21RIK
373,A530032D15RIK
374,GM10553
375,A530040E14RIK
376,GM16028
377,G530012D18RIK
378,SP110
379,SP140
380,SP100
381,A630001G21RIK
382,CAB39
383,ITM2C
384,4933407L21RIK
385,GM28884
386,GPR55
387,GM28100
388,PSMD1
389,HTR2B
390,ARMC9
391,B3GNT7
392,NCL
393,C130036L24RIK
394,PTMA
395,PDE6D
396,COPS7B
397,DIS3L2
398,PRSS56
399,CHRND
400,CHRNG
401,EIF4E2
402,EFHD1
403,GIGYF2
404,SNORC
405,NGEF
406,NEU2
407,INPP5D
408,ATG16L1
409,SAG
410,DGKD
411,USP40
412,UGT1A7C
413,UGT1A6A
414,DNAJB3
415,MROH2A
416,HJURP
417,GLRP1
418,GM19589
419,GM29336
420,ARL4C
421,PLATR5
422,SH3BP4
423,AGAP1
424,GM28499
425,GBX2
426,D130058E05RIK
427,IQCA
428,4930434B07RIK
429,ACKR3
430,COPS8
431,COL6A3
432,MLPH
433,RAB17
434,LRRFIP1
435,RBM44
436,RAMP1
437,UBE2F
438,SCLY
439,GM17090
440,ESPNL
441,KLHL30
442,ERFE
443,ILKAP
444,HES6
445,PER2
446,TRAF3IP1
447,ASB1
448,GM29100
449,TWIST2
450,GM29101
451,HDAC4
452,NDUFA10
453,COPS9
454,OTOS
455,GPC1
456,GM29480
457,ANKMY1
458,DUSP28
459,5033417F24RIK
460,RNPEPL1
461,9430060I03RIK
462,CAPN10
463,GPR35
464,KIF1A
