	log2FC	x_mean	y_mean	pval	padj
CFD	3.9093875885009766	3.7594292	0.097637795	5.283777690353657e-10	1.3209444225884144e-07
MGP	2.8851447105407715	3.3669724	0.3144357	2.3168668775864292e-51	5.792167193966073e-49
IGHG1	2.6811153888702393	21.344036	3.1900263	3.721165728285419e-60	9.302914320713548e-58
FABP4	2.5428121089935303	4.8297653	0.6934383	3.4616033391547516e-54	8.654008347886879e-52
COL1A1	2.524077892303467	4.7895007	0.6976378	7.069361891423442e-52	1.7673404728558605e-49
COL3A1	2.403965473175049	5.707951	0.94593173	6.504721934570261e-68	1.6261804836425652e-65
COL1A2	2.1828980445861816	5.1788993	1.0131234	1.1441942430383027e-49	2.8604856075957567e-47
IGFBP2	2.112922191619873	0.76605505	0.05144357	7.175895442133465e-38	1.793973860533366e-35
FN1	1.9912713766098022	4.1783895	0.9286089	8.170834335050304e-37	2.042708583762576e-34
COL6A3	1.9683728218078613	1.277268	0.20472442	1.2042446151007462e-47	3.0106115377518655e-45
SPARC	1.838426947593689	6.845056	1.7963254	3.457824130514006e-38	8.644560326285014e-36
ACTA2	1.8190557956695557	2.5229359	0.5979003	1.4854708850458167e-30	3.7136772126145417e-28
COL4A1	1.8168649673461914	3.230887	0.8	5.024150351822752e-49	1.256037587955688e-46
TAGLN	1.7650797367095947	2.5652397	0.6393701	4.624701562528554e-32	1.1561753906321384e-29
THBS1	1.7389020919799805	0.8639144	0.14435695	3.824289841923413e-20	9.560724604808533e-18
COL4A2	1.6833105087280273	2.261468	0.5916011	3.643193484142635e-43	9.107983710356586e-41
CCL2	1.573077917098999	0.8944954	0.19212599	6.999629258093952e-28	1.7499073145234878e-25
FBLN2	1.5249239206314087	0.6452599	0.1175853	8.032259672698257e-21	2.0080649181745643e-18
BGN	1.4895515441894531	4.7293577	1.5790026	6.140504721265305e-46	1.5351261803163262e-43
LPL	1.4804155826568604	0.9780836	0.24566929	2.1384495571458e-22	5.3461238928644997e-20
JCHAIN	1.4759019613265991	11.947502	4.1905513	3.015644763914106e-35	7.539111909785266e-33
CCN2	1.4070484638214111	0.43425077	0.061942257	2.9271639791415096e-05	0.007317909947853774
COL5A2	1.387890100479126	0.6090724	0.13175853	1.1691623090192704e-21	2.922905772548176e-19
COL5A1	1.358879804611206	0.63812435	0.14908136	4.971903595056211e-20	1.2429758987640528e-17
IGHG2B	1.3134377002716064	14.267584	5.6430445	4.781085316815593e-55	1.1952713292038984e-52
NTS	1.2978103160858154	0.2706422	0.0131233595	2.0501942179728656e-06	0.0005125485544932164
SERPINH1	1.2854605913162231	2.059633	0.74855644	1.046466372226786e-21	2.616165930566965e-19
SLPI	1.2676095962524414	8.486748	3.4293964	1.1079073198935886e-11	2.7697682997339716e-09
IGHE	1.2616056203842163	2.2069316	0.82519686	1.550942131022148e-05	0.0038773553275553694
MYL9	1.2568395137786865	1.1692151	0.39422572	8.654639781906065e-24	2.1636599454765162e-21
PRSS23	1.2565029859542847	0.5280326	0.12598425	1.4070788985791668e-15	3.5176972464479173e-13
SLC40A1	1.250819206237793	0.37665647	0.063517064	2.8991644972547634e-11	7.2479112431369085e-09
COL6A2	1.1958527565002441	0.8470948	0.2776903	7.6924527889537e-21	1.9231131972384253e-18
COL6A1	1.1776363849639893	0.9852192	0.34435695	2.610041447320124e-21	6.52510361830031e-19
CCN1	1.166153907775879	0.3246687	0.05406824	6.612205375571727e-08	1.6530513438929318e-05
ANGPT2	1.150930643081665	0.49439347	0.1328084	2.0271298997480017e-09	5.067824749370005e-07
LOXL1	1.092105746269226	0.32262996	0.06456693	5.586746172950238e-12	1.3966865432375596e-09
GPIHBP1	1.0433727502822876	0.4006116	0.11023622	4.129879806806998e-11	1.0324699517017494e-08
FMOD	1.043007254600525	0.58002037	0.19737533	6.848012780697512e-21	1.712003195174378e-18
TNC	1.03530752658844	1.1462793	0.47559056	3.070248637646495e-10	7.675621594116237e-08
POSTN	1.0315440893173218	1.2415903	0.52388453	3.0199178421231143e-07	7.549794605307786e-05
SERPINF1	1.023138403892517	0.54638124	0.18582678	4.989133662860305e-13	1.2472834157150763e-10
MCAM	1.0134954452514648	0.49184504	0.16115485	3.5830881409187887e-16	8.957720352296972e-14
SFRP2	1.0054086446762085	0.24159022	0.03832021	4.4339046581918926e-08	1.1084761645479732e-05
