,log2FC,x_mean,y_mean,pval,padj,genes
RETNLA,1.5689891576766968,0.61221826,0.067849435,2.2728669965928302e-05,0.003432029164855174,RETNLA
WFDC17,1.3545327186584473,4.9368596,1.8034045,1.0978063746578606e-85,1.6576876257333694e-83,WFDC17
HBB-BS,1.3338695764541626,3.5697522,1.2900983,2.490349883273217e-27,3.7604283237425575e-25,HBB-BS
F13A1,1.2560375928878784,1.4891042,0.5020379,9.073054824554442e-25,1.3700312785077207e-22,F13A1
CLEC10A,1.1483577489852905,0.84298754,0.26564372,1.1523824453445362e-07,1.7400974924702498e-05,CLEC10A
CBR2,1.1321831941604614,0.8107655,0.25629345,1.4543361552259473e-10,2.1960475943911803e-08,CBR2
C4B,1.0828256607055664,1.9277333,0.7998082,1.374250206997575e-41,2.0751178125663384e-39,C4B
IGHM,1.0722174644470215,0.9824921,0.35770798,2.5183912091052907e-07,3.802770725748989e-05,IGHM
HTRA3,1.0202139616012573,0.6723785,0.22560537,1.7103292120792213e-09,2.582597110239624e-07,HTRA3
DPT,0.9169712066650391,0.83106726,0.34188443,1.6225437796474858e-06,0.00024500411072677036,DPT
HBA-A1,0.8695625066757202,1.5960141,0.7789499,2.4131545084706663e-05,0.0036438633077907063,HBA-A1
CCL6,0.862586259841919,6.74837,3.617358,2.1797551994506646e-21,3.2914303511705035e-19,CCL6
CCL8,0.848203718662262,12.166884,6.665548,1.6027764652275974e-17,2.420192462493672e-15,CCL8
IL33,0.8325997591018677,1.3577948,0.6708223,4.826153324374328e-60,7.287491519805236e-58,IL33
FCGRT,0.7969353199005127,1.5069846,0.7787101,4.792097978856598e-28,7.236067948073463e-26,FCGRT
DCN,0.7835452556610107,6.3419633,3.5967393,8.278174227104781e-144,1.250004308292822e-141,DCN
RARRES2,0.7681570649147034,3.4481282,1.938384,1.8924309414685362e-09,2.85757072161749e-07,RARRES2
FOLR2,0.758949339389801,1.0059601,0.50899065,9.893143176368265e-12,1.493864619631608e-09,FOLR2
SELENOP,0.758902907371521,3.5898678,2.0359626,7.022371040700337e-10,1.0603780271457508e-07,SELENOP
SAA3,0.7529286742210388,3.8804247,2.2176936,8.758208591433702e-15,1.322489497306489e-12,SAA3
CD248,0.7344091534614563,0.9376048,0.48022056,1.9572741333873234e-19,2.955483941414858e-17,CD248
COL3A1,0.7279910445213318,19.801825,11.872453,2.631601395942467e-57,3.9737181078731254e-55,COL3A1
HBA-A2,0.7159972190856934,1.7252747,0.96859264,3.2244170799846255e-07,4.8688697907767844e-05,HBA-A2
FN1,0.7153704166412354,10.910598,6.563414,1.9483064122485648e-143,2.941942682495333e-141,FN1
MFAP5,0.7081000804901123,1.644999,0.925917,2.5440747897395173e-46,3.8415529325066713e-44,MFAP5
MALAT1,0.705414891242981,6.4907804,3.8997843,9.460710773087897e-07,0.00014285673267362724,MALAT1
LUM,0.6780012845993042,1.1648352,0.6497243,1.0241836927716651e-20,1.5465173760852143e-18,LUM
IL11RA1,0.672802209854126,0.95082885,0.5185807,1.6992107917097516e-11,2.565808295481725e-09,IL11RA1
SCARA5,0.6580969095230103,0.43211025,0.1973148,5.5526194571679754e-08,8.384455380323642e-06,SCARA5
SERPINF1,0.648086428642273,1.8876886,1.1289859,3.185966739989876e-51,4.8108097773847126e-49,SERPINF1
LOXL1,0.6393988132476807,1.5501956,0.92040277,7.632278721884826e-27,1.1524740870046087e-24,LOXL1
MRC1,0.6386075019836426,1.5660272,0.93119156,1.10396032750647e-06,0.00016669800945347696,MRC1
CDSN,0.6299393177032471,0.3032222,0.12203308,3.956603408166728e-05,0.005974471146331759,CDSN
GPX3,0.6234533190727234,2.6673496,1.6581155,6.83348407048407e-26,1.0318560946430945e-23,GPX3
OAF,0.6041978001594543,1.021978,0.6008152,1.3763638314241318e-34,2.078309385450439e-32,OAF
COL1A2,0.5975661277770996,15.559881,10.212179,2.899303523946188e-41,4.377948321158744e-39,COL1A2
PMP22,0.5970921516418457,0.6971503,0.3900743,4.89417317059553e-11,7.390201487599251e-09,PMP22
SERPINH1,0.5922722816467285,11.001677,7.227044,9.043206168983921e-106,1.3655241315165722e-103,SERPINH1
SPARC,0.5792964696884155,16.522072,10.988972,1.646020536268501e-62,2.4854910097654365e-60,SPARC
TMEM245,0.5786834359169006,4.5839076,3.0002398,3.557198742319734e-05,0.005371370100902799,TMEM245
PTCRA,0.5773884057998657,1.551313,0.9707504,0.0002329161186081838,0.03517033390983575,PTCRA
MMP2,0.5772583484649658,1.2456696,0.7660034,1.3890559975725783e-31,2.0974745563345933e-29,MMP2
SERPINE1,0.5727635622024536,1.6740547,1.0570606,1.9855977992235976e-08,2.9982526768276325e-06,SERPINE1
CTHRC1,0.5721412897109985,0.44850066,0.2332774,2.660975383316395e-05,0.004018072828807756,CTHRC1
NID1,0.570151150226593,0.80853045,0.47638455,3.1293344204659025e-12,4.725294974903513e-10,NID1
DPYSL3,0.5667227506637573,0.7340287,0.42771518,1.3131101567430134e-26,1.98279633668195e-24,DPYSL3
MGP,0.5659172534942627,0.87688583,0.52457446,1.150628329950947e-09,1.7374487782259298e-07,MGP
PLTP,0.5587503910064697,2.084932,1.3483577,8.653240541248126e-36,1.306639321728467e-33,PLTP
CRIP1,0.5553877353668213,5.9893837,4.0088706,1.3592069560144497e-13,2.052402503581819e-11,CRIP1
SCD2,0.554407000541687,4.1462097,2.756653,6.674530330851896e-37,1.0078540799586364e-34,SCD2
GM39459,0.5502763986587524,0.9174893,0.5602973,0.0002873702816374105,0.043392912527248986,GM39459
LYZ2,0.5472367405891418,15.565096,10.585711,5.712536713477474e-29,8.625930437350985e-27,LYZ2
C3,0.5466194152832031,3.9711306,2.652841,2.395114728549265e-16,3.6166232401093906e-14,C3
KRT19,0.5388279557228088,0.102253675,0.0052745147,5.994483267617595e-13,9.051669734102568e-11,KRT19
PRSS23,0.5365433096885681,0.7176383,0.42987293,7.6235223283599e-08,1.151151871582345e-05,PRSS23
2410006H16RIK,0.5338912010192871,17.678898,12.1460085,1.1416364415559525e-67,1.7238710267494882e-65,2410006H16RIK
TGFBR2,0.5243414640426636,1.408456,0.91560775,4.60896866968824e-21,6.959542691229242e-19,TGFBR2
SERPINA3N,0.5242807865142822,1.2266716,0.7892592,4.4758271693330076e-07,6.758499025692841e-05,SERPINA3N
MARCO,0.5240752696990967,0.14769976,0.039079357,0.00013019578092160784,0.019659562919162783,MARCO
OLFR1369-PS1,0.5183110237121582,0.46116596,0.2589307,8.57178722720069e-09,1.2943398713073041e-06,OLFR1369-PS1
ERO1L,0.5182816982269287,4.413485,3.0184608,7.035335876027724e-16,1.0623357172801863e-13,ERO1L
CD163,0.5164365768432617,0.18662693,0.06760968,0.00010936667507599911,0.016514367936475868,CD163
CCL11,0.5140358209609985,0.6334513,0.3809638,6.814876380328427e-10,1.0290463334295925e-07,CCL11
PLAT,0.5128287076950073,0.79865897,0.49724287,3.431660790800657e-32,5.1818077941089924e-30,PLAT
RNASE4,0.5110869407653809,1.8262246,1.2191321,1.4780410819910102e-30,2.2318420338064253e-28,RNASE4
ANGPTL2,0.5038622617721558,1.3479233,0.88899547,3.81580911166248e-29,5.761871758610344e-27,ANGPTL2
GDF15,0.5038031935691833,1.0126653,0.6526013,5.8641990374113415e-06,0.0008854940546491126,GDF15
ASPN,0.5028926134109497,0.38405663,0.20954208,0.00024831859369914695,0.03749610764857119,ASPN
POSTN,0.5011279582977295,3.7982864,2.6223927,3.137273295390211e-10,4.7372826760392185e-08,POSTN
RPL35,0.5004104375839233,23.345875,16.4421,2.828042898517553e-80,4.270344776761505e-78,RPL35
FBLN2,0.5000465512275696,2.0575526,1.3936706,4.315832633642793e-22,6.516907276800618e-20,FBLN2
