"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14RIK",877.903659894562,0.0915399067574325,0.057584208201577,1.58967032136643,0.111909136855494,0.170253611847257
"0610009B22RIK",108.511003836878,-0.5426672205002,0.115733647683558,-4.68893214170504,2.74634433724153e-06,8.96509357852357e-06
"0610009L18RIK",3.27191351181252,1.11713660082497,0.68229741931733,1.63731617502337,0.101564422918195,0.156704787236226
"0610009O20RIK",203.816851760842,0.229740786510976,0.0985247794304196,2.33180716403658,0.0197108379898034,0.0363265631200621
"0610010F05RIK",28.8143488772762,-0.00376101762581612,0.224899284589612,-0.0167231195629594,0.986657502995004,0.995423463041357
"0610010K14RIK",288.737389648172,-0.21372724446242,0.0752160964962475,-2.84150938985624,0.00449005296971526,0.00941819446726191
"0610011F06RIK",222.773846864498,1.91115209423758,0.0853108631414978,22.4022126123342,3.74509323706675e-111,8.72935241187173e-109
"0610030E20RIK",223.23343369299,0.224586636517323,0.0829596090202619,2.70718050831786,0.00678573503615227,0.0137683683094562
"0610037L13RIK",150.854856318889,-0.526062022817212,0.108976328539217,-4.82730543292163,1.38392787155592e-06,4.67383469788814e-06
"0610040J01RIK",0.186473883086219,0,5.13452159851441,0,1,NA
"1110001J03RIK",82.9410806749982,0.120460570564638,0.148812179758749,0.809480586602029,0.418238765047862,0.519805447373798
"1110004E09RIK",196.796068670556,-0.159983426801266,0.0878130812812418,-1.82186326304713,0.0684757357334652,0.111341160807101
"1110004F10RIK",1188.74348621595,-0.154086617839505,0.0434563072245005,-3.54578259591812,0.000391449012384285,0.000973748657280961
"1110007C09RIK",113.739979174232,0.814848554324965,0.107737623496146,7.56326831688571,3.93065616490223e-14,2.52772012618059e-13
"1110008F13RIK",55.1213630017802,-2.49804382338765,0.30670208984791,-8.1448542611053,3.79739001740846e-16,2.87149253109213e-15
"1110008L16RIK",104.093122879412,0.185171288466343,0.11981225754184,1.54551205582349,0.122222455090052,0.183693160444166
"1110008P14RIK",129.47632953567,-0.92465208018384,0.109575359458704,-8.43850373616446,3.21425688662714e-17,2.60711947470868e-16
"1110012L19RIK",104.440354959089,0.672110067296237,0.131277178813143,5.11977842129668,3.05894851201856e-07,1.11406770643308e-06
"1110017D15RIK",0.115591665357111,1.09935558322943,5.1345215985144,0.214110616176493,0.830460797252744,NA
"1110025L11RIK",0.0375774900683154,0,5.1345215985144,0,1,NA
"1110032A03RIK",34.0715648640532,0.595315365050893,0.228394099166962,2.60652690775388,0.00914656370993882,0.0180459229952847
"1110032F04RIK",76.2486126654835,-1.35846117000484,0.157583566104011,-8.62057639378594,6.6617922164452e-18,5.5876623350815e-17
"1110034G24RIK",58.567092863279,-0.214819641009411,0.135171082837084,-1.58924258429093,0.112005635739976,0.17038091097336
"1110037F02RIK",268.963341583607,0.258027093876755,0.104426107744337,2.47090597792339,0.013477124732426,0.0256565523993425
"1110038F14RIK",140.303560226905,-0.00293354158346693,0.107442274399289,-0.0273034203703189,0.978217728825869,0.988869586374945
"1110051M20RIK",66.9794751663489,0.693935978290825,0.159277124966845,4.35678367772694,1.31987597358489e-05,4.00636787412586e-05
"1110057K04RIK",318.450209026549,-0.769417299086124,0.0858065983263718,-8.96687800347926,3.05037673341148e-19,2.77015073684928e-18
"1110057P08RIK",0,NA,NA,NA,NA,NA
"1110059E24RIK",533.740873165445,0.43901324639937,0.0718877625209263,6.10692600526515,1.0156829719993e-09,4.67904437100649e-09
"1110059G10RIK",107.271379376876,-0.540371276502978,0.111292902221802,-4.85539747562734,1.20145503934779e-06,4.08040175173179e-06
"1110065P20RIK",51.4155995522596,-0.127524799996563,0.21391925461767,-0.596135211037843,0.551084903265319,0.645141776789412
"1190002N15RIK",77.8592374235775,-0.0118964090749734,0.155797561045312,-0.0763581213669545,0.939134186598498,0.960016681014668
"1190003K10RIK",0,NA,NA,NA,NA,NA
"1190005I06RIK",4.99230929679356,-1.51512819906824,0.639958703150624,-2.36754057974212,0.0179067561944142,0.0333533103601551
"1190007I07RIK",95.7278047064621,-0.420626226462428,0.119829504264358,-3.51020584658747,0.000447759916313411,0.00110451879839212
"1200014J11RIK",510.901387054506,0.184089521735955,0.061686856547664,2.98425843102758,0.00284266566429921,0.00615308830496566
"1300017J02RIK",0.142817860924725,0,5.1345215985144,0,1,NA
"1500009C09RIK",0.0300462485059626,0,5.1345215985144,0,1,NA
"1500009L16RIK",16.4437410178512,3.1823850891344,0.613874237985068,5.18409943310214,2.17061114295869e-07,8.0600166700249e-07
"1500011B03RIK",130.302555124229,0.29241173400944,0.11843554032463,2.46895258980492,0.0135509170600999,0.0257859473017026
"1500011K16RIK",71.1646451259843,1.00068293606696,0.167911976731079,5.959568552216,2.52904754552821e-09,1.12040432443774e-08
"1500012F01RIK",1407.4346431909,0.545243391394202,0.0908643488903177,6.00063058892729,1.96552699959127e-09,8.80444764550562e-09
"1500015O10RIK",0.0204410643767172,0,5.1345215985144,0,1,NA
"1600002H07RIK",91.7092591136325,0.22019207373041,0.16588787529541,1.32735483734599,0.184391331810734,0.260924830592972
"1600002K03RIK",104.825804519784,-0.178243014483673,0.110574540300196,-1.61197156234848,0.106968128107387,0.163805734213317
"1600012H06RIK",137.359519761802,0.805788472328137,0.0942151112298743,8.55264576785463,1.20298653068659e-17,9.92725406627455e-17
"1600014C10RIK",481.220330964495,0.578774257056185,0.115519476961534,5.01018765215587,5.43769870897638e-07,1.92962780575481e-06
"1600014C23RIK",0.808324387903856,1.76152780733306,1.24667236244174,1.41298376414066,0.15766049797381,0.228404521289912
"1600014K23RIK",0,NA,NA,NA,NA,NA
"1600015I10RIK",0.305596271297652,2.19272162124357,3.53282962812414,0.620670072450638,0.534816724389308,NA
"1700001C02RIK",0.0226591000933234,0,5.1345215985144,0,1,NA
"1700001C19RIK",1.11204740183671,0.825294513375514,1.08150551102346,0.763097834420202,0.445405051466081,0.546311993517204
"1700001F09RIK",0,NA,NA,NA,NA,NA
"1700001J03RIK",0.853479862483814,-2.32619048993197,1.45210731195387,-1.60194117251706,0.109168618771707,0.166561124138827
"1700001K19RIK",0.0926703490523523,0,5.1345215985144,0,1,NA
"1700001L19RIK",0.0551522415835494,0,5.1345215985144,0,1,NA
"1700001O22RIK",18.0544288452743,1.73427766042215,0.307872696623996,5.63309991252723,1.76998844384989e-08,7.27151096629241e-08
"1700001P01RIK",0.60252956312866,-2.57333523288202,1.67829438942397,-1.53330384055282,0.125201008786934,0.187554470937333
"1700003E16RIK",1.47222733471205,0.1000427037628,1.04126714878088,0.0960778450371076,0.92345874699222,0.949177851813294
"1700003F12RIK",0.559025374419195,-1.41850776379057,1.58816330511257,-0.893175002359111,0.371763462614607,0.472023066159946
"1700003H04RIK",0,NA,NA,NA,NA,NA
"1700003M02RIK",0,NA,NA,NA,NA,NA
"1700006A11RIK",0.109552775753718,-0.824212448141909,5.1345215985144,-0.160523708456185,0.872468547136593,NA
"1700006E09RIK",0,NA,NA,NA,NA,NA
"1700007B14RIK",0.0484370303194754,-0.343320440299074,5.1345215985144,-0.0668651272980152,0.946689075267076,NA
"1700007G11RIK",0,NA,NA,NA,NA,NA
"1700007K09RIK",0.322443178485378,1.10106763677382,3.12443389120155,0.352405483718007,0.724534190031172,NA
"1700007K13RIK",0.964064531113423,0.618470969891553,1.56571782657988,0.395007937823974,0.692837029823143,0.770860195573546
"1700008F21RIK",0,NA,NA,NA,NA,NA
"1700008I05RIK",0.092605309693444,-0.824212448141909,5.1345215985144,-0.160523708456185,0.872468547136593,NA
"1700008O03RIK",1.04975377125202,-2.89464453270514,1.2082511763833,-2.39573077956337,0.0165872685945378,0.0310786138128655
"1700008P02RIK",0,NA,NA,NA,NA,NA
"1700009N14RIK",0,NA,NA,NA,NA,NA
"1700010B08RIK",0,NA,NA,NA,NA,NA
"1700010I14RIK",21.7596669796528,0.866624191272286,0.30290012318584,2.86108893637055,0.00422188599492227,0.00889360667964758
"1700011A15RIK",0,NA,NA,NA,NA,NA
"1700011E24RIK",0,NA,NA,NA,NA,NA
"1700011H14RIK",0.103147243691779,-0.343320440299074,5.13452159851441,-0.0668651272980151,0.946689075267076,NA
"1700011I03RIK",0,NA,NA,NA,NA,NA
"1700011L22RIK",0.0298458527171003,0.618463575386596,5.1345215985144,0.120452035018324,0.904125073431257,NA
"1700011M02RIK",0,NA,NA,NA,NA,NA
"1700012A03RIK",0,NA,NA,NA,NA,NA
"1700012B07RIK",0.0450689035461081,0,5.1345215985144,0,1,NA
"1700012B09RIK",0.127800536132426,-0.343320440299073,5.13452159851441,-0.066865127298015,0.946689075267076,NA
"1700012L04RIK",0.025756946264739,0.618463575386596,5.1345215985144,0.120452035018324,0.904125073431257,NA
"1700012P22RIK",0,NA,NA,NA,NA,NA
"1700013D24RIK",0,NA,NA,NA,NA,NA
"1700013F07RIK",0.0318818179694788,0,5.1345215985144,0,1,NA
"1700013G24RIK",0,NA,NA,NA,NA,NA
"1700013H16RIK",0,NA,NA,NA,NA,NA
"1700015E13RIK",0.0235624482379037,0,5.1345215985144,0,1,NA
"1700015F17RIK",0,NA,NA,NA,NA,NA
"1700015G11RIK",0,NA,NA,NA,NA,NA
"1700016C15RIK",0.143983408377029,0.618463575386596,5.1345215985144,0.120452035018324,0.904125073431257,NA
"1700016D06RIK",9.06737669959495,-0.00398219698942845,0.403053012440313,-0.00988008243709173,0.992116963015988,0.99933782946402
"1700016H13RIK",0.0251059930775868,0,5.1345215985144,0,1,NA
"1700016K19RIK",0.0244527372673654,0,5.1345215985144,0,1,NA
"1700017B05RIK",229.054224037588,-0.337440189083237,0.0755674620545661,-4.46541646243957,7.99131495300691e-06,2.48647799685362e-05
"1700017D01RIK",0.0691634007999222,0.618463575386596,5.1345215985144,0.120452035018324,0.904125073431257,NA
"1700017G19RIK",0,NA,NA,NA,NA,NA
"1700017N19RIK",0.144090395276175,0,5.13452159851441,0,1,NA
"1700018B08RIK",0,NA,NA,NA,NA,NA
"1700018C11RIK",0,NA,NA,NA,NA,NA
"1700018F24RIK",0.0752236757419364,1.40467726088924,5.12951500383917,0.273842119545008,0.784205953635271,NA
"1700019A02RIK",0.045157187564618,-0.343320440299074,5.1345215985144,-0.0668651272980152,0.946689075267076,NA
"1700019B03RIK",0.0575330360634172,0,5.1345215985144,0,1,NA
"1700019D03RIK",2.60407186660792,3.16642903703297,1.08546331968243,2.91712209857018,0.00353277450713707,0.00753999069908805
"1700019G17RIK",30.8789144464207,-1.51625384012199,0.360650046846792,-4.20422471417592,2.61978567662629e-05,7.65987510995971e-05
"1700019L03RIK",0.933006576035804,1.58699140664295,1.34351754725308,1.18122119795731,0.237514862344532,0.324805640384351
"1700019N19RIK",0,NA,NA,NA,NA,NA
"1700019O17RIK",0,NA,NA,NA,NA,NA
"1700020A23RIK",0.109243930981686,-0.343320440299074,5.1345215985144,-0.0668651272980152,0.946689075267076,NA
"1700020D05RIK",0.763441390975871,0.122036490301031,1.56887633574491,0.0777859207386718,0.937998346135706,0.959565916444961
"1700020L24RIK",0.483617553377509,0.832458555045915,1.966795243306,0.423256339407569,0.672108245409131,NA
"1700020N01RIK",0.0438947381117445,0,5.1345215985144,0,1,NA
"1700020N15RIK",0,NA,NA,NA,NA,NA
"1700021F05RIK",92.5409786502656,0.232482819696447,0.112616189693644,2.0643818648889,0.0389815245582279,0.0674711484211328
"1700021F07RIK",0,NA,NA,NA,NA,NA
"1700021K19RIK",178.555359515318,0.20157241231823,0.107280995281805,1.87892004346846,0.0602554115888672,0.099509434228675
"1700022I11RIK",0.265828582700121,0,3.64697871296335,0,1,NA
"1700023E05RIK",0.142979187080716,0,4.87687427218426,0,1,NA
"1700023F06RIK",0.0329121561649394,0,5.1345215985144,0,1,NA
"1700024B05RIK",0,NA,NA,NA,NA,NA
"1700024G13RIK",0.0187887450341577,0,5.1345215985144,0,1,NA
"1700024P04RIK",0,NA,NA,NA,NA,NA
"1700024P16RIK",0.0591295553040698,0,5.1345215985144,0,1,NA
"1700025B11RIK",0.0226591000933234,0,5.1345215985144,0,1,NA
"1700025C18RIK",0,NA,NA,NA,NA,NA
"1700025F22RIK",0.0251059930775868,0,5.1345215985144,0,1,NA
"1700025G04RIK",81.0629971060456,0.796617736648072,0.148879998436736,5.35073713737698,8.75966829588579e-08,3.3539179532893e-07
"1700026D08RIK",0,NA,NA,NA,NA,NA
"1700026L06RIK",0.481934528918228,1.09936804287068,1.92270100813032,0.571783152045949,0.567468892724499,NA
"1700028J19RIK",6.23668187012046,-0.0947424700674513,0.524014437295318,-0.180801259134121,0.856523574752842,0.899515628342918
"1700028K03RIK",8.1932612415206,0.247703896460693,0.395852768060489,0.625747541628514,0.531480544769553,0.627332135555107
"1700028P14RIK",0,NA,NA,NA,NA,NA
"1700029F12RIK",0.0945573713645056,0.618463575386596,5.1345215985144,0.120452035018324,0.904125073431257,NA
"1700029H14RIK",0.0239922906795737,-0.343320440299074,5.1345215985144,-0.0668651272980152,0.946689075267076,NA
"1700029I15RIK",0.524973974054812,0.642814840110843,1.93490017694472,0.332221190410904,0.739722243971423,0.809103598810466
"1700029J07RIK",3.66197284920889,-0.899745355322859,0.705758849709333,-1.2748623069954,0.202357982501935,0.28246776166429
"1700029P11RIK",0,NA,NA,NA,NA,NA
"1700030J22RIK",3.64932514051154,-0.58136512074676,0.663997114214205,-0.875553685854141,0.381272712678267,0.481744109484155
"1700030K09RIK",74.8510454281169,0.218281917449719,0.139895417333633,1.56032214357061,0.118683773090489,0.179144809052515
"1700031F05RIK",0.0248147686638089,0,5.1345215985144,0,1,NA
"1700031M16RIK",0,NA,NA,NA,NA,NA
"1700034E13RIK",0,NA,NA,NA,NA,NA
