"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14RIK",877.903659894562,0.643093028472788,0.0588605401917112,10.9257072119659,8.68610913015218e-28,1.77790360296912e-26
"0610009B22RIK",108.511003836878,-0.213172931977588,0.11848903997375,-1.7990940936378,0.0720037977962094,0.123027490198357
"0610009L18RIK",3.27191351181252,1.22053384404042,0.688551305556054,1.7726113278585,0.0762931333598155,0.128841771950728
"0610009O20RIK",203.816851760842,0.202459788996565,0.098209289435837,2.06151363236202,0.0392540642690685,0.072376079729856
"0610010F05RIK",28.8143488772762,-0.201604051046789,0.221151373937796,-0.911611117114263,0.361973468065238,0.471618955949518
"0610010K14RIK",288.737389648172,0.0599833625246113,0.0765850588232751,0.783225389472205,0.433494767888742,0.542539504393263
"0610011F06RIK",222.773846864498,0.326767326530561,0.0709927388103817,4.60282744413258,4.16793540779958e-06,1.6343259301393e-05
"0610030E20RIK",223.23343369299,0.0044702828520918,0.081348380620355,0.0549523274833728,0.956176443521395,0.971878563164357
"0610037L13RIK",150.854856318889,0.247117296534393,0.114451135085719,2.15915112025156,0.030838444776207,0.058694363746588
"0610040J01RIK",0.186473883086219,-1.42032348034908,5.12729612051252,-0.277012180877726,0.781770753027105,NA
"1110001J03RIK",82.9410806749982,0.230954514651857,0.149784317011755,1.54191386160763,0.123094527043468,0.19378736787566
"1110004E09RIK",196.796068670556,-0.118264520310784,0.0879353118221799,-1.34490363268325,0.178656356976226,0.264730656797762
"1110004F10RIK",1188.74348621595,-0.175894673019174,0.0433540042441209,-4.05717248235558,4.96704000546986e-05,0.000166072963325816
"1110007C09RIK",113.739979174232,1.79131543018081,0.117812366411192,15.2048166482686,3.28549347250558e-52,1.84787580697096e-50
"1110008F13RIK",55.1213630017802,-1.44471596837522,0.312574776309523,-4.62198513083029,3.80085263149617e-06,1.50360335293683e-05
"1110008L16RIK",104.093122879412,0.349807588258974,0.121329904966217,2.88311103809382,0.00393768611192619,0.00929354270094458
"1110008P14RIK",129.47632953567,0.105329833466367,0.118195940004545,0.891145951902555,0.372850875507307,0.482706057402174
"1110012L19RIK",104.440354959089,0.250115778806348,0.126682937277122,1.97434464484522,0.0483425677039993,0.0870125860329671
"1110017D15RIK",0.115591665357111,1.12144523944141,5.1345215985144,0.218412800087526,0.82710749325064,NA
"1110025L11RIK",0.0375774900683154,0,5.1345215985144,0,1,NA
"1110032A03RIK",34.0715648640532,-0.0830330505889546,0.215928302730685,-0.384539912271329,0.700578319855552,0.779918044652292
"1110032F04RIK",76.2486126654835,-1.58880618354183,0.155162645370922,-10.2396177877976,1.31755835175404e-24,2.34119984042448e-23
"1110034G24RIK",58.567092863279,-0.00697527854936247,0.137585904806129,-0.0506976245800125,0.959566469527512,0.974176098713537
"1110037F02RIK",268.963341583607,-0.146990978275756,0.102561776356869,-1.43319454378689,0.151802248507684,0.231215575967903
"1110038F14RIK",140.303560226905,-0.0408865265686969,0.106946188340419,-0.382309338959809,0.702231928391739,0.78149279298654
"1110051M20RIK",66.9794751663489,0.592578966957515,0.157680206355462,3.75810623701019,0.000171204194924031,0.000523692945267739
"1110057K04RIK",318.450209026549,-0.402450049286182,0.0872852643191183,-4.61074446443571,4.0122949616464e-06,1.58096398488754e-05
"1110057P08RIK",0,NA,NA,NA,NA,NA
"1110059E24RIK",533.740873165445,1.12645919763485,0.0741467229404837,15.1922991733436,3.97721188812146e-52,2.22723865734801e-50
"1110059G10RIK",107.271379376876,-0.133459878104752,0.115137966461302,-1.15913006114806,0.246403174149112,0.346050533144382
"1110065P20RIK",51.4155995522596,0.0678539459489461,0.215578338898257,0.314753079069646,0.752949139680778,0.822856304039077
"1190002N15RIK",77.8592374235775,0.887103159515028,0.163995392351097,5.40931758384916,6.32653537238168e-08,3.15133082699767e-07
"1190003K10RIK",0,NA,NA,NA,NA,NA
"1190005I06RIK",4.99230929679356,-2.29997850014246,0.613558776590385,-3.7485870757545,0.000177833596361903,0.000542944395217744
"1190007I07RIK",95.7278047064621,-0.38330643315143,0.119972555286401,-3.19495098055045,0.00139854592448423,0.00363357904782648
"1200014J11RIK",510.901387054506,0.0958718927840123,0.0612732464140601,1.56466155124454,0.117662288295896,0.186437942356162
"1300017J02RIK",0.142817860924725,-1.32724341227584,5.13003535318511,-0.258720129765147,0.79585118693535,NA
"1500009C09RIK",0.0300462485059626,0,5.1345215985144,0,1,NA
"1500009L16RIK",16.4437410178512,-2.33318007829741,0.35018177795264,-6.66276838257688,2.68716984063668e-11,1.92157153446523e-10
"1500011B03RIK",130.302555124229,0.460424831866733,0.119928483860027,3.83916161571853,0.000123455149436446,0.00038652829278436
"1500011K16RIK",71.1646451259843,0.316569241868197,0.159436828411803,1.98554653289103,0.0470836983407742,0.0849911580486091
"1500012F01RIK",1407.4346431909,0.485836491713363,0.0907669082632946,5.35257288156229,8.67123597249036e-08,4.23606905363049e-07
"1500015O10RIK",0.0204410643767172,0,5.1345215985144,0,1,NA
"1600002H07RIK",91.7092591136325,-0.282461013886468,0.162025727800312,-1.74330964422259,0.0812795416413582,0.135861500280735
"1600002K03RIK",104.825804519784,0.198880823632858,0.114514118899968,1.7367362692332,0.0824337327393919,0.137487782742073
"1600012H06RIK",137.359519761802,1.00000071877648,0.0960238031255977,10.4140919878845,2.13828269463089e-25,3.91796387220188e-24
"1600014C10RIK",481.220330964495,0.204689031624874,0.114709361488353,1.78441435789577,0.0743563597159213,0.126362830962317
"1600014C23RIK",0.808324387903856,1.03825226673205,1.14074986915303,0.910148924674367,0.362743975793913,0.472230210790493
"1600014K23RIK",0,NA,NA,NA,NA,NA
"1600015I10RIK",0.305596271297652,2.2148114282378,3.53282962812414,0.626922795995068,0.530709843665081,NA
"1700001C02RIK",0.0226591000933234,0,5.1345215985144,0,1,NA
"1700001C19RIK",1.11204740183671,1.21605209377598,1.12491642060582,1.08101550613074,0.279690216159524,0.383473517354489
"1700001F09RIK",0,NA,NA,NA,NA,NA
"1700001J03RIK",0.853479862483814,-1.17449822331216,1.54891361030579,-0.758272259664814,0.44828801052045,0.556531065651875
"1700001K19RIK",0.0926703490523523,0,5.13452159851441,0,1,NA
"1700001L19RIK",0.0551522415835494,0,5.1345215985144,0,1,NA
"1700001O22RIK",18.0544288452743,0.986768259065256,0.288423589723851,3.4212467156727,0.000623347569308806,0.00172631645398816
"1700001P01RIK",0.60252956312866,-0.321234502394943,1.7926451183975,-0.179195814664145,0.857783949951533,NA
"1700003E16RIK",1.47222733471205,-0.54796508219338,1.01003235441173,-0.542522306141895,0.587458745231167,0.684689280864076
"1700003F12RIK",0.559025374419195,-2.13297460924991,1.53570966279642,-1.3889178800672,0.164857722816213,NA
"1700003H04RIK",0,NA,NA,NA,NA,NA
"1700003M02RIK",0,NA,NA,NA,NA,NA
"1700006A11RIK",0.109552775753718,0,5.1345215985144,0,1,NA
"1700006E09RIK",0,NA,NA,NA,NA,NA
"1700007B14RIK",0.0484370303194754,0,5.1345215985144,0,1,NA
"1700007G11RIK",0,NA,NA,NA,NA,NA
"1700007K09RIK",0.322443178485378,-0.561235870431052,3.09672702757832,-0.181235176827951,0.856182984649008,NA
"1700007K13RIK",0.964064531113423,-1.47566953706967,1.44016972979204,-1.02464973852961,0.305528486603393,0.411656754786115
"1700008F21RIK",0,NA,NA,NA,NA,NA
"1700008I05RIK",0.092605309693444,0,5.1345215985144,0,1,NA
"1700008O03RIK",1.04975377125202,-3.16291954146837,1.19093092612846,-2.65583794330586,0.00791116220257898,0.0174490697787829
"1700008P02RIK",0,NA,NA,NA,NA,NA
"1700009N14RIK",0,NA,NA,NA,NA,NA
"1700010B08RIK",0,NA,NA,NA,NA,NA
"1700010I14RIK",21.7596669796528,-0.0614573740038102,0.281690905500393,-0.218173085476927,0.827294254644586,0.880885544331415
"1700011A15RIK",0,NA,NA,NA,NA,NA
"1700011E24RIK",0,NA,NA,NA,NA,NA
"1700011H14RIK",0.103147243691779,0,5.1345215985144,0,1,NA
"1700011I03RIK",0,NA,NA,NA,NA,NA
"1700011L22RIK",0.0298458527171003,0.640553231598576,5.1345215985144,0.124754218929357,0.900718132147829,NA
"1700011M02RIK",0,NA,NA,NA,NA,NA
"1700012A03RIK",0,NA,NA,NA,NA,NA
"1700012B07RIK",0.0450689035461081,0,5.1345215985144,0,1,NA
"1700012B09RIK",0.127800536132426,0,5.13452159851441,0,1,NA
"1700012L04RIK",0.025756946264739,0.640553231598576,5.1345215985144,0.124754218929357,0.900718132147829,NA
"1700012P22RIK",0,NA,NA,NA,NA,NA
"1700013D24RIK",0,NA,NA,NA,NA,NA
"1700013F07RIK",0.0318818179694788,0,5.1345215985144,0,1,NA
"1700013G24RIK",0,NA,NA,NA,NA,NA
"1700013H16RIK",0,NA,NA,NA,NA,NA
"1700015E13RIK",0.0235624482379037,0,5.1345215985144,0,1,NA
"1700015F17RIK",0,NA,NA,NA,NA,NA
"1700015G11RIK",0,NA,NA,NA,NA,NA
"1700016C15RIK",0.143983408377029,0.640553231598576,5.1345215985144,0.124754218929357,0.900718132147829,NA
"1700016D06RIK",9.06737669959495,-0.053057994634342,0.400347568610595,-0.132529828564913,0.894565231322992,0.930606822066283
"1700016H13RIK",0.0251059930775868,0,5.1345215985144,0,1,NA
"1700016K19RIK",0.0244527372673654,0,5.1345215985144,0,1,NA
"1700017B05RIK",229.054224037588,-0.450331665541959,0.0747486356168461,-6.02461385182084,1.6951384476547e-09,1.01661154190362e-08
"1700017D01RIK",0.0691634007999222,0.640553231598576,5.1345215985144,0.124754218929357,0.900718132147829,NA
"1700017G19RIK",0,NA,NA,NA,NA,NA
"1700017N19RIK",0.144090395276175,0,5.1345215985144,0,1,NA
"1700018B08RIK",0,NA,NA,NA,NA,NA
"1700018C11RIK",0,NA,NA,NA,NA,NA
