"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14RIK",877.903659894562,-0.622118272453524,0.0590791090984508,-10.5302581901973,6.2662370042116e-26,1.85492086696753e-24
"0610009B22RIK",108.511003836878,-0.0176500304578845,0.108617343834248,-0.162497349270655,0.870914215511635,0.924051780927014
"0610009L18RIK",3.27191351181252,0.29295775972931,0.715564092045525,0.409408134066447,0.682240171344727,0.79024524145016
"0610009O20RIK",203.816851760842,0.241249929278368,0.0977281853635921,2.46858087439986,0.013564999556121,0.0345903477740945
"0610010F05RIK",28.8143488772762,-0.742889578878948,0.239520850096008,-3.10156539015778,0.00192500351372094,0.0062646152084262
"0610010K14RIK",288.737389648172,0.434868113153012,0.0712379571105688,6.10444390590891,1.03159211738686e-09,9.45090342104564e-09
"0610011F06RIK",222.773846864498,0.0881653648332427,0.0971493980011852,0.907523532283413,0.364130011024614,0.504702220359414
"0610030E20RIK",223.23343369299,0.141267935934435,0.0826359540106394,1.70952145014562,0.0873544018718552,0.164869644384931
"0610037L13RIK",150.854856318889,0.0578675239735217,0.103774617435354,0.557626955450546,0.577099145858747,0.704013065902372
"0610040J01RIK",0.186473883086219,1.59295294401371,5.12502950216493,0.31081829740508,0.75593875886697,NA
"1110001J03RIK",82.9410806749982,0.00321304691548022,0.148653659538933,0.0216143142755172,0.982755615058894,0.997953264495003
"1110004E09RIK",196.796068670556,-0.0167182534222835,0.0857922133059883,-0.194869123642443,0.845495406542261,0.906683957475809
"1110004F10RIK",1188.74348621595,0.217919477163691,0.0422456438886856,5.15838929424048,2.49083312370266e-07,1.65748031317992e-06
"1110007C09RIK",113.739979174232,-1.58131977184817,0.131657923223109,-12.010821173052,3.11734088756548e-33,1.33088850566162e-31
"1110008F13RIK",55.1213630017802,-1.34554658741163,0.285310557894806,-4.71607709626971,2.40435359291894e-06,1.36775365338608e-05
"1110008L16RIK",104.093122879412,0.151718962144732,0.118854000753439,1.27651539858108,0.201773386977866,0.323357350587917
"1110008P14RIK",129.47632953567,-0.43359254019496,0.102881462560034,-4.2144865499161,2.50347070372982e-05,0.000120749056761555
"1110012L19RIK",104.440354959089,0.245519830443143,0.133909747645329,1.83347243020294,0.0667323449049291,0.132319070154838
"1110017D15RIK",0.115591665357111,0.967572759498268,5.13428473234142,0.188453272449699,0.850521342339711,NA
"1110025L11RIK",0.0375774900683154,0,5.13428473234099,0,1,NA
"1110032A03RIK",34.0715648640532,0.425913196319573,0.22899777302394,1.85990104050072,0.0628995281179248,0.126189251819708
"1110032F04RIK",76.2486126654835,0.848978863221294,0.11920967569938,7.12172781479773,1.06582382256885e-12,1.30070726120289e-11
"1110034G24RIK",58.567092863279,0.0744584294203252,0.12927219294712,0.575981792548249,0.564627488453186,0.693244228419744
"1110037F02RIK",268.963341583607,0.354741080497312,0.103494404235764,3.42763536943696,0.000608862657986711,0.00221991187816124
"1110038F14RIK",140.303560226905,0.299856196544982,0.103970918295727,2.88403912805785,0.00392609967768146,0.0117105934119156
"1110051M20RIK",66.9794751663489,-0.226878309209868,0.168460148708659,-1.34677732952877,0.178051958235559,0.293075471654815
"1110057K04RIK",318.450209026549,0.40880746656509,0.0793763621756754,5.15024190275084,2.60150703924487e-07,1.72403150920449e-06
"1110057P08RIK",0,NA,NA,NA,NA,NA
"1110059E24RIK",533.740873165445,-0.403510675165865,0.0738976719746862,-5.460397660485,4.75069277165673e-08,3.53189435023859e-07
"1110059G10RIK",107.271379376876,-0.0279850051797375,0.103631579557446,-0.270043217513871,0.787127005470113,0.865839706017124
"1110065P20RIK",51.4155995522596,-0.523081947311261,0.21702652147493,-2.41022131192241,0.0159428462968753,0.0397067115318403
"1190002N15RIK",77.8592374235775,-1.70225113978562,0.176130187557576,-9.66473245382287,4.25730866290486e-22,1.01236295704664e-20
"1190003K10RIK",0,NA,NA,NA,NA,NA
"1190005I06RIK",4.99230929679356,1.38171979167679,0.447474205766344,3.08781997681957,0.00201630574600579,0.00652236337342609
"1190007I07RIK",95.7278047064621,0.0531328318282283,0.112428998476168,0.472590101738664,0.636505645654425,0.752635926159565
"1200014J11RIK",510.901387054506,-0.0726134254400601,0.0621821174132464,-1.16775414638086,0.242905948872224,0.372390537403542
"1300017J02RIK",0.142817860924725,0.48673322345985,5.13428473233931,0.0948005903128171,0.924473217983618,NA
"1500009C09RIK",0.0300462485059626,0,5.13428473234142,0,1,NA
"1500009L16RIK",16.4437410178512,2.98009849915013,0.615130825980942,4.84465803578906,1.26829932063322e-06,7.56418626634918e-06
"1500011B03RIK",130.302555124229,0.174630750220521,0.118305933907851,1.4760946002636,0.139918498277969,0.241847366879183
"1500011K16RIK",71.1646451259843,0.44207575171409,0.171915049662109,2.5714779048313,0.0101265476938537,0.026755927485231
"1500012F01RIK",1407.4346431909,0.335049019324882,0.0909465201000037,3.6840224228092,0.000229582031933663,0.000914369816839246
"1500015O10RIK",0.0204410643767172,0,5.13428473234142,0,1,NA
"1600002H07RIK",91.7092591136325,0.0786208090321623,0.166018952767961,0.473565263009748,0.635809951428397,0.752164369277087
"1600002K03RIK",104.825804519784,-0.152027591655884,0.108672685919049,-1.39894942662161,0.161828149258711,0.272295647608049
"1600012H06RIK",137.359519761802,-0.502978046958207,0.105013298049584,-4.78966051252591,1.67063715958134e-06,9.77447412769979e-06
"1600014C10RIK",481.220330964495,0.408777414126433,0.115605020361476,3.53598323713157,0.000406260471260667,0.00154388526916216
