"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14RIK",877.903659894562,-0.0705651507381687,0.0603245453247476,-1.16975851800113,0.242098161467552,0.345305010548352
"0610009B22RIK",108.511003836878,0.311844258064728,0.111563568802969,2.7952158702943,0.00518650700631083,0.0122112231234885
"0610009L18RIK",3.27191351181252,0.396355002944768,0.721609228344608,0.549265429786726,0.582823308004154,0.68885245708951
"0610009O20RIK",203.816851760842,0.213968931763957,0.0974164289601154,2.19643579679523,0.0280607658366594,0.0553631325966523
"0610010F05RIK",28.8143488772762,-0.94073261229992,0.236029606335391,-3.98565513414096,6.72941926829496e-05,0.000223957568819553
"0610010K14RIK",288.737389648172,0.708578720140044,0.0726875023104686,9.74828818733523,1.87604918299358e-22,3.03226148969011e-21
"0610011F06RIK",222.773846864498,-1.49621940287378,0.084875817211699,-17.6283357501216,1.492972891673e-69,2.11017423816675e-67
"0610030E20RIK",223.23343369299,-0.078848417730796,0.0810286367534317,-0.973093228394426,0.330506969252739,0.444850125974257
"0610037L13RIK",150.854856318889,0.831046843325127,0.109513866981808,7.58850788698,3.23610275114795e-14,2.92283216531282e-13
"0610040J01RIK",0.186473883086219,0.0350578961208673,5.11777023421337,0.00685022861841234,0.994534351093937,NA
"1110001J03RIK",82.9410806749982,0.113706991002698,0.149640102073407,0.7598697770663,0.447332428809965,0.564251272113281
"1110004E09RIK",196.796068670556,0.0250006530681987,0.0859269420266722,0.29095243562186,0.77108769732479,0.844503518762822
"1110004F10RIK",1188.74348621595,0.196111421984022,0.0421426292434863,4.65351653431385,3.26321423439405e-06,1.33688141591611e-05
"1110007C09RIK",113.739979174232,-0.604852895992321,0.140008199328736,-4.32012481334856,1.55940975014558e-05,5.74551246268279e-05
"1110008F13RIK",55.1213630017802,-0.292218732399201,0.291668388745581,-1.00188688138604,0.31639822924382,0.42955925543975
"1110008L16RIK",104.093122879412,0.316355261937364,0.12039800718078,2.6275788889292,0.00859948993469119,0.0192962038966909
"1110008P14RIK",129.47632953567,0.596389373455248,0.11203657726941,5.32316666566075,1.01976232147696e-07,5.02543108425182e-07
"1110012L19RIK",104.440354959089,-0.176474458046746,0.129423252255036,-1.36354522832569,0.1727107404696,0.26266425113085
"1110017D15RIK",0.115591665357111,0.989662415710248,5.13428473234142,0.192755654838591,0.847150334416925,NA
"1110025L11RIK",0.0375774900683154,0,5.13428473234099,0,1,NA
"1110032A03RIK",34.0715648640532,-0.252435219320275,0.216594014707261,-1.16547643138457,0.243826194972039,0.347396764225041
"1110032F04RIK",76.2486126654835,0.618633849684312,0.11601201098509,5.33249828557682,9.6870684376281e-08,4.78447551161066e-07
"1110034G24RIK",58.567092863279,0.282302791880374,0.13182153527233,2.14155290557923,0.032229476860971,0.0626482559729131
"1110037F02RIK",268.963341583607,-0.0502769916551981,0.101617014671825,-0.494769422400067,0.620762890917613,0.721057507320458
"1110038F14RIK",140.303560226905,0.261903211559752,0.103468895125383,2.53122652215799,0.0113664415894218,0.0247849241682353
"1110051M20RIK",66.9794751663489,-0.328235320543177,0.166973329879686,-1.9657949013755,0.0493223070130759,0.0908997324144439
"1110057K04RIK",318.450209026549,0.775774716365032,0.0809776976686559,9.58010339512667,9.69478333965473e-22,1.49425628133008e-20
"1110057P08RIK",0,NA,NA,NA,NA,NA
"1110059E24RIK",533.740873165445,0.283935276069614,0.0760984943820233,3.73115497718294,0.000190603919250813,0.000588374458914102
"1110059G10RIK",107.271379376876,0.378926393218488,0.107764554603102,3.51624330109354,0.000437699684735769,0.00127248971803051
"1110065P20RIK",51.4155995522596,-0.327703201365752,0.218670057637564,-1.49861944934824,0.133972384157174,0.212506816608431
"1190002N15RIK",77.8592374235775,-0.803251571195615,0.183421628319532,-4.37926311392405,1.19081286544567e-05,4.47051136770588e-05
"1190003K10RIK",0,NA,NA,NA,NA,NA
"1190005I06RIK",4.99230929679356,0.596869490602572,0.408678472397446,1.46048674181719,0.144156348706063,0.226182695628294
"1190007I07RIK",95.7278047064621,0.0904526251392257,0.112599630967451,0.803311914631165,0.421794473089923,0.539101622844898
"1200014J11RIK",510.901387054506,-0.160831054392003,0.0617761626516697,-2.60344844173736,0.00922911478922387,0.0205620394123656
"1300017J02RIK",0.142817860924725,-0.978081756359753,5.12979849686589,-0.190666701032667,0.848786728765776,NA
"1500009C09RIK",0.0300462485059626,0,5.13428473234142,0,1,NA
"1500009L16RIK",16.4437410178512,-2.53546666828168,0.352405850708216,-7.19473488645621,6.25822445482598e-13,5.06992500651329e-12
"1500011B03RIK",130.302555124229,0.342643848077814,0.119812305876503,2.85983852469208,0.00423856767068496,0.0101873715385588
"1500011K16RIK",71.1646451259843,-0.242037942484677,0.163666692730669,-1.47884666358461,0.139181301028724,0.21977213756449
"1500012F01RIK",1407.4346431909,0.275642119644042,0.0908493846601347,3.03405598920909,0.00241289644915905,0.00611555555580449
"1500015O10RIK",0.0204410643767172,0,5.13428473234142,0,1,NA
"1600002H07RIK",91.7092591136325,-0.424032278584716,0.16216977378361,-2.614742986264,0.00892946201194552,0.0199691688757294
"1600002K03RIK",104.825804519784,0.225096246460647,0.112696808476866,1.99736132285284,0.0457859461845568,0.0853071214502333
"1600012H06RIK",137.359519761802,-0.308765800509864,0.106652372647347,-2.89506733742173,0.00379077205065067,0.00922083439490018
"1600014C10RIK",481.220330964495,0.0346921886951219,0.11479622095122,0.302206713841769,0.7624944864819,0.838409480046224
"1600014C23RIK",0.808324387903856,-2.14737969468583,1.32960065692123,-1.61505613246177,0.106298539574059,0.175134225791288
"1600014K23RIK",0,NA,NA,NA,NA,NA
"1600015I10RIK",0.305596271297652,1.68849930582885,3.54070006205889,0.476882897798184,0.633445510866841,NA
"1700001C02RIK",0.0226591000933234,0,5.13428473234142,0,1,NA
"1700001C19RIK",1.11204740183671,1.77941689755211,1.08824625955725,1.63512337572937,0.102023186786588,0.169075721547537
"1700001F09RIK",0,NA,NA,NA,NA,NA
"1700001J03RIK",0.853479862483814,1.53100407595072,1.37689719218697,1.1119233045417,0.266171127715774,0.372757710778524
"1700001K19RIK",0.0926703490523523,0,5.13428473233583,0,1,NA
"1700001L19RIK",0.0551522415835494,0,5.13428473234142,0,1,NA
"1700001O22RIK",18.0544288452743,-2.23910571903795,0.389636390892356,-5.74665449987843,9.10264580146304e-09,5.04537972958857e-08
"1700001P01RIK",0.60252956312866,1.39403259651203,1.73507598843866,0.803441812232372,0.421719416083399,0.539057548786226
"1700003E16RIK",1.47222733471205,-2.29485153526088,1.17598661978291,-1.95142656953402,0.0510063233959375,0.0936266942026009
"1700003F12RIK",0.559025374419195,-0.597310344165084,1.44077713686294,-0.414575112890556,0.678452969958293,0.771212025912549
"1700003H04RIK",0,NA,NA,NA,NA,NA
"1700003M02RIK",0,NA,NA,NA,NA,NA
"1700006A11RIK",0.109552775753718,0.508817946902827,5.13428473234142,0.0991020119507061,0.921057274648182,NA
"1700006E09RIK",0,NA,NA,NA,NA,NA
"1700007B14RIK",0.0484370303194754,0.508806326243228,5.13428473234142,0.0990997486053318,0.921059071690449,NA
"1700007G11RIK",0,NA,NA,NA,NA,NA
"1700007K09RIK",0.322443178485378,-1.65644324473743,3.10670450153885,-0.533183392214142,0.593906636772899,NA
"1700007K13RIK",0.964064531113423,0.0465953679425149,1.30066874537902,0.0358241620766685,0.971422566878888,0.988232788939732
"1700008F21RIK",0,NA,NA,NA,NA,NA
"1700008I05RIK",0.092605309693444,0.508807382723796,5.13428473234142,0.0990999543750977,0.921058908314144,NA
"1700008O03RIK",1.04975377125202,-0.566565064437997,1.00300915811447,-0.564865295450612,0.572165390453139,0.679827017085805
"1700008P02RIK",0,NA,NA,NA,NA,NA
"1700009N14RIK",0,NA,NA,NA,NA,NA
"1700010B08RIK",0,NA,NA,NA,NA,NA
"1700010I14RIK",21.7596669796528,-1.24338799464267,0.30963968256851,-4.01559640007564,5.92956551189499e-05,0.000199443563015283
"1700011A15RIK",0,NA,NA,NA,NA,NA
"1700011E24RIK",0,NA,NA,NA,NA,NA
"1700011H14RIK",0.103147243691779,1.38672022981856,5.13161037877975,0.270231004979047,0.786982541167614,NA
