"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610007P14RIK",1893.14274585748,-0.146718039047044,0.0954778776582845,-1.53667051096535,0.124374015977883,0.34294390008253
"0610009B22RIK",172.136271280448,0.242625624800381,0.24787916735145,0.978806034378758,0.327675827546651,0.613254058141867
"0610009L18RIK",6.75662971658456,-0.736257007096708,1.21350751801668,-0.606718125900058,0.544037990993348,0.780532443652519
"0610009O20RIK",391.979993464533,-0.111494495164394,0.175432356155283,-0.635541228584452,0.525075486325886,0.770315094859004
"0610010F05RIK",51.101938489763,-0.0508497121150965,0.453262396602406,-0.112186037262873,0.910675899928006,0.963729664068926
"0610010K14RIK",447.853900449665,-0.307592082316537,0.160245420673961,-1.91950622378389,0.0549202993954852,0.201050219680144
"0610011F06RIK",656.17066944155,-0.215357033573348,0.133814278815293,-1.6093725982009,0.107534893280294,0.313045535384447
"0610030E20RIK",424.814179338261,-0.0194575833849442,0.163282782087835,-0.11916494278299,0.905144680305185,0.962037196115148
"0610037L13RIK",239.488771172834,-0.0290646842925252,0.214561433676641,-0.135460897116896,0.892247478820435,0.957773492633359
"0610040J01RIK",0,NA,NA,NA,NA,NA
"1110001J03RIK",168.867699780911,0.362141559769366,0.259902650312031,1.39337386261583,0.163506765330532,0.408451203310509
"1110004E09RIK",333.136484318008,-0.0491166163543752,0.182007084412975,-0.269861013997287,0.787267181061229,0.910318442195715
"1110004F10RIK",2026.49550019855,0.114790602622929,0.0868112035872787,1.32230170622529,0.186067704844243,0.444375640115066
"1110007C09RIK",319.299053118568,-1.30076529341442,0.190338892260324,-6.83394380395668,8.26113971903082e-12,3.7947434517801e-10
"1110008F13RIK",47.8925328818401,0.938748741658707,0.477337324713175,1.96663594706906,0.0492251961566682,0.186053239824179
"1110008L16RIK",194.706377025077,-0.0516345157436914,0.258752625490539,-0.199551659218157,0.841831237605474,0.934943465275778
"1110008P14RIK",204.532842712417,0.483691421984147,0.253259906252797,1.90986180616106,0.0561510088611053,0.204060153148164
"1110012L19RIK",235.196608965719,0.155917760010124,0.230609527758662,0.676111527244856,0.49896983848241,0.754179197373375
"1110017D15RIK",0.274282386350326,-1.2836267989746,4.04799185675242,-0.317102119865532,0.751166116411904,NA
"1110025L11RIK",0,NA,NA,NA,NA,NA
