,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CYP2A4,7060.80651338448,-8.27090476906565,1.10432071365878,-7.48958583024571,6.909128982078361e-14,2.9337224600825e-11
APELA,22.4110038234021,-8.19449717757907,1.15556988568704,-7.09130384849639,1.3285428597643699e-12,4.68099356546765e-10
SLC1A1,376.189891129522,-7.78493827560703,0.57129443784659,-13.6268406619732,2.7732870160063396e-42,5.74070412313313e-39
GPX2,22.1766677433338,-6.96084983337318,1.25228383628461,-5.5585240595497,2.72065459774336e-08,5.36357620697977e-06
GM20658,9.86211654520368,-6.87022972199056,1.27939884561602,-5.3698889486512,7.87851419615423e-08,1.29176430780509e-05
MMP12,158.944979096771,-6.78377916208954,1.18258784058749,-5.73638501028343,9.67186620846633e-09,2.08007927808055e-06
TEKT5,67.0736145331609,-6.75798684644018,0.788790828455184,-8.56752716011599,1.0573092901657401e-17,7.29543410214364e-15
CBR3,475.836109071285,-6.65437846217709,0.394989126272016,-16.8469915234944,1.10389283797617e-63,9.140232698442661e-60
GM42375,9.03375244134947,-6.47513300055824,1.33023574197674,-4.86765826253933,1.12928388248341e-06,0.0001308183272258
RNASET2B,330.080926784112,-6.38166865697213,0.431891425059337,-14.7760948393346,2.08934230327922e-49,4.9427869346148505e-46
GPNMB,174.405665447365,-6.18915200643302,1.26558147813629,-4.89036234596863,1.00650525362398e-06,0.0001192785063843
GM13822,15.0705637494651,-6.15705777644461,1.13815498512046,-5.40968308968303,6.31363740717074e-08,1.06687587206885e-05
C1S2,204.400583182729,-6.08755769954994,1.90365194831443,-3.19783125530911,0.0013846527911294,0.0377668886079644
LY6D,72.2852212676413,-6.04316077469185,0.61702111015398,-9.79409079404716,1.19366452405683e-22,1.16276967755183e-19
GM36161,5.1645528031319,-5.91431722728582,1.4797739540048,-3.99677073061028,6.42124363894906e-05,0.0039238300612913
AI314278,12.1357837575092,-5.91015304834697,1.0881417145882,-5.43141850837291,5.59078457198387e-08,9.64410338667218e-06
GM43984,30.3114355710394,-5.90996091484229,0.831147642420467,-7.11060299423013,1.15537044358609e-12,4.25176323239682e-10
GM21188,7.72751524000392,-5.88378443953747,1.39909833933944,-4.20541163840948,2.60607393625835e-05,0.0018522139220789
RSAD2,3058.77799575444,-5.71181506271376,0.374215306818894,-15.2634458255286,1.33982124746737e-52,5.54685996451492e-49
SPINK1,14.5032315662961,-5.38949095713331,1.01723715897104,-5.29816563384777,1.16971837420701e-07,1.86541970059012e-05
UBD,52.9493036571046,-5.33071968144089,0.676282087009618,-7.88239077130115,3.2117573927031502e-15,1.7157000781665899e-12
MMP13,11.5314681193407,-5.26517225787761,1.08167859769448,-4.8675940053727,1.1296510140881e-06,0.0001308183272258
CCN5,8.40004490750011,-5.24930970707497,1.43099710960424,-3.66828812709953,0.0002441799216154,0.0108992439405706
TROAP,5.20275060176436,-5.18484378582762,1.3996868324375,-3.70428846344035,0.0002119849211611,0.009860871613562
SLC22A12,8.62476407195713,-5.15097548326746,1.18482810711787,-4.34744538243386,1.37732353616439e-05,0.0011072076581981
ABCC12,110.588826722862,-5.06858785288486,0.513299453142383,-9.87452416295269,5.36871574044842e-23,5.55662079136411e-20
CLEC4E,19.6885429343899,-5.0535777286344,1.15599747388722,-4.37161658462882,1.23329965682315e-05,0.0010110615008411
GSTA1,501.631767695553,-4.9966879755039,0.488705412577622,-10.2243352475869,1.5428282070676e-24,1.70328234060263e-21
COL6A5,8.97222059223818,-4.81131819480502,1.37305245941293,-3.50410369379636,0.0004581469242982,0.0174813665123949
ABCC4,565.732531342504,-4.78808948166112,0.318951650373524,-15.01196020166,6.13087467393026e-51,1.69212141000475e-47
GM19514,6.59777150783267,-4.78641721475326,1.45633319856131,-3.28662233304967,0.0010139672130306,0.0304841871205738
GM44867,23.2602277796875,-4.74167356808659,0.903999699754481,-5.24521586608313,1.56099452942132e-07,2.39352494511269e-05
DNAH1,26.3032921221152,-4.70494073391801,0.736650626914462,-6.38693644180436,1.69241936749594e-10,4.83214909064357e-08
HMGB1-RS16,7.90081361904969,-4.70197604382931,1.35877064159434,-3.46046337762504,0.0005392465774774,0.019249178940236
GM34921,4.95144331460412,-4.68482231600123,1.34520596213675,-3.48260597102897,0.0004965586461623,0.0183959981665512
H2-M2,8.66702323470142,-4.65017702314893,1.30129026054937,-3.5735125084128,0.0003522244094614,0.0142264298065403
CXCL10,346.922557670304,-4.59848422670199,0.287102185865228,-16.0168903376466,9.74010058954187e-58,5.37653552542711e-54
SULT1E1,20.4002327267942,-4.59762336140328,1.02933633069004,-4.46659000010342,7.94762357894657e-06,0.0007271416931898
BCL2A1D,5.88462495393364,-4.59507402318361,1.28568093066129,-3.57403918312777,0.0003515162917894,0.0142264298065403
LY6A,1155.01860508477,-4.59424046685505,0.236885290468953,-19.3943678721461,8.61047977079738e-84,1.4258954500440498e-79
TINAG,16.0982664183861,-4.57287149295705,0.96996803942291,-4.71445584503765,2.42357550346708e-06,0.0002589316795962
GM38211,6.35846350860334,-4.55918718534696,1.28427129985012,-3.55001874283031,0.0003852037252579,0.0153320549707901
HMMR,10.0463318571074,-4.48088615497082,1.0078914088148,-4.4458025098557,8.75643642553031e-06,0.0007796053075633
6720464F23RIK,20.1585953944831,-4.4475460804121,0.988238399631517,-4.50047891487565,6.78005303253047e-06,0.0006452740127511
GM44264,11.4029111403148,-4.41544436093605,1.2192033349325,-3.62158159711768,0.0002928074191769,0.0124330534912077
GSTM3,5393.59239432909,-4.40738449261798,0.362150161757225,-12.1700470082147,4.48823959950238e-34,8.258360863084381e-31
GM3776,326.038275969204,-4.3368163720432,0.402519194015839,-10.7741852724483,4.55799377754008e-27,5.80618284277413e-24
GM35190,5.99306427702698,-4.27466921203149,1.22579616519585,-3.4872594101716,0.0004879977694918,0.0181600967703052
GM43420,10.8583680896515,-4.267442649853,1.10214327737732,-3.87194908089254,0.0001079685106829,0.0059797944378248
SERPINB1B,6.41870959651997,-4.26007068640484,1.2104626517781,-3.51937391884586,0.0004325665824353,0.0167366883297422
KNTC1,5.44067670192624,-4.2428710091172,1.30916583672811,-3.24089652363756,0.0011915442749472,0.0341975271977939
NR6A1OS,8.40785824731661,-4.16888521364264,1.1881017691743,-3.50886205357637,0.0004500282527717,0.0172112421845254
MAB21L3,5.23158388902332,-4.11495944592347,1.26805923646186,-3.24508455725226,0.0011741575257067,0.0339720271061522
IFIT1,588.348623094406,-4.08903708809917,0.421411528948049,-9.70319226506796,2.92210087116021e-22,2.6883328014674e-19
VTCN1,20.2357634923868,-4.04446127639076,0.936330490899131,-4.31948047799552,1.56396942362319e-05,0.0012274565713364
GM37694,15.6314410197782,-4.032135621029,0.913529971001388,-4.41379675437367,1.01573323609864e-05,0.0008806566696226
OASL1,1222.53770213709,-4.01726180568083,0.354489528843437,-11.3325260094074,9.055488536902869e-30,1.49958890171112e-26
GM31683,13.2819809751137,-4.00433983804751,1.10380806264675,-3.62775012572909,0.0002859017533979,0.0122024047326567
GM48884,11.0086719997002,-3.99672002683472,1.21023998375296,-3.30241942134557,0.0009585462390061,0.0292330123719005
GM43915,10.5833736726698,-3.89577956808316,1.21253956024781,-3.21290924915223,0.0013139780055081,0.0365091875355948
GM26747,13.7555524023348,-3.86669076670561,0.811416196936355,-4.76536058967639,1.88516204288201e-06,0.0002109343475008
GM44916,17.9917555384519,-3.79607177267828,1.00949350375088,-3.76037266071904,0.0001696604221858,0.0082392275407554
GM28438,813.443428108928,-3.78923468468227,0.508561573258233,-7.45088674396995,9.27149298431485e-14,3.8383980955063496e-11
GIPC2,20.4617454305624,-3.75000555678959,0.683209941260833,-5.4888041439636,4.04664013252392e-08,7.41079398936495e-06
TPX2,11.8078066367988,-3.73555019444271,0.79468644647262,-4.70065924871844,2.59322930823969e-06,0.0002752812650285
GM43549,5.13298142242959,-3.72123110800156,1.16206353634774,-3.20226131498544,0.0013635324539481,0.0374462644069352
GM47939,6.64117240343188,-3.71432469244602,1.18862957863684,-3.12487991145712,0.0017787766115618,0.0460258448241629
GGT1,7.21010639125514,-3.69869236777468,1.10604732287587,-3.34406339699604,0.000825608684146,0.0263486538161245
GM44291,17.9306413242805,-3.68914609315787,1.10703159144285,-3.332466861537,0.0008607972119551,0.0269977307385939
GM12917,5.22824042322901,-3.68819234042146,1.15840614182993,-3.18385081642887,0.0014532989081536,0.0391964656661627
SLC4A9,35.0357198028526,-3.66766463964549,0.750034668478202,-4.88999348135076,1.00839316991637e-06,0.0001192785063843
CCL2,21.4971470856523,-3.59745008361171,0.708724699428636,-5.07594851218241,3.85567699162334e-07,5.10800087850261e-05
GM37183,7.49396668208842,-3.59568919079614,1.08037558855088,-3.32818441003382,0.000874139824228,0.0273127462060684
GM13522,160.320231133727,-3.52932640490482,0.463052407209294,-7.62187249209054,2.50021949617562e-14,1.18296099590481e-11
GM10639,9.34148297361509,-3.52164309515347,0.881455058260822,-3.99526108807173,6.46229963339685e-05,0.003934400070921
C1RB,256.26567359665,-3.49456541996424,0.719946979203717,-4.85392052596615,1.21044261527122e-06,0.000138240894544
GM37666,25.5569760872089,-3.48286841241676,0.69837972492624,-4.98706976750306,6.13019329081324e-07,7.51970377006425e-05
GM25291,13.7956865902049,-3.47825003687494,0.867990655442069,-4.0072436437734,6.14314824523691e-05,0.0037959154828777
A130071D04RIK,33.0496562358939,-3.44202848432302,0.904979569992325,-3.8034322524565,0.000142705033115,0.0073619792784574
FOXM1,12.9935829923312,-3.4308155692198,0.798873427962676,-4.29456713558394,1.75034509965966e-05,0.0013460308495919
TOP2A,38.5220342813574,-3.42911105617582,0.454035792833458,-7.55251262191489,4.26940253502246e-14,1.9108461075668097e-11
RNASET2A,22.6684928165402,-3.41493617802304,0.684293921431027,-4.99045230576003,6.02380731762464e-07,7.44434695372119e-05
TFF3,160.041753670158,-3.41436656784012,0.627609308586212,-5.44027394292719,5.31987043860358e-08,9.37202707056121e-06
IGHG2C,33.3000380944283,-3.41201979587436,0.679220615364511,-5.02343379852106,5.07557252529783e-07,6.51561868363814e-05
GM4468,11.6926596293066,-3.39524438272186,0.997443660993467,-3.40394602271586,0.0006641987717171,0.0225854859540797
GM49599,15.9981405667924,-3.38402531450386,0.838918839277543,-4.033793444689,5.48835664703646e-05,0.0034689765677451
CMPK2,520.676215081813,-3.3765306468959,0.302759492634832,-11.1525178533987,6.960834675162e-29,1.04792202018803e-25
THEMIS,10.0238315839388,-3.37019813218377,0.886835787048991,-3.8002504876335,0.0001445498992487,0.007410979354672
ISG15,441.178440950647,-3.35077866067286,0.222752995954183,-15.0425750563735,3.86228964957358e-51,1.27919033193877e-47
FIGNL1,9.35422444628049,-3.3377444986182,0.916310373153474,-3.64259163315088,0.0002699068493328,0.0116468129420791
GINS2,11.0664538377377,-3.27837377581683,0.937136002061735,-3.49829028935425,0.0004682511725523,0.0176329418694562
MX1,63.7717787065461,-3.27420483152701,0.486639467622277,-6.72819417529942,1.7178158911562498e-11,5.577849246577951e-09
SLFN4,17.8122350555249,-3.27148052140959,0.664303942790213,-4.92467425026669,8.45010012462763e-07,0.0001014012014955
GLIPR1,12.4622625312312,-3.2408203090362,0.861412098099779,-3.76221824163515,0.0001684129888059,0.0082027032194884
GM15666,24.6885216436358,-3.24054051349424,1.03306901004149,-3.13680933412579,0.0017079715892501,0.044401898772343
TSPAN32,9.56805484816484,-3.23123660349879,0.863371108034449,-3.74258134587688,0.0001821395428029,0.0086349734001032
AURKB,11.5242309224966,-3.22671096465371,0.79504940213367,-4.05850373070428,4.93881446340351e-05,0.0031823644947067
FAM83A,15.062373982302,-3.21573133638275,0.80946090649394,-3.9726826960813,7.10676900892799e-05,0.0042333847045988
GM42507,43.6154646729921,-3.17056483604463,0.787612250470104,-4.02554027588094,5.68446495175962e-05,0.0035522543245713
SLAMF8,15.277518331998,-3.12453357107581,0.7908208438558,-3.95100052730217,7.78251529549648e-05,0.0045465136702773
GM36283,11.3770111679829,-3.11276675868202,0.90415100402795,-3.4427509838675,0.0005758292655328,0.020202823383949
UBE2C,16.8238617590352,-3.1081248181775,0.736127262232658,-4.22226560221479,2.41858865619422e-05,0.0017489881286714
KIFC1,15.3990979246067,-3.09760190502089,0.651044331772772,-4.75789704917056,1.95620217096375e-06,0.0002174141473232
