,organ,samp,time,genotype,gender
12DarkATG7KOfemale1911-21-GNP,GNP,21,Dark,KO,female
12DarkATG7KOfemale1911-22-iWAT,iWAT,22,Dark,KO,female
12DarkATG7KOfemale1911-23-BAT,BAT,23,Dark,KO,female
12DarkATG7KOfemale1911-24-Liver,Liver,24,Dark,KO,female
12DarkATG7KOfemale1911-25-Cerebellum,Cerebellum,25,Dark,KO,female
12DarkATG7KOfemale1914-26-GNP,GNP,26,Dark,KO,female
12DarkATG7KOfemale1914-27-Liver,Liver,27,Dark,KO,female
12DarkATG7KOfemale1914-28-BAT,BAT,28,Dark,KO,female
12DarkATG7KOfemale1914-29-Cerebellum,Cerebellum,29,Dark,KO,female
12DarkATG7KOfemale1914-30-iWAT,iWAT,30,Dark,KO,female
12DarkATG7KOmale1935-36-Liver,Liver,36,Dark,KO,male
12DarkATG7KOmale1935-37-BAT,BAT,37,Dark,KO,male
12DarkATG7KOmale1935-38-iWAT,iWAT,38,Dark,KO,male
12DarkATG7KOmale1935-39-GNP,GNP,39,Dark,KO,male
12DarkATG7KOmale1935-40-Cerebellum,Cerebellum,40,Dark,KO,male
12DarkATG7WTfemale2028-46-GNP,GNP,46,Dark,WT,female
12DarkATG7WTfemale2028-47-BAT,BAT,47,Dark,WT,female
12DarkATG7WTfemale2028-48-Cerebellum,Cerebellum,48,Dark,WT,female
12DarkATG7WTfemale2028-49-iWAT,iWAT,49,Dark,WT,female
12DarkATG7WTmale1981-41-BAT,BAT,41,Dark,WT,male
12DarkATG7WTmale1981-42-Liver,Liver,42,Dark,WT,male
12DarkATG7WTmale1981-43-iWAT,iWAT,43,Dark,WT,male
12DarkATG7WTmale1981-44-Cerebellum,Cerebellum,44,Dark,WT,male
12DarkATG7WTmale1981-45-GNP,GNP,45,Dark,WT,male
12DarkATG7WTmale1983-31-iWAT,iWAT,31,Dark,WT,male
12DarkATG7WTmale1983-32-Liver,Liver,32,Dark,WT,male
12DarkATG7WTmale1983-33-BAT,BAT,33,Dark,WT,male
12DarkATG7WTmale1983-34-Cerebellum,Cerebellum,34,Dark,WT,male
12DarkATG7WTmale1983-35-GNP,GNP,35,Dark,WT,male
12LightATG7KOfemale1390-16-GNP,GNP,16,Light,KO,female
12LightATG7KOfemale1390-17-BAT,BAT,17,Light,KO,female
12LightATG7KOfemale1390-18-iWAT,iWAT,18,Light,KO,female
12LightATG7KOfemale1390-19-Cerebellum,Cerebellum,19,Light,KO,female
12LightATG7KOfemale1390-20-Liver,Liver,20,Light,KO,female
12LightATG7KOfemale1392-10-BAT,BAT,10,Light,KO,female
12LightATG7KOfemale1392-6-GNP,GNP,6,Light,KO,female
12LightATG7KOfemale1392-7-iWAT,iWAT,7,Light,KO,female
12LightATG7KOfemale1392-8-Liver,Liver,8,Light,KO,female
12LightATG7KOfemale1392-9-Cerebellum,Cerebellum,9,Light,KO,female
12LightATG7WTfemale2024-1-iWAT,iWAT,1,Light,WT,female
12LightATG7WTfemale2024-2-Liver,Liver,2,Light,WT,female
12LightATG7WTfemale2024-3-GNP,GNP,3,Light,WT,female
12LightATG7WTfemale2024-4-BAT,BAT,4,Light,WT,female
12LightATG7WTfemale2024-5-Cerebellum,Cerebellum,5,Light,WT,female
12LightATG7WTfemale2025-11-iWAT,iWAT,11,Light,WT,female
12LightATG7WTfemale2025-12-BAT,BAT,12,Light,WT,female
12LightATG7WTfemale2025-13-BAT,BAT,13,Light,WT,female
12LightATG7WTfemale2025-14-Cerebellum,Cerebellum,14,Light,WT,female
12LightATG7WTfemale2025-15-GNP,GNP,15,Light,WT,female
2DarkATG7KO1904-49-GNP,GNP,49,Dark,KO,male
2DarkATG7KO1904-50-BAT,BAT,50,Dark,KO,male
2DarkATG7KO1904-51-Liver,Liver,51,Dark,KO,male
2DarkATG7KO1904-52-Cerebellum,Cerebellum,52,Dark,KO,male
2DarkATG7KO2581-54-BAT,BAT,54,Dark,KO,male
2DarkATG7KO2581-56-Liver,Liver,56,Dark,KO,male
2DarkATG7KO2585-58-BAT,BAT,58,Dark,KO,male
2DarkATG7KO2585-59-Liver,Liver,59,Dark,KO,male
2DarkATG7KO2585-61-GNP,GNP,61,Dark,KO,male
2DarkATG7KO2588-72-GNP,GNP,72,Dark,KO,male
2DarkATG7KO2588-75-Cerebellum,Cerebellum,75,Dark,KO,male
2DarkATG7KO2588-76-BAT,BAT,76,Dark,KO,male
2DarkATG7WT2003-27-GNP,GNP,27,Dark,WT,male
2DarkATG7WT2003-28-BAT,BAT,28,Dark,WT,male
2DarkATG7WT2003-30-Liver,Liver,30,Dark,WT,male
2DarkATG7WT2005-41-Liver,Liver,41,Dark,WT,male
2DarkATG7WT2005-42-Cerebellum,Cerebellum,42,Dark,WT,male
2DarkATG7WT2005-44-BAT,BAT,44,Dark,WT,male
2DarkATG7WT2005-45-GNP,GNP,45,Dark,WT,male
2DarkATG7WT2021-68-BAT,BAT,68,Dark,WT,male
2DarkATG7WT2021-69-Cerebellum,Cerebellum,69,Dark,WT,male
2DarkATG7WT2021-70-Liver,Liver,70,Dark,WT,male
2DarkATG7WT2021-71-GNP,GNP,71,Dark,WT,male
2DarkATG7WT2023-12-BAT,BAT,12,Dark,WT,male
2DarkATG7WT2023-13-Cerebellum,Cerebellum,13,Dark,WT,male
2DarkATG7WT2023-14-Liver,Liver,14,Dark,WT,male
2DarkATG7WT2023-15-GN-P,GN,15,Dark,WT,male
2LightATG7KO1896-22-Liver,Liver,22,Light,KO,male
2LightATG7KO1896-23-GN-P,GN,23,Light,KO,male
2LightATG7KO1896-24-BAT,BAT,24,Light,KO,male
2LightATG7KO1896-25-Cerebellum,Cerebellum,25,Light,KO,male
2LightATG7KO1944-10-Liver,Liver,10,Light,KO,male
2LightATG7KO1944-6-Cerebellum,Cerebellum,6,Light,KO,male
2LightATG7KO1944-7-GNP,GNP,7,Light,KO,male
2LightATG7KO1944-8-BAT,BAT,8,Light,KO,male
2LightATG7KO1946-16-Cerebellum,Cerebellum,16,Light,KO,male
2LightATG7KO1946-17-Liver,Liver,17,Light,KO,male
2LightATG7KO1946-19-BAT,BAT,19,Light,KO,male
2LightATG7KO1946-20-GNP,GNP,20,Light,KO,male
2LightATG7KO1949-1-Cerebellum,Cerebellum,1,Light,KO,male
2LightATG7KO1949-3-GNP,GNP,3,Light,KO,male
2LightATG7KO1949-4-Liver,Liver,4,Light,KO,male
2LightATG7KO1949-5-BAT,BAT,5,Light,KO,male
2LightATG7WT1990-32-Liver,Liver,32,Light,WT,male
2LightATG7WT1990-33-BAT,BAT,33,Light,WT,male
2LightATG7WT1990-34-GNP,GNP,34,Light,WT,male
2LightATG7WT1990-35-Cerebellum,Cerebellum,35,Light,WT,male
2LightATG7WT1991-62-Liver,Liver,62,Light,WT,male
2LightATG7WT1991-63--Cerebellum,,63,Light,WT,male
2LightATG7WT1991-65-GNP,GNP,65,Light,WT,male
2LightATG7WT1991-66-BAT,BAT,66,Light,WT,male
2LightATG7WT2051-36-BAT,BAT,36,Light,WT,male
2LightATG7WT2051-39-GNP,GNP,39,Light,WT,male
2LightATG7WT2051-40-Cerebellum,Cerebellum,40,Light,WT,male
2LightATG7WT2052-47-BAT,BAT,47,Light,WT,male
2LightATG7WT2052-48-GNP,GNP,48,Light,WT,male
6DarkATG7KO1920-115-Cerebellum,Cerebellum,115,Dark,KO,male
6DarkATG7KO1920-117-GNP,GNP,117,Dark,KO,male
6DarkATG7KO1920-119-BAT,BAT,119,Dark,KO,male
6DarkATG7KO1927-145-BAT,BAT,145,Dark,KO,male
6DarkATG7KO1927-146-Cerebellum,Cerebellum,146,Dark,KO,male
6DarkATG7KO1927-147-GNP,GNP,147,Dark,KO,male
6DarkATG7KO1927-148-Diagphram,Diagphram,148,Dark,KO,male
6DarkATG7KO1936-106-Cerebellum,Cerebellum,106,Dark,KO,male
6DarkATG7KO1936-108-Liver,Liver,108,Dark,KO,male
6DarkATG7KO1950-110-BAT,BAT,110,Dark,KO,male
6DarkATG7KO1950-111-Cerebellum,Cerebellum,111,Dark,KO,male
6DarkATG7KO1950-113-Liver,Liver,113,Dark,KO,male
6DarkATG7KO1950-114-GN-P,GN,114,Dark,KO,male
6DarkATG7WT2013-87-Cerebellum,Cerebellum,87,Dark,WT,male
6DarkATG7WT2013-89-BAT,BAT,89,Dark,WT,male
6DarkATG7WT2013-90-Liver,Liver,90,Dark,WT,male
6DarkATG7WT2015-92-Cerebellum,Cerebellum,92,Dark,WT,male
6DarkATG7WT2015-93-Liver,Liver,93,Dark,WT,male
6DarkATG7WT2015-94-GN-P,GN,94,Dark,WT,male
6DarkATG7WT2015-95-BAT,BAT,95,Dark,WT,male
6DarkATG7WT2033-102-Liver,Liver,102,Dark,WT,male
6DarkATG7WT2033-103-GNP,GNP,103,Dark,WT,male
6DarkATG7WT2033-104-BAT,BAT,104,Dark,WT,male
6DarkATG7WT2033-105-Cerebellum,Cerebellum,105,Dark,WT,male
6DarkATG7WT2046-100-Liver,Liver,100,Dark,WT,male
6DarkATG7WT2046-97-Cerebellum,Cerebellum,97,Dark,WT,male
6DarkATG7WT2046-98-BAT,BAT,98,Dark,WT,male
6DarkATG7WT2046-99-GNP,GNP,99,Dark,WT,male
6LightATG7KO1921-121-GNP,GNP,121,Light,KO,male
6LightATG7KO1921-122-Liver,Liver,122,Light,KO,male
6LightATG7KO1921-123-Cerebellum,Cerebellum,123,Light,KO,male
6LightATG7KO1921-124-BAT,BAT,124,Light,KO,male
6LightATG7KO1922-136-Liver,Liver,136,Light,KO,male
6LightATG7KO1922-137-BAT,BAT,137,Light,KO,male
6LightATG7KO1922-138-Cerebellum,Cerebellum,138,Light,KO,male
6LightATG7KO1922-139-GN-P,GN,139,Light,KO,male
6LightATG7KO1956-130-Cerebellum,Cerebellum,130,Light,KO,male
6LightATG7KO1956-131-GNP,GNP,131,Light,KO,male
6LightATG7KO1956-133-Liver,Liver,133,Light,KO,male
6LightATG7KO1956-134--BAT,,134,Light,KO,male
6LightATG7WT1975-82-BAT,BAT,82,Light,WT,male
6LightATG7WT1975-83-GNP,GNP,83,Light,WT,male
6LightATG7WT1975-84-Cerebellum,Cerebellum,84,Light,WT,male
6LightATG7WT1975-86-Liver,Liver,86,Light,WT,male
6LightATG7WT1977-140-GNP,GNP,140,Light,WT,male
6LightATG7WT1977-142-Cerebellum,Cerebellum,142,Light,WT,male
6LightATG7WT1977-143-BAT,BAT,143,Light,WT,male
6LightATG7WT1977-144-Liver,Liver,144,Light,WT,male
6LightATG7WT2040-125-Cerebellum,Cerebellum,125,Light,WT,male
6LightATG7WT2040-126-BAT,BAT,126,Light,WT,male
6LightATG7WT2040-127-GNP,GNP,127,Light,WT,male
6LightATG7WT2040-128-Liver,Liver,128,Light,WT,male
6LightATG7WT2041-77-Liver,Liver,77,Light,WT,male
6LightATG7WT2041-78-BAT,BAT,78,Light,WT,male
6LightATG7WT2041-79-Cerebellum,Cerebellum,79,Light,WT,male
6LightATG7WT2041-80-GNP,GNP,80,Light,WT,male
