filename,Collection Cycle,Gender,Mouse ID,Weeks Post Deletion,Mouse Genotype Code,tissue
12DarkATG7KOfemale1911-21-GNP,Dark,Female,1911,12,M,GNP
12DarkATG7KOfemale1911-22-iWAT,Dark,Female,1911,12,M,iWAT
12DarkATG7KOfemale1911-23-BAT,Dark,Female,1911,12,M,BAT
12DarkATG7KOfemale1911-24-Liver,Dark,Female,1911,12,M,Liver
12DarkATG7KOfemale1911-25-Cerebellum,Dark,Female,1911,12,M,Cerebellum
12DarkATG7KOfemale1914-26-GNP,Dark,Female,1914,12,M,GNP
12DarkATG7KOfemale1914-27-Liver,Dark,Female,1914,12,M,Liver
12DarkATG7KOfemale1914-28-BAT,Dark,Female,1914,12,M,BAT
12DarkATG7KOfemale1914-29-Cerebellum,Dark,Female,1914,12,M,Cerebellum
12DarkATG7KOfemale1914-30-iWAT,Dark,Female,1914,12,M,iWAT
12DarkATG7KOmale1935-36-Liver,Dark,Male,1935,12,M,Liver
12DarkATG7KOmale1935-37-BAT,Dark,Male,1935,12,M,BAT
12DarkATG7KOmale1935-38-iWAT,Dark,Male,1935,12,M,iWAT
12DarkATG7KOmale1935-39-GNP,Dark,Male,1935,12,M,GNP
12DarkATG7KOmale1935-40-Cerebellum,Dark,Male,1935,12,M,Cerebellum
12DarkATG7WTfemale2028-46-GNP,Dark,Female,2028,12,W,GNP
12DarkATG7WTfemale2028-47-BAT,Dark,Female,2028,12,W,BAT
12DarkATG7WTfemale2028-48-Cerebellum,Dark,Female,2028,12,W,Cerebellum
12DarkATG7WTfemale2028-49-iWAT,Dark,Female,2028,12,W,iWAT
12DarkATG7WTfemale2028-50-Liver,Dark,Female,2028,12,W,Liver
12DarkATG7WTmale1981-41-BAT,Dark,Male,1981,12,W,BAT
12DarkATG7WTmale1981-42-Liver,Dark,Male,1981,12,W,Liver
12DarkATG7WTmale1981-43-iWAT,Dark,Male,1981,12,W,iWAT
12DarkATG7WTmale1981-44-Cerebellum,Dark,Male,1981,12,W,Cerebellum
12DarkATG7WTmale1981-45-GNP,Dark,Male,1981,12,W,GNP
12DarkATG7WTmale1983-31-iWAT,Dark,Male,1983,12,W,iWAT
12DarkATG7WTmale1983-32-Liver,Dark,Male,1983,12,W,Liver
12DarkATG7WTmale1983-33-BAT,Dark,Male,1983,12,W,BAT
12DarkATG7WTmale1983-34-Cerebellum,Dark,Male,1983,12,W,Cerebellum
12DarkATG7WTmale1983-35-GNP,Dark,Male,1983,12,W,GNP
12LightATG7KOfemale1390-16-GNP,Light,Female,1390,12,M,GNP
12LightATG7KOfemale1390-17-BAT,Light,Female,1390,12,M,BAT
12LightATG7KOfemale1390-18-iWAT,Light,Female,1390,12,M,iWAT
12LightATG7KOfemale1390-19-Cerebellum,Light,Female,1390,12,M,Cerebellum
12LightATG7KOfemale1390-20-Liver,Light,Female,1390,12,M,Liver
12LightATG7KOfemale1392-10-BAT,Light,Female,1392,12,M,BAT
12LightATG7KOfemale1392-6-GNP,Light,Female,1392,12,M,GNP
12LightATG7KOfemale1392-7-iWAT,Light,Female,1392,12,M,iWAT
12LightATG7KOfemale1392-8-Liver,Light,Female,1392,12,M,Liver
12LightATG7KOfemale1392-9-Cerebellum,Light,Female,1392,12,M,Cerebellum
12LightATG7WTfemale2024-1-iWAT,Light,Female,2024,12,W,iWAT
12LightATG7WTfemale2024-2-Liver,Light,Female,2024,12,W,Liver
12LightATG7WTfemale2024-3-GNP,Light,Female,2024,12,W,GNP
12LightATG7WTfemale2024-4-BAT,Light,Female,2024,12,W,BAT
12LightATG7WTfemale2024-5-Cerebellum,Light,Female,2024,12,W,Cerebellum
12LightATG7WTfemale2025-11-iWAT,Light,Female,2025,12,W,iWAT
12LightATG7WTfemale2025-12-BAT,Light,Female,2025,12,W,BAT
12LightATG7WTfemale2025-13-BAT,Light,Female,2025,12,W,BAT
12LightATG7WTfemale2025-14-Cerebellum,Light,Female,2025,12,W,Cerebellum
12LightATG7WTfemale2025-15-GNP,Light,Female,2025,12,W,GNP
2DarkATG7KO1904-49-GNP,Dark,Male,1904,2,M,GNP
2DarkATG7KO1904-50-BAT,Dark,Male,1904,2,M,BAT
2DarkATG7KO1904-51-Liver,Dark,Male,1904,2,M,Liver
2DarkATG7KO1904-52-Cerebellum,Dark,Male,1904,2,M,Cerebellum
2DarkATG7KO2581-54-BAT,Dark,Male,2581,2,M,BAT
2DarkATG7KO2581-56-Liver,Dark,Male,2581,2,M,Liver
2DarkATG7KO2585-58-BAT,Dark,Male,2585,2,M,BAT
2DarkATG7KO2585-59-Liver,Dark,Male,2585,2,M,Liver
2DarkATG7KO2585-61-GNP,Dark,Male,2585,2,M,GNP
2DarkATG7KO2588-72-GNP,Dark,Female,2588,2,M,GNP
2DarkATG7KO2588-75-Cerebellum,Dark,Female,2588,2,M,Cerebellum
2DarkATG7KO2588-76-BAT,Dark,Female,2588,2,M,BAT
2DarkATG7WT2003-27-GNP,Dark,Male,2003,2,W,GNP
2DarkATG7WT2003-28-BAT,Dark,Male,2003,2,W,BAT
2DarkATG7WT2003-30-Liver,Dark,Male,2003,2,W,Liver
2DarkATG7WT2005-41-Liver,Dark,Male,2005,2,W,Liver
2DarkATG7WT2005-42-Cerebellum,Dark,Male,2005,2,W,Cerebellum
2DarkATG7WT2005-44-BAT,Dark,Male,2005,2,W,BAT
2DarkATG7WT2005-45-GNP,Dark,Male,2005,2,W,GNP
2DarkATG7WT2021-68-BAT,Dark,Female,2021,2,W,BAT
2DarkATG7WT2021-69-Cerebellum,Dark,Female,2021,2,W,Cerebellum
2DarkATG7WT2021-70-Liver,Dark,Female,2021,2,W,Liver
2DarkATG7WT2021-71-GNP,Dark,Female,2021,2,W,GNP
2DarkATG7WT2023-12-BAT,Dark,Female,2023,2,W,BAT
2DarkATG7WT2023-13-Cerebellum,Dark,Female,2023,2,W,Cerebellum
2DarkATG7WT2023-14-Liver,Dark,Female,2023,2,W,Liver
2DarkATG7WT2023-15-GN-P,Dark,Female,2023,2,W,GNP
2LightATG7KO1896-22-Liver,Light,Male,1896,2,M,Liver
2LightATG7KO1896-23-GN-P,Light,Male,1896,2,M,GNP
2LightATG7KO1896-24-BAT,Light,Male,1896,2,M,BAT
2LightATG7KO1896-25-Cerebellum,Light,Male,1896,2,M,Cerebellum
2LightATG7KO1944-10-Liver,Light,Female,1944,2,M,Liver
2LightATG7KO1944-6-Cerebellum,Light,Female,1944,2,M,Cerebellum
