,term,variable,value,p,padj
81,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0,0.02270949498455522,0.02270949498455522,0.023409076583605498
300,KEGG_MM_OTHER_GLYCAN_DEGRADATION,3,5.859374851367643e-05,5.859374851367643e-05,0.00015831230188477794
303,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,3,0.0003699268339595603,0.0003699268339595603,0.0006273612973583186
305,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,3,5.87091748759465e-07,5.87091748759465e-07,1.5384633175323329e-06
316,KEGG_MM_SPHINGOLIPID_METABOLISM,3,9.840830904412764e-06,9.840830904412764e-06,2.4461493962397446e-05
319,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,3,0.0014710816430364333,0.0014710816430364333,0.012073971975865065
344,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,3,0.0027978249787884804,0.0027978249787884804,0.0077519354507833696
392,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,4,0.00013416209092502595,0.00013416209092502595,0.00025209723348762974
398,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,4,0.010910436652839275,0.010910436652839275,0.013579513430572487
399,KEGG_MM_ETHER_LIPID_METABOLISM,4,0.0011282621504896193,0.0011282621504896193,0.002277466521869997
471,KEGG_MM_GLUTATHIONE_METABOLISM,5,0.00016895602734757342,0.00016895602734757342,0.0014999157529835602
474,KEGG_MM_OTHER_GLYCAN_DEGRADATION,5,0.019655412595197527,0.019655412595197527,0.023233979562257947
518,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5,5.879658908844367e-09,5.879658908844367e-09,7.63478097118597e-09
568,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,6,2.064539690579388e-05,2.064539690579388e-05,2.1614314450109113e-05
710,KEGG_MM_PURINE_METABOLISM,8,6.024031406786111e-06,6.024031406786111e-06,9.669570708309809e-06
712,KEGG_MM_PYRIMIDINE_METABOLISM,8,3.700315231486948e-09,3.700315231486948e-09,6.425697108570149e-09
776,KEGG_MM_RNA_DEGRADATION,8,0.0038158198542680294,0.0038158198542680294,0.005328672990711373
790,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,9,0.0004559703008960004,0.0004559703008960004,0.0006503182979992136
791,KEGG_MM_FATTY_ACID_METABOLISM,9,0.00043733592234387056,0.00043733592234387056,0.003694002450865703
800,KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,9,0.003196861789266412,0.003196861789266412,0.004272303773674007
803,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,9,1.9339273159004292e-05,1.9339273159004292e-05,2.649632700524997e-05
811,KEGG_MM_TRYPTOPHAN_METABOLISM,9,0.011378181258859966,0.011378181258859966,0.015467215148762767
813,KEGG_MM_BETA-ALANINE_METABOLISM,9,0.0018400865167076178,0.0018400865167076178,0.006277942233473049
831,KEGG_MM_GLYCEROLIPID_METABOLISM,9,0.0011287416458762754,0.0011287416458762754,0.00892732029011236
842,KEGG_MM_PYRUVATE_METABOLISM,9,0.0014229937977919954,0.0014229937977919954,0.0021308168744905956
844,KEGG_MM_PROPANOATE_METABOLISM,9,0.00023056618818466403,0.00023056618818466403,0.00034406961187076794
859,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,9,0.006793231971989262,0.006793231971989262,0.009983296985862597
860,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,9,0.005473122502858262,0.005473122502858262,0.008056880841771046
861,KEGG_MM_METABOLIC_PATHWAYS,9,0.00016170749825800642,0.00016170749825800642,0.00023845003980417896
866,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,9,0.030658311950991207,0.030658311950991207,0.04559441264506384
868,KEGG_MM_INSULIN_SIGNALING_PATHWAY,9,1.3817568883033213e-05,1.3817568883033213e-05,2.1621016057983626e-05
869,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,9,0.0001835294225126687,0.0001835294225126687,0.003628877217864131
