,pvn,nvp,term,padj_pvn,padj_nvp
KEGG_MM_INSULIN_SIGNALING_PATHWAY,0.7759301659398008,2.2738382429187682e-07,KEGG_MM_INSULIN_SIGNALING_PATHWAY,1.0,2.8670134367236644e-07
KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.45740038700086183,5.391479165694166e-06,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.5305844489209997,2.1320849427972384e-05
KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.21151627804853182,0.00010798482464075466,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.25208104370167495,0.00011052564404406652
KEGG_MM_METABOLIC_PATHWAYS,8.022960257513232e-08,0.00020084393617575918,KEGG_MM_METABOLIC_PATHWAYS,2.684605932321735e-07,0.001456118537274254
KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,0.8018295291592621,0.0014742285575982234,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,1.0,0.0014913707501284354
KEGG_MM_MTOR_SIGNALING_PATHWAY,0.4448346413295134,0.0006881464896099363,KEGG_MM_MTOR_SIGNALING_PATHWAY,1.0,0.0016630206832240126
KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,0.8638603787534579,0.0017745659550717334,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,1.0,0.001860087205918564
KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,0.5845095393799271,0.0016354449679634728,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,1.0,0.001872154108063449
KEGG_MM_GALACTOSE_METABOLISM,0.8933278892719018,0.0023197213851124097,KEGG_MM_GALACTOSE_METABOLISM,1.0,0.0023197213851124097
KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.33668534590550225,0.006619803362415558,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.5526721715807301,0.0079989290629188
KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.5872614104745666,0.0011073313596908592,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.7741173138073832,0.012042228536638094
KEGG_MM_CITRATE_CYCLE,0.34441881510033173,0.012637050045906083,KEGG_MM_CITRATE_CYCLE,0.3792966697940362,0.013407601877973527
KEGG_MM_OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS,0.6779541207334842,0.005079323811075943,KEGG_MM_OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS,1.0,0.024550065086867058
KEGG_MM_PYRUVATE_METABOLISM,0.7591990139674251,0.0101745262364561,KEGG_MM_PYRUVATE_METABOLISM,1.0,0.031613706520417166
KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,0.474839808023829,0.02091901765190727,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,1.0,0.04232452408641703
KEGG_MM_D-GLUTAMINE_AND_D-GLUTAMATE_METABOLISM,0.312380178667059,0.03906422315734406,KEGG_MM_D-GLUTAMINE_AND_D-GLUTAMATE_METABOLISM,0.8492836107510667,0.045314498862519106
KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.041288503894851565,0.044865756627848107,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.04854188971421738,0.04646810507884268
