,term,variable,value,p,padj
7,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,0,0.00703992968963252,0.00703992968963252,0.008331659907913716
13,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,0,0.01905166826673528,0.01905166826673528,0.02231343248360825
14,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,0,8.241605999933497e-06,8.241605999933497e-06,1.7347716125734144e-05
27,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,0,1.2505290204544211e-05,1.2505290204544211e-05,1.535319789898494e-05
39,KEGG_MM_GLUTATHIONE_METABOLISM,0,0.00039267925907525886,0.00039267925907525886,0.0005316182472937912
66,KEGG_MM_METABOLIC_PATHWAYS,0,0.010800706312600373,0.010800706312600373,0.01602799967178001
71,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,0,0.01852125423731219,0.01852125423731219,0.04170746278377284
75,KEGG_MM_NUCLEOTIDE_METABOLISM,0,2.1332019251274537e-05,2.1332019251274537e-05,3.253853612145424e-05
95,KEGG_MM_PYRIMIDINE_METABOLISM,0,6.4497084843489785e-06,6.4497084843489785e-06,1.7729335651041482e-05
97,KEGG_MM_RNA_DEGRADATION,0,2.746170704110567e-07,2.746170704110567e-07,3.552710810618685e-07
119,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS,0,0.007488119787678405,0.007488119787678405,0.016372329705262954
186,KEGG_MM_IL-17_SIGNALING_PATHWAY,1,0.00010760201679591364,0.00010760201679591364,0.00019221487866807123
189,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,1,0.01732587762479738,0.01732587762479738,0.0240511414222783
199,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,1,0.0006511675231481771,0.0006511675231481771,0.00180369409019265
200,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,1,2.1596960689068557e-05,2.1596960689068557e-05,3.353749871406519e-05
204,KEGG_MM_NUCLEOTIDE_METABOLISM,1,0.0012303507887147596,0.0012303507887147596,0.0031607589252046313
224,KEGG_MM_PYRIMIDINE_METABOLISM,1,0.000243123335094777,0.000243123335094777,0.001068322976109896
239,KEGG_MM_TNF_SIGNALING_PATHWAY,1,0.005741271644940105,0.005741271644940105,0.010337723420500327
245,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,1,3.5892412591654474e-05,3.5892412591654474e-05,0.0008205278119054174
259,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,10,0.0012428441822495782,0.0012428441822495782,0.006970734761312852
282,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,10,0.012319061298150967,0.012319061298150967,0.014733923645338176
318,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,10,1.2975269393152966e-08,1.2975269393152966e-08,1.6738097517167327e-08
