,term,variable,value,p,padj
60,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,0,0.016804350187903477,0.016804350187903477,0.018402047319520786
70,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,0,0.00020226549724022396,0.00020226549724022396,0.0004377894151675988
137,KEGG_MM_APELIN_SIGNALING_PATHWAY,1,0.020170309389380144,0.020170309389380144,0.02398128950442432
148,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,1,0.0016635552972104892,0.0016635552972104892,0.0036683527066692836
173,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE_DERMATAN_SULFATE,1,0.02997636482336829,0.02997636482336829,0.031748366684848185
199,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,1,5.798660316087787e-07,5.798660316087787e-07,1.1420262301913353e-06
208,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,1,0.016914285535644363,0.016914285535644363,0.03266381488170843
246,KEGG_MM_TRYPTOPHAN_METABOLISM,1,0.03279407472625193,0.03279407472625193,0.04143423741122918
256,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,1,0.03732030778379127,0.03732030778379127,0.04819138842952026
393,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,3,0.0005637313101799948,0.0005637313101799948,0.0014371806129094729
406,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,3,0.006659460172772795,0.006659460172772795,0.0074314045180596065
410,KEGG_MM_CHOLESTEROL_METABOLISM,3,0.00045821743454304485,0.00045821743454304485,0.0009079884647627156
434,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,3,5.87091748759465e-07,5.87091748759465e-07,3.029393423598839e-05
435,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,3,0.0014710816430364333,0.0014710816430364333,0.045183221893261884
462,KEGG_MM_NUCLEOTIDE_METABOLISM,3,0.021020422350310035,0.021020422350310035,0.022615800527022473
463,KEGG_MM_OTHER_GLYCAN_DEGRADATION,3,9.694760997124022e-05,9.694760997124022e-05,0.00018310749174655912
467,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,3,0.0021128919835756727,0.0021128919835756727,0.006647879655640532
485,KEGG_MM_RAP1_SIGNALING_PATHWAY,3,0.0043259111301057794,0.0043259111301057794,0.010258134848964073
486,KEGG_MM_RAS_SIGNALING_PATHWAY,3,0.005639900516427284,0.005639900516427284,0.005983118146538813
490,KEGG_MM_SPHINGOLIPID_METABOLISM,3,1.8128900244825555e-05,1.8128900244825555e-05,4.6126787605177446e-05
538,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,4,0.02066055174680027,0.02066055174680027,0.041514192762262224
540,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,4,0.001923592421393467,0.001923592421393467,0.003649167975878783
546,KEGG_MM_ETHER_LIPID_METABOLISM,4,0.00010746694753256679,0.00010746694753256679,0.0006080366768289962
557,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,4,0.0005586537923911666,0.0005586537923911666,0.0010474758607334372
563,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,4,0.00013416209092502595,0.00013416209092502595,0.0002227401509566068
586,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,4,0.025639345781964827,0.025639345781964827,0.03105610897533768
