,term,variable,value,p,padj
58,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,0,0.03907858479203112,0.03907858479203112,0.041152142352424606
60,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,0,0.002729243519862464,0.002729243519862464,0.008650427863937538
67,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0,0.03449926303563875,0.03449926303563875,0.0377793287911494
70,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,0,8.618598387471593e-05,8.618598387471593e-05,0.00012838327852007339
98,KEGG_MM_RAP1_SIGNALING_PATHWAY,0,0.008864698058385627,0.008864698058385627,0.02121606770930883
127,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,0,0.017416562363273488,0.017416562363273488,0.04594553261477055
130,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,1,0.04140816123069666,0.04140816123069666,0.04492559124272388
137,KEGG_MM_APELIN_SIGNALING_PATHWAY,1,0.0076011009402272445,0.0076011009402272445,0.007702608179806084
148,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,1,0.0009043578668650691,0.0009043578668650691,0.0010752273255815108
173,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE_DERMATAN_SULFATE,1,0.026132319883977285,0.026132319883977285,0.03144654165142789
187,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,1,0.007452992518715746,0.007452992518715746,0.010950296525220175
199,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,1,1.205997480214117e-07,1.205997480214117e-07,1.2337325531135692e-07
208,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,1,0.003710158858658352,0.003710158858658352,0.009204047937825529
233,KEGG_MM_SPHINGOLIPID_SIGNALING_PATHWAY,1,0.03459946037239688,0.03459946037239688,0.04926413231831344
245,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,1,0.006686955835364273,0.006686955835364273,0.011931083025753684
246,KEGG_MM_TRYPTOPHAN_METABOLISM,1,0.008352744380678177,0.008352744380678177,0.013108321473327066
256,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,1,0.007808301080454113,0.007808301080454113,0.025181770984464516
393,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,3,0.00011312841943679448,0.00011312841943679448,0.00025557909119696125
396,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,3,0.02388263082719261,0.02388263082719261,0.03929667572331438
406,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,3,0.0028851776835422693,0.0028851776835422693,0.0028851776835422693
410,KEGG_MM_CHOLESTEROL_METABOLISM,3,1.9953205183299106e-05,1.9953205183299106e-05,0.00037303818386167894
424,KEGG_MM_GALACTOSE_METABOLISM,3,0.019264431599071218,0.019264431599071218,0.02348876820680706
434,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,3,3.838067202360371e-09,3.838067202360371e-09,8.794150428143655e-09
435,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,3,0.0009569546262098212,0.0009569546262098212,0.012596647630721117
436,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_AND_ISOGLOBO_SERIES,3,0.009627028363847726,0.009627028363847726,0.018182820775056466
447,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,3,0.01755428133174017,0.01755428133174017,0.03102057933965044
453,KEGG_MM_METABOLIC_PATHWAYS,3,2.4246024148804e-05,2.4246024148804e-05,3.768357970115321e-05
454,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,3,0.017647433747029703,0.017647433747029703,0.04772576422152687
458,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,3,0.00028020344583448286,0.00028020344583448286,0.00029823634086343476
462,KEGG_MM_NUCLEOTIDE_METABOLISM,3,0.005557660052877256,0.005557660052877256,0.007491516685696615
463,KEGG_MM_OTHER_GLYCAN_DEGRADATION,3,3.375027668648579e-05,3.375027668648579e-05,8.42124892177305e-05
467,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,3,7.313294262020258e-06,7.313294262020258e-06,0.00014740858746884584
475,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,3,0.008019350277175865,0.008019350277175865,0.024170471629805762
477,KEGG_MM_PORPHYRIN_METABOLISM,3,0.015639470088104644,0.015639470088104644,0.016509751566002446
481,KEGG_MM_PURINE_METABOLISM,3,0.015507610919772591,0.015507610919772591,0.03643864860930172
485,KEGG_MM_RAP1_SIGNALING_PATHWAY,3,0.0002490512206872685,0.0002490512206872685,0.0016475696137773148
486,KEGG_MM_RAS_SIGNALING_PATHWAY,3,0.00012727449529085618,0.00012727449529085618,0.0042098486903898585
488,KEGG_MM_RIBOFLAVIN_METABOLISM,3,0.03082576815983051,0.03082576815983051,0.03834642326536293
490,KEGG_MM_SPHINGOLIPID_METABOLISM,3,4.160866504171286e-07,4.160866504171286e-07,4.2871547846493284e-07
492,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,3,0.009855891638408271,0.009855891638408271,0.01515387391364323
539,KEGG_MM_CHOLESTEROL_METABOLISM,4,0.01740125216537655,0.01740125216537655,0.01957071952339647
540,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,4,0.0007154022379271315,0.0007154022379271315,0.0015589001468344589
546,KEGG_MM_ETHER_LIPID_METABOLISM,4,5.561036667333167e-06,5.561036667333167e-06,1.0803821236234616e-05
557,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,4,6.20270595606417e-05,6.20270595606417e-05,8.206657111100287e-05
563,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,4,1.5219430665766017e-05,1.5219430665766017e-05,8.610993666157088e-05
582,KEGG_MM_METABOLIC_PATHWAYS,4,0.00144418986092129,0.00144418986092129,0.0024545519375342084
583,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,4,0.015613955265358187,0.015613955265358187,0.04127459486129521
586,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,4,0.013327785412217933,0.013327785412217933,0.019671445288056217
595,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,4,0.004263578503037435,0.004263578503037435,0.010891121324590677
596,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,4,0.0119383105833894,0.0119383105833894,0.01440638040465138
598,KEGG_MM_PARATHYROID_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,4,0.00234065059391751,0.00234065059391751,0.006754897687144492
604,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,4,0.000393139316856863,0.000393139316856863,0.00046655907888256976
614,KEGG_MM_RAP1_SIGNALING_PATHWAY,4,0.0001295382515416828,0.0001295382515416828,0.041776086122192704
615,KEGG_MM_RAS_SIGNALING_PATHWAY,4,8.359148407818245e-05,8.359148407818245e-05,0.0002034585178506705
617,KEGG_MM_RIBOFLAVIN_METABOLISM,4,0.003122492991973971,0.003122492991973971,0.005770796503791436
619,KEGG_MM_SPHINGOLIPID_METABOLISM,4,0.025885405673273573,0.025885405673273573,0.04297577003670902
626,KEGG_MM_TNF_SIGNALING_PATHWAY,4,0.010329610035815591,0.010329610035815591,0.011235410578585256
646,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,5,0.0005135310427863283,0.0005135310427863283,0.0006173858762296025
654,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,5,0.000902248938209854,0.000902248938209854,0.005082537686859003
655,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,5,0.007024737961119434,0.007024737961119434,0.007970019322642102
668,KEGG_MM_CHOLESTEROL_METABOLISM,5,0.009129699356031393,0.009129699356031393,0.018259398712062787
674,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,5,0.00951579844770486,0.00951579844770486,0.018885199996214262
684,KEGG_MM_GLUTATHIONE_METABOLISM,5,0.00016895602734757342,0.00016895602734757342,0.0013707753162161618
699,KEGG_MM_HIF-1_SIGNALING_PATHWAY,5,0.026384660106224738,0.026384660106224738,0.03044383858410547
700,KEGG_MM_HIPPO_SIGNALING_PATHWAY,5,0.00011061015303324836,0.00011061015303324836,0.00031992622738316227
712,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,5,0.007608110139827911,0.007608110139827911,0.008453455710919901
725,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,5,5.793211680815875e-13,5.793211680815875e-13,1.102248240155233e-12
733,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,5,0.006742070373979887,0.006742070373979887,0.007828326536844335
743,KEGG_MM_RAP1_SIGNALING_PATHWAY,5,2.34507668208773e-05,2.34507668208773e-05,2.6191765540200622e-05
744,KEGG_MM_RAS_SIGNALING_PATHWAY,5,6.845403974483362e-05,6.845403974483362e-05,0.00020536211923450088
754,KEGG_MM_TGF-BETA_SIGNALING_PATHWAY,5,1.1285726890977385e-05,1.1285726890977385e-05,2.128448492596612e-05
755,KEGG_MM_TNF_SIGNALING_PATHWAY,5,0.0011697781722018834,0.0011697781722018834,0.0032382271290567156
767,KEGG_MM_VARIOUS_TYPES_OF_N-GLYCAN_BIOSYNTHESIS,5,0.01992445640826096,0.01992445640826096,0.039360717866242935
772,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,5,0.042056067030793974,0.042056067030793974,0.04986427065232006
