,term,variable,value,p,padj
14,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,0,0.00029955916826071853,0.00029955916826071853,0.0003677796450570072
27,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,0,0.00013554814369735367,0.00013554814369735367,0.00030297023207601575
39,KEGG_MM_GLUTATHIONE_METABOLISM,0,0.0034222763204837603,0.0034222763204837603,0.009294182007208529
75,KEGG_MM_NUCLEOTIDE_METABOLISM,0,0.000121796016065899,0.000121796016065899,0.00018074248563271456
95,KEGG_MM_PYRIMIDINE_METABOLISM,0,5.628301628882565e-05,5.628301628882565e-05,0.00021354438533113262
97,KEGG_MM_RNA_DEGRADATION,0,3.235133781456782e-06,3.235133781456782e-06,5.650533471287184e-06
119,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS,0,0.016743944617447406,0.016743944617447406,0.021102277724431275
186,KEGG_MM_IL-17_SIGNALING_PATHWAY,1,0.00041487805367399687,0.00041487805367399687,0.0008153098639121201
199,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,1,0.001161317862977836,0.001161317862977836,0.005153169681911478
200,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,1,0.0014506928334028352,0.0014506928334028352,0.0017883626328501845
204,KEGG_MM_NUCLEOTIDE_METABOLISM,1,0.0027298619387307542,0.0027298619387307542,0.006866477244216911
224,KEGG_MM_PYRIMIDINE_METABOLISM,1,0.0007153181340865039,0.0007153181340865039,0.0011312299038180613
239,KEGG_MM_TNF_SIGNALING_PATHWAY,1,0.006500487609611136,0.006500487609611136,0.013525208090965106
245,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,1,0.0002003027279908773,0.0002003027279908773,0.0002623254001098799
259,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,10,0.0015375891485640669,0.0015375891485640669,0.005180757466990121
282,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,10,0.01607610530515265,0.01607610530515265,0.017468980855057572
318,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,10,6.080880272072463e-07,6.080880272072463e-07,7.992772759361622e-07
328,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,10,0.0001154711681508618,0.0001154711681508618,0.0002054590440201541
338,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,10,0.0016874717027297098,0.0016874717027297098,0.00471031513930426
346,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,10,0.018866252406833484,0.018866252406833484,0.028728880140591294
356,KEGG_MM_RAP1_SIGNALING_PATHWAY,10,0.0006652346015669571,0.0006652346015669571,0.0019535181958210152
441,KEGG_MM_HIF-1_SIGNALING_PATHWAY,11,0.017236419915717907,0.017236419915717907,0.02723444826578
444,KEGG_MM_IL-17_SIGNALING_PATHWAY,11,0.0012775759065586352,0.0012775759065586352,0.01580343895373216
447,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,11,0.0006520001501364904,0.0006520001501364904,0.0017290929091725428
457,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,11,0.0021854184569622113,0.0021854184569622113,0.002480745275470618
458,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,11,0.01061454140318858,0.01061454140318858,0.017651806421877143
467,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,11,0.012958282744279839,0.012958282744279839,0.030041923794825915
475,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,11,0.009575536998442912,0.009575536998442912,0.020202593246714837
527,KEGG_MM_ARGININE_BIOSYNTHESIS,12,0.02364088366595931,0.02364088366595931,0.034376357407989146
573,KEGG_MM_IL-17_SIGNALING_PATHWAY,12,7.082894308221521e-08,7.082894308221521e-08,9.977930671332346e-08
586,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,12,0.0002548382483558785,0.0002548382483558785,0.0003998591455523168
626,KEGG_MM_TNF_SIGNALING_PATHWAY,12,0.007944791939618109,0.007944791939618109,0.010234161371576537
654,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,13,0.011422854812871686,0.011422854812871686,0.04389292721711971
656,KEGG_MM_ARGININE_BIOSYNTHESIS,13,0.0035832441265263035,0.0035832441265263035,0.0043113516938750865
664,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,13,0.00038827665368745617,0.00038827665368745617,0.0006615355061882507
668,KEGG_MM_CHOLESTEROL_METABOLISM,13,0.007778120343870224,0.007778120343870224,0.008482660230090353
699,KEGG_MM_HIF-1_SIGNALING_PATHWAY,13,0.00043747200779960786,0.00043747200779960786,0.006991809257399042
705,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,13,0.005129631821749942,0.005129631821749942,0.010467926632859203
715,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,13,0.006257115433345048,0.006257115433345048,0.03363199545422963
718,KEGG_MM_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,13,0.02633140870647821,0.02633140870647821,0.035917314292975566
743,KEGG_MM_RAP1_SIGNALING_PATHWAY,13,0.002106711123966731,0.002106711123966731,0.022920001746288648
750,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,13,0.01601002916446313,0.01601002916446313,0.037164669242956826
780,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,2,0.0010562171264651735,0.0010562171264651735,0.0014937573456508249
781,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,2,0.004482785059083745,0.004482785059083745,0.005758115090117528
788,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,2,7.761917844377423e-05,7.761917844377423e-05,0.0003688953586038323
789,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,2,8.934559948657166e-05,8.934559948657166e-05,0.00012104887672374225
795,KEGG_MM_CARBON_METABOLISM,2,0.007544167212969303,0.007544167212969303,0.04339097447968969
799,KEGG_MM_CITRATE_CYCLE_(TCA_CYCLE),2,7.755293485160664e-06,7.755293485160664e-06,9.275536446490173e-05
807,KEGG_MM_FATTY_ACID_METABOLISM,2,0.00013332484191750163,0.00013332484191750163,0.00020132497032024075
825,KEGG_MM_GLYCOSYLPHOSPHATIDYLINOSITOL_(GPI)-ANCHOR_BIOSYNTHESIS,2,0.005145440302890987,0.005145440302890987,0.007120816235265228
838,KEGG_MM_LYSINE_DEGRADATION,2,0.004457501560672296,0.004457501560672296,0.00647126030432007
843,KEGG_MM_N-GLYCAN_BIOSYNTHESIS,2,0.0016428638533204911,0.0016428638533204911,0.011324473737010714
852,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,2,0.03626160066891672,0.03626160066891672,0.046086172278721735
857,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,2,0.0031909255178957678,0.0031909255178957678,0.004092905884460055
869,KEGG_MM_PYRIMIDINE_METABOLISM,2,0.00908113394466635,0.00908113394466635,0.01393417833820512
870,KEGG_MM_PYRUVATE_METABOLISM,2,0.01861633264323517,0.01861633264323517,0.04643797894155071
871,KEGG_MM_RNA_DEGRADATION,2,6.698704483841924e-07,6.698704483841924e-07,7.2011073201300685e-06
880,KEGG_MM_STEROID_BIOSYNTHESIS,2,0.03480196465309875,0.03480196465309875,0.0419015654423309
886,KEGG_MM_TERPENOID_BACKBONE_BIOSYNTHESIS,2,1.290800527771484e-05,1.290800527771484e-05,0.0046623715063106004
909,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,3,0.016041509701894656,0.016041509701894656,0.023232531292399154
912,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,3,0.00027691329553288516,0.00027691329553288516,0.004762908683165625
922,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,3,0.006341025952295014,0.006341025952295014,0.01272432541093866
1001,KEGG_MM_RAP1_SIGNALING_PATHWAY,3,0.024747270184483448,0.024747270184483448,0.03005620037200881
1040,KEGG_MM_APELIN_SIGNALING_PATHWAY,4,0.00350269359233149,0.00350269359233149,0.008110082856090604
1099,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,4,0.010359394772450315,0.010359394772450315,0.010582051447423794
1106,KEGG_MM_NITROGEN_METABOLISM,4,0.0371122253435278,0.0371122253435278,0.03765431402832091
1143,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,4,0.007002935135451337,0.007002935135451337,0.007488040766503916
1147,KEGG_MM_THYROID_HORMONE_SYNTHESIS,4,0.0451253793261459,0.0451253793261459,0.048337150096690096
1159,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,4,0.013615682780339335,0.013615682780339335,0.014706891806993324
1161,KEGG_MM_2-OXOCARBOXYLIC_ACID_METABOLISM,5,0.0090301809359656,0.0090301809359656,0.010521617271196049
1163,KEGG_MM_AMPK_SIGNALING_PATHWAY,5,0.005347550746150201,0.005347550746150201,0.005745197291818716
1164,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,5,0.006984706637153043,0.006984706637153043,0.007993903793851962
1168,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,5,0.029271216603513464,0.029271216603513464,0.03231284669067562
1174,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,5,0.011656458101743579,0.011656458101743579,0.012891343130281018
1175,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,5,0.02581473316776355,0.02581473316776355,0.029011454947716845
1177,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,5,0.001534266380777372,0.001534266380777372,0.0017328862311969566
1179,KEGG_MM_BUTANOATE_METABOLISM,5,0.021159861002055726,0.021159861002055726,0.023721110471578297
1183,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,5,0.0021036947925333186,0.0021036947925333186,0.0023495811968553947
1186,KEGG_MM_CITRATE_CYCLE_(TCA_CYCLE),5,0.0027955456914506016,0.0027955456914506016,0.0031165157523208556
1192,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,5,0.023342457309454452,0.023342457309454452,0.025736555495039524
1194,KEGG_MM_FATTY_ACID_METABOLISM,5,1.4860294342390325e-05,1.4860294342390325e-05,1.6975136990738095e-05
1196,KEGG_MM_FOXO_SIGNALING_PATHWAY,5,0.00013603673845210613,0.00013603673845210613,0.00015520047355938323
1202,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,5,0.005570467608015925,0.005570467608015925,0.0061193822993167645
1224,KEGG_MM_LONGEVITY_REGULATING_PATHWAY,5,0.026038762923262824,0.026038762923262824,0.026979923028922926
1225,KEGG_MM_LYSINE_DEGRADATION,5,0.010347200944076507,0.010347200944076507,0.010727350691734886
