,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
CLEC2H,57.0712950885444,5.30604464139331,0.703391315791792,7.54351741664654,4.57461708419392e-14,1.9935699714276698e-11
MUP-PS14,12.8752578713484,4.73442338163021,1.04858001144348,4.51508070911327,6.32926563243836e-06,0.0006093758074022
MUP17,8791.99863109395,4.41937776623792,0.415983235261969,10.6239323886569,2.3063597041829e-26,2.72809405009063e-23
MUP1,1982.60466176039,3.73470543704496,0.428377945834806,8.71824862451055,2.82538005369584e-18,2.12674062223651e-15
MUP-PS12,19.9583071909067,3.70272305386722,0.847664813722886,4.36814527856254,1.2530613313277e-05,0.0010213185774204
MUP15,7184.93866455183,3.52140583720267,0.545955787338936,6.44998353138902,1.11862306436106e-10,3.2498943764595e-08
MUP9,219.941658492784,3.51742869722266,0.513573915415316,6.84892396526446,7.44075290126615e-12,2.46437736089935e-09
GM10319,313.345302559491,3.21449511462049,0.401542625685459,8.00536458397943,1.19113242342953e-15,6.80177687310106e-13
CDH15,8.61470922751291,3.10929361189849,0.999988023164108,3.10933085184384,0.0018751161598778,0.0480679932005845
MUP2,1341.20994174594,3.10015763773667,0.419028417581562,7.39844246275548,1.37791071336479e-13,5.4329050984097494e-11
OBP2A,81.2223534552586,3.08450628358055,0.424747030596132,7.2619843374807,3.8145237820723996e-13,1.4356480416163401e-10
GM2546,13.236809499065,3.00683560211974,0.821353529328471,3.66082995294133,0.0002513995745878,0.0110908830052569
MUP19,2602.70728253118,3.0063772255341,0.364954392579701,8.23767924611989,1.75583151088758e-16,1.16306279281193e-13
GM45769,178.633145965731,2.7945492480037,0.303568356549343,9.20566715111316,3.39555274664609e-20,2.67763588021235e-17
MUP7,90419.5987987535,2.78032948667436,0.447732307405888,6.20980313612676,5.30510190343054e-10,1.37269511751265e-07
A2ML1,89.8931199562243,2.58998433265937,0.328071065698801,7.89458322739504,2.9128696392660103e-15,1.60790404087484e-12
MUP13,447.643960802671,2.54760673314709,0.296011231948364,8.60645292537918,7.53560750673571e-18,5.42563740484971e-15
UNC80,32.918141016963,2.5154219775366,0.764656752795085,3.28960931599945,0.0010032657702981,0.0303286069544591
MUP18,1370.5258686474,2.47017440264244,0.409067153785874,6.03855474530584,1.5550067202554301e-09,3.90165322536816e-07
GPR37L1,28.1638800250644,2.4130249145833,0.758239697266775,3.18240382728777,0.0014605801387993,0.039318090405472
SLC24A2,22.2014482041525,2.35922781739439,0.733864943089042,3.21479836257574,0.0013053617999119,0.036330741859733
MUP8,583.073742078874,2.25824531749399,0.433526978237598,5.20900758396711,1.89853354230471e-07,2.85815595096055e-05
MUP16,1393.70839828476,2.2300307704132,0.381196136116083,5.85008755108184,4.91314328752227e-09,1.13002295613012e-06
