"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",2436.48506524745,0.29446101349884,0.227633813878171,1.29357325470299,0.195812865638341,0.542581210449827
"0610009B22Rik",343.251733089777,-0.109040171351632,0.202756282816394,-0.537789358914086,0.59072247918857,0.831176119140281
"0610009E02Rik",6.55242271991921,0.912094589117209,0.780420817336529,1.16872150108715,0.242515856292669,NA
"0610009L18Rik",5.61452724258685,0.0455809499083658,0.899061319137435,0.0506983772275916,0.959565869772895,NA
"0610010F05Rik",250.942425764839,-0.340923219366431,0.379775708784977,-0.897696223007924,0.369347523635531,0.696019783638182
"0610010K14Rik",22.4085589151594,0.0448807649528799,0.555149505619304,0.0808444653171628,0.935565645568053,0.97926069554397
"0610012G03Rik",763.997130279563,-0.0113576638551076,0.222940587265776,-0.0509448010091033,0.959369505794295,0.985966057952302
"0610030E20Rik",617.618328636283,0.632126049012562,0.225925799014294,2.79793654275211,0.00514302157944196,0.0999019848838938
"0610031O16Rik",495.165549594417,0.127631100407884,0.242123317144933,0.52713262775714,0.598101490258899,0.835128730944213
"0610039K10Rik",3.34137994986594,-0.446892521346355,1.51732796896684,-0.294525989427749,0.768356006951152,NA
"0610040B10Rik",25.9545334125601,0.897668520194569,0.500963600873421,1.79188371895583,0.0731515944773239,0.366192536314208
"0610040J01Rik",516.948628250779,-0.207996768377029,0.265397691765304,-0.783717322458721,0.433205995885222,0.740629908204131
"0610043K17Rik",27.2756328194531,0.0433922005943674,0.443818512367368,0.0977701456455917,0.922114814101031,0.974452256910376
"1010001B22Rik",6.46374349485001,1.5082014118658,0.91305410010443,1.65182042520076,0.0985711636074103,NA
"1010001N08Rik",45.4940879283978,-0.166773486998852,0.382632455856069,-0.435858183085195,0.662939626567127,0.867246082226947
"1110002E22Rik",13.3778533851227,-0.824583742487625,0.834774356103573,-0.987792373422305,0.323254343425102,0.6591989622307
"1110002J07Rik",7.29046111337217,0.899482461928062,0.745818448774134,1.20603407358252,0.227804352644564,0.574739923638182
"1110002L01Rik",31.0287175485773,-0.410457774886786,0.467432540760264,-0.878111254768847,0.379883345802306,0.703808932249333
"1110003F10Rik",6.26697474560656,2.03117016399186,1.07196604522059,1.89480830390843,0.0581178026832389,NA
"1110004F10Rik",806.89399655736,-0.23017847034418,0.302131080806472,-0.761849690305842,0.446149719494437,0.749301378130075
"1110006O24Rik",12.797955488372,-0.115697076391109,0.745789411361134,-0.155133707489828,0.876715909121073,0.958117351231266
"1110008P14Rik",270.276180834568,-0.263822428346303,0.274069076107325,-0.962612900708982,0.33574182101181,0.669805595305423
"1110013H19Rik",13.7657456211064,-0.129890053162392,0.562085249588484,-0.231086037673979,0.817247961910933,0.933665011126175
"1110018N20Rik",11.2260851438206,0.960482622806932,0.737789557288204,1.30183819128215,0.192971705181309,0.539790869345539
"1110019D14Rik",29.8360957629244,-0.197736092327224,0.473865157676949,-0.417283459490026,0.67647108548385,0.872916332239405
"1110020A21Rik",35.7605509343597,0.654432778692835,0.538146163343693,1.21608741875369,0.223951622678533,0.571195260263661
"1110025M09Rik",16.9412690158994,0.0275531742754661,0.645061009370794,0.042714059407097,0.965929472012627,0.988144481789136
"1110028F11Rik",18.8291158291307,0.928154684028716,0.563652177486728,1.64667985169022,0.0996238677029673,0.416370598256959
"1110032A03Rik",424.964499218712,-0.202125905448671,0.236250991720175,-0.855555796726884,0.392243529017885,0.713289755202407
"1110035H17Rik",4.40601860790622,0.227096499217651,1.36496666608568,0.166375124653334,0.867861748762463,NA
"1110038B12Rik",178.186402373503,0.93561779162895,0.253190352352317,3.69531375479515,0.000219615417213775,0.0151414847649934
"1110038F14Rik",170.929152274645,0.266794507829614,0.303440633477401,0.879231317085568,0.379275867399434,0.70378197647209
"1110046J04Rik",3.36832154522411,1.43267926518047,1.1665536686262,1.22812974980197,0.21939826476633,NA
"1110051M20Rik",36.4541286066314,0.370524414434019,0.359464917358432,1.03076655479166,0.302650305710614,0.642173992727484
"1110059E24Rik",287.850771212219,-0.396287074588085,0.285140355323938,-1.38979652367297,0.164590674040746,0.510743049593543
"1110059G10Rik",182.260984753801,0.034890530925847,0.223945819347998,0.15579898310863,0.876191472199726,0.958117351231266
"1110065P20Rik",257.508797559298,-0.833925916464475,0.310353098940923,-2.68702300479757,0.007209198740977,0.120151522337419
