"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"0610005C13Rik",2857.18376478563,-0.0303183173001951,0.0229760008615948,-1.31956459624239,0.186980429795345,0.673280161557417
"0610009B22Rik",402.24420069849,0.00403541021092555,0.0165790479225036,0.243404218974967,0.807692275806593,0.973079271353873
"0610009E02Rik",6.05600519521099,-0.0729325652018812,0.0610844931049874,-1.19396202693424,0.232492822368766,0.722886359160494
"0610009L18Rik",13.4076636572976,0.108278429385142,0.0506579005865539,2.13744407350907,0.0325618899267968,0.342770383950684
"0610010F05Rik",284.469895645021,0.0170539479261558,0.0220793262066033,0.772394400380545,0.439880869373681,0.859831308100097
"0610010K14Rik",24.684284317935,-0.0135946581791205,0.0436642546125441,-0.311345247955175,0.755538172491013,0.959542666067265
"0610012D04Rik",2.08383330906528,-0.0383080954424418,0.115757563060888,-0.330933845093922,0.740694456317775,NA
"0610012G03Rik",937.65234568477,0.00932642071205491,0.026771106422454,0.34837636386341,0.72755755097534,0.953373530265785
"0610025J13Rik",1.20452540618477,0.303607277503799,0.178090765042123,1.7047895629624,0.0882336787630771,NA
"0610030E20Rik",721.106925601697,-0.0380551382322466,0.0167231491651407,-2.27559641168377,0.0228701763052992,0.290619974943621
"0610031O16Rik",509.239552423836,-0.0571017975751981,0.0325805351808796,-1.7526353467855,0.0796646199332964,0.491973768209614
"0610038B21Rik",2.09133885155518,0.199008907484359,0.131278459800702,1.51592963374556,0.129537146165571,NA
"0610039K10Rik",5.42620618136455,-0.152775141081478,0.0855577826856303,-1.7856369845725,0.0741580545081885,0.481154141344534
"0610040B10Rik",28.6259817920385,-0.0498179339806827,0.0368070757767618,-1.35348796201124,0.175899793225358,0.659882743447897
"0610040F04Rik",2.07860763983172,-0.391646589713519,0.146979613505004,-2.6646320559292,0.00770725992270705,NA
"0610040J01Rik",546.775387539866,0.0270078119095454,0.022915021888733,1.17860729266093,0.238554586383737,0.726020336660876
"0610043K17Rik",32.0038191592393,-0.139709905776274,0.0387304657650729,-3.60723536411132,0.00030947691490099,0.0263395864995711
"1010001B22Rik",8.27020273891523,0.00610650854279798,0.0688682114580022,0.0886694806430672,0.929344587888921,0.988416720889217
"1010001N08Rik",57.7780104378051,-0.00510561286953404,0.0308461458572505,-0.165518664573582,0.868535760240043,0.982264246337145
"1110002E22Rik",17.7540779204458,0.0553558430115319,0.0543886836197662,1.0177823644074,0.308781394810116,0.77979100605295
"1110002J07Rik",14.4698419979969,0.0149737072362389,0.0565302830901189,0.264879395922505,0.791102371251502,0.96810507366149
"1110002L01Rik",38.2911147101276,0.00135438328317862,0.0378986773404663,0.035736953852278,0.971492104447754,0.996390282102421
