,term,p,padj,q
0,Fatty acid oxidation,0.25691188168862894,,0.0
1,Tyrosine metabolism,0.0394454164333001,,0.0
2,Steroid metabolism,0.18764871889024176,,0.0
3,Chondroitin synthesis,,,
4,Pyrimidine catabolism,,,
5,Purine catabolism,,,
6,Oxidative phosphorylation,,,
7,Vitamin B2 metabolism,,,
8,CoA catabolism,,,
9,Nucleotide interconversion,0.6214015048900126,,0.0
10,Tryptophan metabolism,0.04642305377061017,,0.0
11,Folate metabolism,0.10312466207015332,,0.0
12,Pyruvate metabolism,0.264235052412576,,0.0
13,Aminosugar metabolism,0.024950562058906573,,0.0
14,Eicosanoid metabolism,0.17140399157591038,,0.0
15,Starch and sucrose metabolism,0.008124285119980418,,0.0
16,Pentose phosphate pathway,0.10312466207015332,,0.0
17,Triacylglycerol synthesis,0.18764871889024176,,0.0
18,Glyoxylate and dicarboxylate metabolism,0.2268859729190056,,0.0
19,Glutamate metabolism,0.10312466207015332,,0.0
20,Histidine metabolism,0.18764871889024176,,0.0
21,Glutathione metabolism,0.12070265050301485,,0.0
22,Nucleotide salvage pathway,0.019590926521063454,,0.0
23,Vitamin C metabolism,0.12070265050301485,,0.0
24,Vitamin B6 metabolism,0.019590926521063454,,0.0
