,term,p,padj,q
0,KEGG_MM_AMPK_SIGNALING_PATHWAY,,,
1,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.4102130537973303,,0.2333462329504335
2,KEGG_MM_ALDOSTERONE_SYNTHESIS_AND_SECRETION,,,
3,KEGG_MM_APELIN_SIGNALING_PATHWAY,0.5286513762772007,,0.2574600858492861
4,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,0.06655373443795036,,0.08643342134798748
5,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,,,
6,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,0.000204174289064865,,0.0006187099668632273
7,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.5075686444527396,,0.2516869311335899
8,KEGG_MM_BUTANOATE_METABOLISM,,,
9,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,1.597042473409711e-05,,7.259283970044142e-05
10,KEGG_MM_CARBON_METABOLISM,0.40154499792510373,,0.2333462329504335
11,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,0.7420806913489235,,0.2792311924646823
12,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,,,
13,KEGG_MM_CORTISOL_SYNTHESIS_AND_SECRETION,,,
14,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,,,
15,KEGG_MM_ETHER_LIPID_METABOLISM,,,
16,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,,,
17,KEGG_MM_FATTY_ACID_DEGRADATION,,,
18,KEGG_MM_FATTY_ACID_METABOLISM,0.7137094613287426,,0.2780686212969128
19,KEGG_MM_FOXO_SIGNALING_PATHWAY,0.9279170664134189,,0.3163353635500292
20,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,,,
21,KEGG_MM_GLUCAGON_SIGNALING_PATHWAY,0.8650154752702316,,0.30245296338119987
22,KEGG_MM_GLUTATHIONE_METABOLISM,2.889326290855572e-14,,7.879980793242471e-13
23,KEGG_MM_GLYCEROLIPID_METABOLISM,0.7015072479938489,,0.2780686212969128
24,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,0.856281833267626,,0.30245296338119987
25,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,,,
26,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,0.7137094613287426,,0.2780686212969128
27,KEGG_MM_GROWTH_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.6932971152066945,,0.2780686212969128
28,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.1635285404429959,,0.15378859602789585
29,KEGG_MM_HIPPO_SIGNALING_PATHWAY,,,
30,KEGG_MM_IL-17_SIGNALING_PATHWAY,4.381955727309971e-05,,0.00017072554781727162
31,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,,,
32,KEGG_MM_INSULIN_SIGNALING_PATHWAY,,,
33,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,0.3033843418167095,,0.21317399230228676
34,KEGG_MM_LINOLEIC_ACID_METABOLISM,0.5918310734190757,,0.2597538415744197
35,KEGG_MM_LONGEVITY_REGULATING_PATHWAY,0.8370863304966201,,0.30038983151792586
36,KEGG_MM_METABOLIC_PATHWAYS,0.0001184910460699395,,0.0004039467479657029
37,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,4.640804565886572e-13,,6.328369862572598e-12
38,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,0.4534695127003423,,0.2333462329504335
39,KEGG_MM_N-GLYCAN_BIOSYNTHESIS,,,
40,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,2.0916229287716016e-08,,1.426106542344274e-07
41,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,1.9730423238497298e-08,,1.426106542344274e-07
