,term,p,padj,q
0,KEGG_MM_AMPK_SIGNALING_PATHWAY,0.7046644311943916,,0.0
1,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.4901091807067099,,0.0
2,KEGG_MM_APELIN_SIGNALING_PATHWAY,,,
3,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.2857760170107078,,0.0
4,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,0.0929083465394827,,0.0
5,KEGG_MM_FATTY_ACID_DEGRADATION,0.08106121679960915,,0.0
6,KEGG_MM_FOXO_SIGNALING_PATHWAY,,,
7,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,,,
8,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,,,
9,KEGG_MM_GROWTH_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.6833875857388706,,0.0
10,KEGG_MM_HIPPO_SIGNALING_PATHWAY,,,
11,KEGG_MM_INSULIN_SIGNALING_PATHWAY,,,
12,KEGG_MM_LINOLEIC_ACID_METABOLISM,0.34670177075150455,,0.0
13,KEGG_MM_LONGEVITY_REGULATING_PATHWAY,,,
14,KEGG_MM_METABOLIC_PATHWAYS,7.35134239931939e-12,,0.0
15,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,4.524231292651964e-18,,0.0
16,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,0.0032687085595768184,,0.0
17,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,,,
18,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,0.29221985883457524,,0.0
19,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,,,
20,KEGG_MM_RETINOL_METABOLISM,0.0001959685388500794,,0.0
21,KEGG_MM_SPHINGOLIPID_METABOLISM,0.08991455443400616,,0.0
22,KEGG_MM_SPHINGOLIPID_SIGNALING_PATHWAY,0.11519128294066137,,0.0
23,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,0.00615706358040969,,0.0
24,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,0.16316069138257858,,0.0
25,KEGG_MM_TYROSINE_METABOLISM,0.053813980728740635,,0.0
26,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,0.22468926119489036,,0.0
27,KEGG_MM_MTOR_SIGNALING_PATHWAY,,,
28,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,0.07618151711069192,,0.0
29,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.012447069701900385,,0.0
30,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,0.00615706358040969,,0.0
31,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,0.030839238664370185,,0.0
32,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,0.000577429172338609,,0.0
33,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,0.005722076114688858,,0.0
34,KEGG_MM_CAFFEINE_METABOLISM,0.04826275701004016,,0.0
35,KEGG_MM_CARBON_METABOLISM,0.29851002752869543,,0.0
36,KEGG_MM_CHOLESTEROL_METABOLISM,0.38441402516883655,,0.0
37,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,0.39048507915584924,,0.0
38,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,0.6987350262311354,,0.0
39,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,0.14642822569663289,,0.0
40,KEGG_MM_FATTY_ACID_METABOLISM,0.1179968618849981,,0.0
41,KEGG_MM_FOLATE_BIOSYNTHESIS,0.021313562053714746,,0.0
42,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,0.04172346805495929,,0.0
43,KEGG_MM_GALACTOSE_METABOLISM,0.24951610883643205,,0.0
44,KEGG_MM_GLUTATHIONE_METABOLISM,1.4597836534401387e-16,,0.0
45,KEGG_MM_GLYCEROLIPID_METABOLISM,0.019547264216034678,,0.0
46,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,0.448009683138337,,0.0
47,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.08159725200372854,,0.0
48,KEGG_MM_HISTIDINE_METABOLISM,0.20357618130285562,,0.0
49,KEGG_MM_IL-17_SIGNALING_PATHWAY,0.0012389737297128715,,0.0
50,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,0.7378774384279945,,0.0
51,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,0.44553645969430045,,0.0
52,KEGG_MM_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,0.3269913854593029,,0.0
53,KEGG_MM_NITROGEN_METABOLISM,0.14642822569663289,,0.0
54,KEGG_MM_NUCLEOTIDE_METABOLISM,0.04592012959048497,,0.0
55,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,0.18425857422060885,,0.0
56,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,0.4022170756305996,,0.0
57,KEGG_MM_PARATHYROID_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.6361454701447646,,0.0
58,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.00413561627366161,,0.0
59,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,0.23450388200968417,,0.0
60,KEGG_MM_PHENYLALANINE_METABOLISM,0.17956640387187253,,0.0
61,KEGG_MM_PORPHYRIN_METABOLISM,0.00712042585435508,,0.0
62,KEGG_MM_PURINE_METABOLISM,0.363160835022412,,0.0
63,KEGG_MM_PYRIMIDINE_METABOLISM,0.09903685786883944,,0.0
64,KEGG_MM_RIBOFLAVIN_METABOLISM,0.07609925400958538,,0.0
65,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,0.23450388200968417,,0.0
66,KEGG_MM_TNF_SIGNALING_PATHWAY,0.004525891895103114,,0.0
67,KEGG_MM_THYROID_HORMONE_SIGNALING_PATHWAY,0.6926870500056128,,0.0
68,KEGG_MM_THYROID_HORMONE_SYNTHESIS,0.15475366023905454,,0.0
69,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,0.00996595642060678,,0.0
70,KEGG_MM_TRYPTOPHAN_METABOLISM,0.07817404267793011,,0.0
71,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS,0.005006687524913524,,0.0
72,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.41995728550746825,,0.0
