,term,p,padj,q
0,KEGG_MM_2-OXOCARBOXYLIC_ACID_METABOLISM,1.0,1.0,1.0
1,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,0.12239997846996142,0.701018058509779,0.701018058509779
2,KEGG_MM_AMPK_SIGNALING_PATHWAY,0.42871817728760603,1.0,1.0
3,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,1.0,1.0,1.0
4,KEGG_MM_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,1.0,1.0,1.0
5,KEGG_MM_ALDOSTERONE_SYNTHESIS_AND_SECRETION,0.9173503267917053,1.0,1.0
6,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,0.14293691280699827,0.7204020405472713,0.7204020405472713
7,KEGG_MM_AMINOACYL-TRNA_BIOSYNTHESIS,1.0,1.0,1.0
8,KEGG_MM_APELIN_SIGNALING_PATHWAY,0.010071807088055771,0.12690476930950273,0.12690476930950273
9,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,0.007099261984916974,0.11181337626244235,0.11181337626244235
10,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,1.0,1.0,1.0
11,KEGG_MM_ARGININE_BIOSYNTHESIS,1.0,1.0,1.0
12,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,0.514949793684256,1.0,1.0
13,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,1.0,1.0,1.0
14,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,0.09444317625608685,0.6263073793824707,0.6263073793824706
15,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,0.0877653736633959,0.6143576156437713,0.6143576156437712
16,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,1.0,1.0,1.0
17,KEGG_MM_BIOTIN_METABOLISM,1.0,1.0,1.0
18,KEGG_MM_BUTANOATE_METABOLISM,1.0,1.0,1.0
19,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,0.0013351626599752118,0.02803841585947945,0.028038415859479447
20,KEGG_MM_CAFFEINE_METABOLISM,0.13464803750333446,0.7069021968925059,0.7069021968925059
21,KEGG_MM_CARBON_METABOLISM,0.7963102762363009,1.0,1.0
22,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,0.5311322672445438,1.0,1.0
23,KEGG_MM_CHOLESTEROL_METABOLISM,0.16338032345211445,0.7917661828833239,0.7917661828833238
24,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,0.725432100127458,1.0,1.0
25,KEGG_MM_CITRATE_CYCLE_(TCA_CYCLE),1.0,1.0,1.0
26,KEGG_MM_CORTISOL_SYNTHESIS_AND_SECRETION,0.818972672791965,1.0,1.0
27,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,0.7282956634009945,1.0,1.0
28,KEGG_MM_D-AMINO_ACID_METABOLISM,1.0,1.0,1.0
29,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,0.34467694664859855,1.0,1.0
30,KEGG_MM_ETHER_LIPID_METABOLISM,0.6369410257733009,1.0,1.0
31,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,1.0,1.0,1.0
32,KEGG_MM_FATTY_ACID_DEGRADATION,1.0,1.0,1.0
33,KEGG_MM_FATTY_ACID_METABOLISM,1.0,1.0,1.0
34,KEGG_MM_FOLATE_BIOSYNTHESIS,0.11002668158918821,0.6710833754355803,0.6710833754355803
35,KEGG_MM_FOXO_SIGNALING_PATHWAY,0.8570873938272331,1.0,1.0
36,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,0.2314505095984033,0.911336381543713,0.911336381543713
37,KEGG_MM_GALACTOSE_METABOLISM,0.5422477650171279,1.0,1.0
38,KEGG_MM_GLUCAGON_SIGNALING_PATHWAY,1.0,1.0,1.0
39,KEGG_MM_GLUTATHIONE_METABOLISM,1.8883095894389149e-10,2.3792700826930328e-08,2.3792700826930328e-08
40,KEGG_MM_GLYCEROLIPID_METABOLISM,0.7716852074767631,1.0,1.0
41,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,0.6695967427925699,1.0,1.0
42,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,1.0,1.0,1.0
43,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,0.4862611013385198,1.0,1.0
44,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE_DERMATAN_SULFATE,1.0,1.0,1.0
45,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,1.0,1.0,1.0
46,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE,1.0,1.0,1.0
47,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,1.0,1.0,1.0
48,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,1.0,1.0,1.0
49,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_AND_ISOGLOBO_SERIES,1.0,1.0,1.0
50,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,1.0,1.0,1.0
51,KEGG_MM_GLYCOSYLPHOSPHATIDYLINOSITOL_(GPI)-ANCHOR_BIOSYNTHESIS,1.0,1.0,1.0
52,KEGG_MM_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,1.0,1.0,1.0
53,KEGG_MM_GROWTH_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.5726340334254612,1.0,1.0
54,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.7528645601064697,1.0,1.0
55,KEGG_MM_HIPPO_SIGNALING_PATHWAY,0.905362360679067,1.0,1.0
56,KEGG_MM_HISTIDINE_METABOLISM,0.4229169548041744,1.0,1.0
57,KEGG_MM_IL-17_SIGNALING_PATHWAY,0.009669688808116257,0.12690476930950273,0.12690476930950273
58,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,0.5732589757740595,1.0,1.0
59,KEGG_MM_INSULIN_SIGNALING_PATHWAY,0.8752528919098724,1.0,1.0
60,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,0.0364066455193448,0.3822697779531204,0.3822697779531204
61,KEGG_MM_LINOLEIC_ACID_METABOLISM,0.6152799998072351,1.0,1.0
62,KEGG_MM_LIPOIC_ACID_METABOLISM,1.0,1.0,1.0
63,KEGG_MM_LONGEVITY_REGULATING_PATHWAY,0.7016708627048123,1.0,1.0
64,KEGG_MM_LYSINE_DEGRADATION,1.0,1.0,1.0
65,KEGG_MM_MANNOSE_TYPE_O-GLYCAN_BIOSYNTHESIS,1.0,1.0,1.0
66,KEGG_MM_METABOLIC_PATHWAYS,0.11184722923926338,0.6710833754355803,0.6710833754355803
67,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,2.989748947292089e-08,1.883541836794016e-06,1.8835418367940159e-06
68,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,0.514949793684256,1.0,1.0
69,KEGG_MM_N-GLYCAN_BIOSYNTHESIS,1.0,1.0,1.0
70,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,0.22401757012423507,0.9105230269565684,0.9105230269565683
71,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,3.28631432519896e-06,0.00013802520165835634,0.00013802520165835634
72,KEGG_MM_NEOMYCIN_KANAMYCIN_AND_GENTAMICIN_BIOSYNTHESIS,0.13464803750333446,0.7069021968925059,0.7069021968925059
73,KEGG_MM_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,1.0,1.0,1.0
74,KEGG_MM_NITROGEN_METABOLISM,0.33304712190876484,1.0,1.0
75,KEGG_MM_NUCLEOTIDE_METABOLISM,0.34555548266115377,1.0,1.0
76,KEGG_MM_OTHER_GLYCAN_DEGRADATION,1.0,1.0,1.0
77,KEGG_MM_OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS,0.6573847066386296,1.0,1.0
78,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,0.8570873938272331,1.0,1.0
79,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,0.329694973842917,1.0,1.0
80,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,0.017595597259028675,0.20154956860341938,0.20154956860341935
81,KEGG_MM_PANTOTHENATE_AND_COA_BIOSYNTHESIS,1.0,1.0,1.0
82,KEGG_MM_PARATHYROID_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.453129901632586,1.0,1.0
83,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,0.8364388508999012,1.0,1.0
84,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.22086379465762912,0.9105230269565684,0.9105230269565683
85,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,0.48602727424471825,1.0,1.0
86,KEGG_MM_PHENYLALANINE_METABOLISM,0.31346230069767783,1.0,1.0
87,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,0.07618091600503434,0.5999247135396454,0.5999247135396454
88,KEGG_MM_PHOSPHONATE_AND_PHOSPHINATE_METABOLISM,1.0,1.0,1.0
89,KEGG_MM_PORPHYRIN_METABOLISM,0.6369410257733009,1.0,1.0
90,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS,1.0,1.0,1.0
91,KEGG_MM_PROLACTIN_SIGNALING_PATHWAY,0.24423970592764913,0.9325516044510239,0.9325516044510239
92,KEGG_MM_PROPANOATE_METABOLISM,1.0,1.0,1.0
93,KEGG_MM_PURINE_METABOLISM,0.6107622948669699,1.0,1.0
94,KEGG_MM_PYRIMIDINE_METABOLISM,0.3991847852999148,1.0,1.0
