,term,p,padj,q
0,13DAMPPOX,1.0,1.0,1.0
1,2OXOADOXm,1.0,1.0,1.0
2,34DHOXPEGOX,1.0,1.0,1.0
3,34DHPHAMT,1.0,1.0,1.0
4,34DHPLACOX,0.0831088208805639,1.0,1.0
5,34DHPLACOX_NADP_,0.05620159732816847,1.0,1.0
6,34DHXMANDACOX,0.05620159732816847,1.0,1.0
7,34DHXMANDACOX_NADP_,0.05620159732816847,1.0,1.0
8,34HPPOR,1.0,1.0,1.0
9,3AIBTm,1.0,1.0,1.0
10,3DSPHR,1.0,1.0,1.0
11,3HAO,1.0,1.0,1.0
12,3HBCDm,1.0,1.0,1.0
13,3HKYNAKGAT,1.0,1.0,1.0
14,3HLYTCL,1.0,1.0,1.0
15,3HPCOAHYD,1.0,1.0,1.0
16,3M4HDXPAC,0.0831088208805639,1.0,1.0
17,3MOX4HOXPGALDOX,0.0831088208805639,1.0,1.0
18,3MOX4HOXPGALDOX_NADP_,0.0831088208805639,1.0,1.0
19,3NTD7l,1.0,1.0,1.0
20,3SALACBOXL,1.0,1.0,1.0
21,3SALATAi,1.0,1.0,1.0
22,3SALATAim,1.0,1.0,1.0
23,4HGLSDm,1.0,1.0,1.0
24,4HOXPACDOX_NADP_,0.0831088208805639,1.0,1.0
25,4NPHSULT,1.0,1.0,1.0
26,5ADTSTSTERONESULT,1.0,1.0,1.0
27,5HLTDL,1.0,1.0,1.0
28,5HOXINDACTO2OX,1.0,1.0,1.0
29,5HOXINDACTOXm,1.0,1.0,1.0
30,5HXKYNDCL,1.0,1.0,1.0
31,A4GALTc,1.0,1.0,1.0
32,A4GALTg,1.0,1.0,1.0
33,AACOAT,1.0,1.0,1.0
34,AACTOOR,1.0,1.0,1.0
35,AATAi,1.0,1.0,1.0
36,ABTArm,1.0,1.0,1.0
37,ABUTD,1.0,1.0,1.0
38,ACACT10m,1.0,1.0,1.0
39,ACACT1x,1.0,1.0,1.0
40,ACACT4p,1.0,1.0,1.0
41,ACACT5p,1.0,1.0,1.0
42,ACACT6p,1.0,1.0,1.0
43,ACACT7p,1.0,1.0,1.0
44,ACACT8p,1.0,1.0,1.0
45,ACACT9p,1.0,1.0,1.0
46,ACCOACm,1.0,1.0,1.0
47,ACCOAL,1.0,1.0,1.0
48,ACCOALm,1.0,1.0,1.0
49,ACGAM6PSi,1.0,1.0,1.0
50,ACGAMK,0.028506334740571043,1.0,1.0
51,ACGAMPM,1.0,1.0,1.0
52,ACGPID,1.0,1.0,1.0
53,ACGSm,1.0,1.0,1.0
54,ACHEe,1.0,1.0,1.0
55,ACNAM9PL,1.0,1.0,1.0
56,ACNAM9PL2,1.0,1.0,1.0
57,ACNAMPH,1.0,1.0,1.0
58,ACOAD10m,1.0,1.0,1.0
59,ACOAD1fm,1.0,1.0,1.0
60,ACOAD8m,1.0,1.0,1.0
61,ACOAD9m,1.0,1.0,1.0
62,ACOAO7p,1.0,1.0,1.0
63,ACOATA,1.0,1.0,1.0
64,ACODA,1.0,1.0,1.0
65,ACOX22x,1.0,1.0,1.0
66,ACOX2x,1.0,1.0,1.0
67,ACP1_FMN_,1.0,1.0,1.0
68,ACS,1.0,1.0,1.0
69,ACS2,1.0,1.0,1.0
70,ACSm,1.0,1.0,1.0
71,ACYP,1.0,1.0,1.0
72,ADA,1.0,1.0,1.0
73,ADAe,1.0,1.0,1.0
74,ADK1m,1.0,1.0,1.0
75,ADKd,1.0,1.0,1.0
76,ADMDC,1.0,1.0,1.0
77,ADNCYC,0.2511965205465918,1.0,1.0
78,ADPGLC,1.0,1.0,1.0
79,ADPMAN,1.0,1.0,1.0
80,ADPRDP,1.0,1.0,1.0
81,ADPRDPm,1.0,1.0,1.0
82,ADPT,0.028506334740571043,1.0,1.0
83,ADRNCPT1,1.0,1.0,1.0
84,ADSELK,1.0,1.0,1.0
85,ADSK,1.0,1.0,1.0
86,ADSL1,1.0,1.0,1.0
87,ADSL2,1.0,1.0,1.0
88,ADSS,1.0,1.0,1.0
89,AGDC,1.0,1.0,1.0
90,AGMTm,1.0,1.0,1.0
91,AGPAT1,1.0,1.0,1.0
92,AGPRim,1.0,1.0,1.0
93,AGPSx,1.0,1.0,1.0
94,AGTim,1.0,1.0,1.0
95,AGTix,1.0,1.0,1.0
96,AHC,1.0,1.0,1.0
97,AHEXASE2ly,1.0,1.0,1.0
98,AHEXASEly,1.0,1.0,1.0
99,AICART,1.0,1.0,1.0
100,AKR1C1,1.0,1.0,1.0
101,AKR1C41,1.0,1.0,1.0
102,AKR1C42,1.0,1.0,1.0
103,AKR1D,1.0,1.0,1.0
104,AKR1D2,1.0,1.0,1.0
105,ALASm,1.0,1.0,1.0
106,ALATA_L,1.0,1.0,1.0
107,ALCD1,1.0,1.0,1.0
108,ALCD21_D,1.0,1.0,1.0
109,ALCD21_L,1.0,1.0,1.0
110,ALCD22_D,1.0,1.0,1.0
111,ALCD22_L,1.0,1.0,1.0
112,ALDD20xm,1.0,1.0,1.0
113,ALOX12,1.0,1.0,1.0
114,ALOX5,1.0,1.0,1.0
115,ALOX52,1.0,1.0,1.0
116,ALR2,1.0,1.0,1.0
117,ALR3,1.0,1.0,1.0
118,AMACR2p,1.0,1.0,1.0
119,AMACR2r,1.0,1.0,1.0
120,AMACRp,1.0,1.0,1.0
121,AMACRr,1.0,1.0,1.0
122,AMANK,0.05620159732816847,1.0,1.0
123,AMPDA,1.0,1.0,1.0
124,AMPTASECG,1.0,1.0,1.0
125,AMPTASECGe,1.0,1.0,1.0
126,AP4AH1,1.0,1.0,1.0
127,APAT2rm,1.0,1.0,1.0
128,ARABR,1.0,1.0,1.0
129,ARACHCPT1,1.0,1.0,1.0
130,ARGDCm,1.0,1.0,1.0
131,ARGN,1.0,1.0,1.0
132,ARGNm,1.0,1.0,1.0
133,ARSA,1.0,1.0,1.0
134,ASAH1,1.0,1.0,1.0
135,ASNNm,1.0,1.0,1.0
136,ASNS1,1.0,1.0,1.0
137,ASP1DC,1.0,1.0,1.0
138,ASPCTr,1.0,1.0,1.0
139,ASPTA,1.0,1.0,1.0
140,ASPTAm,1.0,1.0,1.0
141,ATPasel,0.40596627617219744,1.0,1.0
142,ATPH1e,0.10925038564829485,1.0,1.0
143,ATPH2e,0.13464803750333446,1.0,1.0
144,ATPS4m,1.0,1.0,1.0
145,B3GALT3g,1.0,1.0,1.0
146,B3GALT41g,1.0,1.0,1.0
147,B3GALT42g,1.0,1.0,1.0
148,B3GALT43g,1.0,1.0,1.0
149,B3GALT44g,1.0,1.0,1.0
150,BAAT1x,1.0,1.0,1.0
151,BAAT2x,1.0,1.0,1.0
152,BAAT3x,1.0,1.0,1.0
153,BAAT4x,1.0,1.0,1.0
154,BACCL,1.0,1.0,1.0
155,BACCLm,1.0,1.0,1.0
156,BAMPPALDOX,1.0,1.0,1.0
157,BAMPPALDOXm,1.0,1.0,1.0
158,BBHOX,1.0,1.0,1.0
159,BCDO,0.028506334740571043,1.0,1.0
160,BDHm,1.0,1.0,1.0
161,BHMT,1.0,1.0,1.0
162,BPNT,1.0,1.0,1.0
163,BPNT2,1.0,1.0,1.0
164,BTND1,1.0,1.0,1.0
165,BTND1n,1.0,1.0,1.0
