,term,p,padj,q
0,Fatty acid oxidation,0.0267811403071698,,0.0
1,Nucleotide interconversion,0.051246127881015714,,0.0
2,Steroid metabolism,0.16422721553127956,,0.0
3,Inositol phosphate metabolism,0.3961281710899071,,0.0
4,Cholesterol metabolism,0.16422721553127956,,0.0
5,Pyrimidine catabolism,0.17133963007899558,,0.0
6,Urea cycle,0.13516467988819533,,0.0
7,Starch and sucrose metabolism,0.11270953824506563,,0.0
8,Triacylglycerol synthesis,0.16422721553127956,,0.0
9,Glyoxylate and dicarboxylate metabolism,0.19919178679143631,,0.0
10,Pyrimidine synthesis,0.04995119352831952,,0.0
11,Galactose metabolism,0.08967405089290549,,0.0
12,Oxidative phosphorylation,0.41143685957444165,,0.0
13,Keratan sulfate degradation,,,
14,Tyrosine metabolism,,,
15,Tryptophan metabolism,,,
16,Folate metabolism,,,
17,Chondroitin sulfate degradation,,,
18,Arginine and Proline Metabolism,,,
19,Pyruvate metabolism,,,
20,Aminosugar metabolism,,,
21,Purine catabolism,,,
22,Eicosanoid metabolism,,,
23,Pentose phosphate pathway,,,
24,Glutamate metabolism,,,
25,Histidine metabolism,,,
26,Glutathione metabolism,,,
27,Miscellaneous,,,
28,Hyaluronan metabolism,,,
29,N-glycan degradation,,,
30,Nucleotide salvage pathway,,,
31,Vitamin C metabolism,,,
32,"Transport, lysosomal",,,
