,term,p,padj,q
0,Fatty acid oxidation,0.13015363209717093,,0.0
1,Tyrosine metabolism,0.13820710550571982,,0.0
2,Steroid metabolism,0.09297947112708699,,0.0
3,Chondroitin synthesis,0.13015363209717093,,0.0
4,Pyrimidine catabolism,0.0971865276697283,,0.0
5,Purine catabolism,0.05861557673313598,,0.0
6,Oxidative phosphorylation,0.2505012140279043,,0.0
7,Vitamin B2 metabolism,0.031998188547662273,,0.0
8,CoA catabolism,0.01841095041212928,,0.0
9,Nucleotide interconversion,,,
10,Tryptophan metabolism,,,
11,Folate metabolism,,,
12,Pyruvate metabolism,,,
13,Aminosugar metabolism,,,
14,Eicosanoid metabolism,,,
15,Starch and sucrose metabolism,,,
16,Pentose phosphate pathway,,,
17,Triacylglycerol synthesis,,,
18,Glyoxylate and dicarboxylate metabolism,,,
19,Glutamate metabolism,,,
20,Histidine metabolism,,,
21,Glutathione metabolism,,,
22,Nucleotide salvage pathway,,,
23,Vitamin C metabolism,,,
24,Vitamin B6 metabolism,,,
