,term,p,padj,q
0,KEGG_MM_AMPK_SIGNALING_PATHWAY,0.08771028788320163,,0.0
1,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.020277560221515126,,0.0
2,KEGG_MM_ALDOSTERONE_SYNTHESIS_AND_SECRETION,0.19358210215759952,,0.0
3,KEGG_MM_APELIN_SIGNALING_PATHWAY,0.3188352038155497,,0.0
4,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,0.0004249553300743749,,0.0
5,KEGG_MM_BIOSYNTHESIS_OF_AMINO_ACIDS,0.12238339289430974,,0.0
6,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,0.7086069951524967,,0.0
7,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.033784325723628876,,0.0
8,KEGG_MM_BUTANOATE_METABOLISM,0.19231736494338553,,0.0
9,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,0.23717203363091427,,0.0
10,KEGG_MM_CARBON_METABOLISM,0.015026196313856634,,0.0
11,KEGG_MM_CENTRAL_CARBON_METABOLISM_IN_CANCER,0.10579385923821355,,0.0
12,KEGG_MM_CHOLINE_METABOLISM_IN_CANCER,0.5676137866273679,,0.0
13,KEGG_MM_CORTISOL_SYNTHESIS_AND_SECRETION,0.09774922880322684,,0.0
14,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,0.08447259134841081,,0.0
15,KEGG_MM_ETHER_LIPID_METABOLISM,0.3075334817617797,,0.0
16,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,0.12774320942327774,,0.0
17,KEGG_MM_FATTY_ACID_DEGRADATION,0.00073845615032896,,0.0
18,KEGG_MM_FATTY_ACID_METABOLISM,0.09248836862261624,,0.0
19,KEGG_MM_FOXO_SIGNALING_PATHWAY,0.6599191893042499,,0.0
20,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,0.03197279354318104,,0.0
21,KEGG_MM_GLUCAGON_SIGNALING_PATHWAY,0.04872816700314478,,0.0
22,KEGG_MM_GLUTATHIONE_METABOLISM,0.11400981907701242,,0.0
23,KEGG_MM_GLYCEROLIPID_METABOLISM,0.39093769774094494,,0.0
24,KEGG_MM_GLYCEROPHOSPHOLIPID_METABOLISM,0.5486815005598493,,0.0
25,KEGG_MM_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.28953559241230475,,0.0
26,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,0.09248836862261624,,0.0
27,KEGG_MM_GROWTH_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.07661088160949349,,0.0
28,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.21839109401291223,,0.0
29,KEGG_MM_HIPPO_SIGNALING_PATHWAY,0.730281896501504,,0.0
30,KEGG_MM_IL-17_SIGNALING_PATHWAY,0.49980931826421626,,0.0
31,KEGG_MM_INOSITOL_PHOSPHATE_METABOLISM,0.45508320917286993,,0.0
32,KEGG_MM_INSULIN_SIGNALING_PATHWAY,0.1064172917377466,,0.0
33,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,0.6851987395719527,,0.0
34,KEGG_MM_LINOLEIC_ACID_METABOLISM,0.0004841488749782454,,0.0
35,KEGG_MM_LONGEVITY_REGULATING_PATHWAY,0.16918643189008165,,0.0
36,KEGG_MM_METABOLIC_PATHWAYS,5.118981370619866e-06,,0.0
37,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.11400981907701242,,0.0
38,KEGG_MM_MUCIN_TYPE_O-GLYCAN_BIOSYNTHESIS,0.21946752030889707,,0.0
39,KEGG_MM_N-GLYCAN_BIOSYNTHESIS,0.34217886595194086,,0.0
40,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,0.5785914577282357,,0.0
41,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,0.730281896501504,,0.0
42,KEGG_MM_NUCLEOTIDE_METABOLISM,0.49980931826421626,,0.0
43,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,0.6657060293817485,,0.0
44,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,0.36515540153529263,,0.0
45,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,0.3031986217874922,,0.0
46,KEGG_MM_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.16422721553127956,,0.0
47,KEGG_MM_PARATHYROID_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.5821886698922868,,0.0
48,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,0.7458612986527946,,0.0
49,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.24570899951419511,,0.0
50,KEGG_MM_PHENYLALANINE_METABOLISM,0.15705403227625803,,0.0
51,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,0.7010034343482606,,0.0
52,KEGG_MM_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.1425232878752574,,0.0
53,KEGG_MM_PROPANOATE_METABOLISM,0.21946752030889707,,0.0
54,KEGG_MM_PURINE_METABOLISM,0.30006717373883807,,0.0
55,KEGG_MM_PYRIMIDINE_METABOLISM,0.07724533342858719,,0.0
56,KEGG_MM_PYRUVATE_METABOLISM,0.047517641695532575,,0.0
57,KEGG_MM_RNA_DEGRADATION,0.13377071051161413,,0.0
58,KEGG_MM_RAP1_SIGNALING_PATHWAY,0.5244964585821696,,0.0
59,KEGG_MM_RAS_SIGNALING_PATHWAY,0.8535541097472578,,0.0
60,KEGG_MM_RETINOL_METABOLISM,8.223300868330474e-06,,0.0
61,KEGG_MM_SELENOCOMPOUND_METABOLISM,0.12774320942327774,,0.0
62,KEGG_MM_SPHINGOLIPID_METABOLISM,0.35333946452040554,,0.0
63,KEGG_MM_SPHINGOLIPID_SIGNALING_PATHWAY,0.6419535095325548,,0.0
64,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,0.20600795975703745,,0.0
65,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,4.0413639321909114e-05,,0.0
66,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,0.010068344064020336,,0.0
67,KEGG_MM_TERPENOID_BACKBONE_BIOSYNTHESIS,0.17133963007899558,,0.0
68,KEGG_MM_THYROID_HORMONE_SIGNALING_PATHWAY,0.268627829557339,,0.0
69,KEGG_MM_THYROID_HORMONE_SYNTHESIS,0.12238339289430974,,0.0
70,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS,0.08967405089290549,,0.0
71,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.3750982947364544,,0.0
72,KEGG_MM_VARIOUS_TYPES_OF_N-GLYCAN_BIOSYNTHESIS,0.2834334104051665,,0.0
73,KEGG_MM_ALPHA-LINOLENIC_ACID_METABOLISM,0.17133963007899558,,0.0
74,KEGG_MM_BETA-ALANINE_METABOLISM,0.030201209069427006,,0.0
75,KEGG_MM_CAMP_SIGNALING_PATHWAY,0.5270945572845637,,0.0
76,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,0.41318664353307594,,0.0
77,KEGG_MM_MTOR_SIGNALING_PATHWAY,0.718446455959426,,0.0
78,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,,,
79,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,,,
80,KEGG_MM_ARGININE_AND_PROLINE_METABOLISM,,,
81,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,,,
82,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,,,
83,KEGG_MM_CAFFEINE_METABOLISM,,,
84,KEGG_MM_CHOLESTEROL_METABOLISM,,,
85,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,,,
86,KEGG_MM_FOLATE_BIOSYNTHESIS,,,
87,KEGG_MM_GALACTOSE_METABOLISM,,,
88,KEGG_MM_GLYCOSAMINOGLYCAN_DEGRADATION,,,
89,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES,,,
90,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_AND_ISOGLOBO_SERIES,,,
91,KEGG_MM_HISTIDINE_METABOLISM,,,
92,KEGG_MM_NITROGEN_METABOLISM,,,
93,KEGG_MM_OTHER_GLYCAN_DEGRADATION,,,
94,KEGG_MM_OTHER_TYPES_OF_O-GLYCAN_BIOSYNTHESIS,,,
95,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,,,
96,KEGG_MM_PORPHYRIN_METABOLISM,,,
97,KEGG_MM_PROLACTIN_SIGNALING_PATHWAY,,,
98,KEGG_MM_RIBOFLAVIN_METABOLISM,,,
99,KEGG_MM_SULFUR_METABOLISM,,,
100,KEGG_MM_TGF-BETA_SIGNALING_PATHWAY,,,
101,KEGG_MM_TNF_SIGNALING_PATHWAY,,,
102,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,,,
103,KEGG_MM_TRYPTOPHAN_METABOLISM,,,
104,KEGG_MM_TYROSINE_METABOLISM,,,
