,term,p,padj,q
0,KEGG_MM_AMPK_SIGNALING_PATHWAY,0.11148744388167271,,0.0
1,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.03978957943135738,,0.0
2,KEGG_MM_APELIN_SIGNALING_PATHWAY,0.46673849011882995,,0.0
3,KEGG_MM_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.14618662639514804,,0.0
4,KEGG_MM_C-TYPE_LECTIN_RECEPTOR_SIGNALING_PATHWAY,0.39793974026928014,,0.0
5,KEGG_MM_FATTY_ACID_DEGRADATION,0.2000284141921395,,0.0
6,KEGG_MM_FOXO_SIGNALING_PATHWAY,0.4438544949208072,,0.0
7,KEGG_MM_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE_HEPARIN,0.10554266954007874,,0.0
8,KEGG_MM_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.10554266954007874,,0.0
9,KEGG_MM_GROWTH_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,0.4172842284185998,,0.0
10,KEGG_MM_HIPPO_SIGNALING_PATHWAY,0.5097418415094129,,0.0
11,KEGG_MM_INSULIN_SIGNALING_PATHWAY,0.4642426620695852,,0.0
12,KEGG_MM_LINOLEIC_ACID_METABOLISM,4.710303131843929e-05,,0.0
13,KEGG_MM_LONGEVITY_REGULATING_PATHWAY,0.06176940897721884,,0.0
14,KEGG_MM_METABOLIC_PATHWAYS,0.09219092732618953,,0.0
15,KEGG_MM_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.03978957943135738,,0.0
16,KEGG_MM_NF-KAPPA_B_SIGNALING_PATHWAY,0.3750509181799677,,0.0
17,KEGG_MM_OXIDATIVE_PHOSPHORYLATION,0.4490225497051604,,0.0
18,KEGG_MM_PATHWAYS_OF_NEURODEGENERATION_MULTIPLE_DISEASES,0.6257763182185566,,0.0
19,KEGG_MM_PHOSPHOLIPASE_D_SIGNALING_PATHWAY,0.48147314448790735,,0.0
20,KEGG_MM_RETINOL_METABOLISM,0.0006653250004462889,,0.0
21,KEGG_MM_SPHINGOLIPID_METABOLISM,0.21112029811710367,,0.0
22,KEGG_MM_SPHINGOLIPID_SIGNALING_PATHWAY,0.4280601273753856,,0.0
23,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,2.4549828681873086e-05,,0.0
24,KEGG_MM_TAURINE_AND_HYPOTAURINE_METABOLISM,0.08024129356680888,,0.0
25,KEGG_MM_TYROSINE_METABOLISM,0.16192649838931356,,0.0
26,KEGG_MM_CGMP-PKG_SIGNALING_PATHWAY,0.5386433328817846,,0.0
27,KEGG_MM_MTOR_SIGNALING_PATHWAY,0.49815391085335176,,0.0
28,KEGG_MM_AGE-RAGE_SIGNALING_PATHWAY_IN_DIABETIC_COMPLICATIONS,,,
29,KEGG_MM_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM,,,
30,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,,,
31,KEGG_MM_ASCORBATE_AND_ALDARATE_METABOLISM,,,
32,KEGG_MM_BIOSYNTHESIS_OF_COFACTORS,,,
33,KEGG_MM_BIOSYNTHESIS_OF_NUCLEOTIDE_SUGARS,,,
34,KEGG_MM_CAFFEINE_METABOLISM,,,
35,KEGG_MM_CARBON_METABOLISM,,,
36,KEGG_MM_CHOLESTEROL_METABOLISM,,,
37,KEGG_MM_CYSTEINE_AND_METHIONINE_METABOLISM,,,
38,KEGG_MM_ESTROGEN_SIGNALING_PATHWAY,,,
39,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,,,
40,KEGG_MM_FATTY_ACID_METABOLISM,,,
41,KEGG_MM_FOLATE_BIOSYNTHESIS,,,
42,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,,,
43,KEGG_MM_GALACTOSE_METABOLISM,,,
44,KEGG_MM_GLUTATHIONE_METABOLISM,,,
45,KEGG_MM_GLYCEROLIPID_METABOLISM,,,
46,KEGG_MM_GLYCOLYSIS_GLUCONEOGENESIS,,,
47,KEGG_MM_HIF-1_SIGNALING_PATHWAY,,,
48,KEGG_MM_HISTIDINE_METABOLISM,,,
49,KEGG_MM_IL-17_SIGNALING_PATHWAY,,,
50,KEGG_MM_JAK-STAT_SIGNALING_PATHWAY,,,
51,KEGG_MM_NOD-LIKE_RECEPTOR_SIGNALING_PATHWAY,,,
52,KEGG_MM_NICOTINATE_AND_NICOTINAMIDE_METABOLISM,,,
53,KEGG_MM_NITROGEN_METABOLISM,,,
54,KEGG_MM_NUCLEOTIDE_METABOLISM,,,
55,KEGG_MM_OXYTOCIN_SIGNALING_PATHWAY,,,
56,KEGG_MM_PI3K-AKT_SIGNALING_PATHWAY,,,
57,KEGG_MM_PARATHYROID_HORMONE_SYNTHESIS_SECRETION_AND_ACTION,,,
58,KEGG_MM_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,,,
59,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,,,
60,KEGG_MM_PHENYLALANINE_METABOLISM,,,
61,KEGG_MM_PORPHYRIN_METABOLISM,,,
62,KEGG_MM_PURINE_METABOLISM,,,
63,KEGG_MM_PYRIMIDINE_METABOLISM,,,
64,KEGG_MM_RIBOFLAVIN_METABOLISM,,,
65,KEGG_MM_STARCH_AND_SUCROSE_METABOLISM,,,
66,KEGG_MM_TNF_SIGNALING_PATHWAY,,,
67,KEGG_MM_THYROID_HORMONE_SIGNALING_PATHWAY,,,
68,KEGG_MM_THYROID_HORMONE_SYNTHESIS,,,
69,KEGG_MM_TOLL-LIKE_RECEPTOR_SIGNALING_PATHWAY,,,
70,KEGG_MM_TRYPTOPHAN_METABOLISM,,,
71,KEGG_MM_UBIQUINONE_AND_OTHER_TERPENOID-QUINONE_BIOSYNTHESIS,,,
72,KEGG_MM_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,,,
73,KEGG_MM_VITAMIN_B6_METABOLISM,,,
74,KEGG_MM_BETA-ALANINE_METABOLISM,,,
75,KEGG_MM_CAMP_SIGNALING_PATHWAY,,,
