,term,p,padj,q
99,KEGG_MM_RETINOL_METABOLISM,2.826623923072232e-06,0.00030875056083396824,0.0003087505608339682
61,KEGG_MM_LINOLEIC_ACID_METABOLISM,5.469945133945469e-06,0.00030875056083396824,0.0003087505608339682
9,KEGG_MM_ARACHIDONIC_ACID_METABOLISM,7.351203829380195e-06,0.00030875056083396824,0.0003087505608339682
106,KEGG_MM_STEROID_HORMONE_BIOSYNTHESIS,1.9596364763465425e-05,0.0006172854900491609,0.0006172854900491608
66,KEGG_MM_METABOLIC_PATHWAYS,6.255112637747034e-05,0.0015762883847122526,0.0015762883847122526
32,KEGG_MM_FATTY_ACID_DEGRADATION,0.0004959075929927022,0.010414059452846748,0.010414059452846746
31,KEGG_MM_FATTY_ACID_BIOSYNTHESIS,0.005986388752407897,0.10062785535262021,0.10062785535262021
54,KEGG_MM_HIF-1_SIGNALING_PATHWAY,0.006389070181118743,0.10062785535262021,0.10062785535262021
21,KEGG_MM_CARBON_METABOLISM,0.00877782339165975,0.12094792475428463,0.12094792475428462
33,KEGG_MM_FATTY_ACID_METABOLISM,0.010119373248247278,0.12094792475428463,0.12094792475428462
81,KEGG_MM_PANTOTHENATE_AND_COA_BIOSYNTHESIS,0.01055894581188199,0.12094792475428463,0.12094792475428462
85,KEGG_MM_PENTOSE_PHOSPHATE_PATHWAY,0.013846466703658704,0.1342419566560202,0.1342419566560202
3,KEGG_MM_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.013850360607367164,0.1342419566560202,0.1342419566560202
122,KEGG_MM_BETA-ALANINE_METABOLISM,0.02297436126124785,0.20676925135123064,0.20676925135123064
36,KEGG_MM_FRUCTOSE_AND_MANNOSE_METABOLISM,0.025931650208166138,0.21782586174859556,0.21782586174859556
121,KEGG_MM_VITAMIN_B6_METABOLISM,0.05358179164994021,0.38081524773399317,0.38081524773399317
94,KEGG_MM_PYRIMIDINE_METABOLISM,0.054402178247713304,0.38081524773399317,0.38081524773399317
