,term,p,padj,q
0,Fatty acid oxidation,2.8067949510102537e-06,0.0002189300061787998,0.0002189300061787998
1,Nucleotide interconversion,1.0,1.0,1.0
2,Keratan sulfate degradation,1.0,1.0,1.0
3,Sphingolipid metabolism,1.0,1.0,1.0
4,Tyrosine metabolism,1.0,1.0,1.0
5,Keratan sulfate synthesis,1.0,1.0,1.0
6,Steroid metabolism,1.0,1.0,1.0
7,Chondroitin synthesis,0.18507315387669038,1.0,1.0
8,Tryptophan metabolism,1.0,1.0,1.0
9,Glycerophospholipid metabolism,1.0,1.0,1.0
10,Inositol phosphate metabolism,1.0,1.0,1.0
11,Folate metabolism,1.0,1.0,1.0
12,"Valine, leucine, and isoleucine metabolism",1.0,1.0,1.0
13,Chondroitin sulfate degradation,1.0,1.0,1.0
14,Cholesterol metabolism,0.01055894581188199,0.20589944333169882,0.20589944333169882
15,Arginine and Proline Metabolism,1.0,1.0,1.0
16,Bile acid synthesis,1.0,1.0,1.0
17,Fatty acid synthesis,1.0,1.0,1.0
18,"Glycine, serine, alanine and threonine metabolism",1.0,1.0,1.0
19,Pyrimidine catabolism,0.009551729760283185,0.20589944333169882,0.20589944333169882
20,Blood group synthesis,1.0,1.0,1.0
21,Pyruvate metabolism,1.0,1.0,1.0
22,Aminosugar metabolism,1.0,1.0,1.0
23,Heparan sulfate degradation,1.0,1.0,1.0
24,Urea cycle,0.1113350952968409,1.0,1.0
25,Purine catabolism,1.0,1.0,1.0
26,Eicosanoid metabolism,1.0,1.0,1.0
27,Methionine and cysteine metabolism,1.0,1.0,1.0
28,Lysine metabolism,1.0,1.0,1.0
29,Starch and sucrose metabolism,1.0,1.0,1.0
30,Pentose phosphate pathway,1.0,1.0,1.0
31,NAD metabolism,1.0,1.0,1.0
32,beta-Alanine metabolism,1.0,1.0,1.0
33,Triacylglycerol synthesis,0.13888546518807052,1.0,1.0
34,Glyoxylate and dicarboxylate metabolism,0.01625228141366368,0.25353559005315346,0.2535355900531534
35,Glutamate metabolism,1.0,1.0,1.0
36,Alanine and aspartate metabolism,1.0,1.0,1.0
37,Histidine metabolism,1.0,1.0,1.0
38,Selenoamino acid metabolism,1.0,1.0,1.0
39,Tetrahydrobiopterin metabolism,1.0,1.0,1.0
40,Glutathione metabolism,1.0,1.0,1.0
41,Propanoate metabolism,1.0,1.0,1.0
42,Biotin metabolism,1.0,1.0,1.0
43,Limonene and pinene degradation,1.0,1.0,1.0
44,Phenylalanine metabolism,1.0,1.0,1.0
45,ROS detoxification,1.0,1.0,1.0
46,Glycolysis/gluconeogenesis,1.0,1.0,1.0
47,Pyrimidine synthesis,1.0,1.0,1.0
48,Heme synthesis,1.0,1.0,1.0
49,Galactose metabolism,0.08290973239300552,1.0,1.0
50,Purine synthesis,1.0,1.0,1.0
51,"Transport, extracellular",1.0,1.0,1.0
52,Miscellaneous,1.0,1.0,1.0
53,Hyaluronan metabolism,1.0,1.0,1.0
54,Fructose and mannose metabolism,0.0032007379928601686,0.12482878172154657,0.12482878172154657
55,C5-branched dibasic acid metabolism,1.0,1.0,1.0
56,Oxidative phosphorylation,0.3816041992158988,1.0,1.0
57,N-glycan degradation,1.0,1.0,1.0
58,Vitamin B2 metabolism,1.0,1.0,1.0
59,Butanoate metabolism,1.0,1.0,1.0
60,Vitamin C metabolism,1.0,1.0,1.0
61,Cytochrome metabolism,1.0,1.0,1.0
62,Vitamin B6 metabolism,1.0,1.0,1.0
63,Taurine and hypotaurine metabolism,1.0,1.0,1.0
64,Phosphatidylinositol phosphate metabolism,1.0,1.0,1.0
65,"Transport, mitochondrial",1.0,1.0,1.0
66,Nucleotide sugar metabolism,1.0,1.0,1.0
67,Alkaloid synthesis,1.0,1.0,1.0
68,CoA synthesis,1.0,1.0,1.0
69,O-glycan synthesis,1.0,1.0,1.0
70,Ubiquinone synthesis,1.0,1.0,1.0
71,CoA catabolism,1.0,1.0,1.0
72,Citric acid cycle,1.0,1.0,1.0
73,"Transport, lysosomal",1.0,1.0,1.0
74,Vitamin B12 metabolism,1.0,1.0,1.0
75,N-glycan synthesis,1.0,1.0,1.0
76,D-alanine metabolism,1.0,1.0,1.0
77,Thiamine metabolism,1.0,1.0,1.0
