query,entrezgene,name,symbol,alias,taxid,MGI
66050,66050,RIKEN cDNA 0610009B22 gene,0610009B22Rik,,10090,MGI:1913300
104457,104457,RIKEN cDNA 0610010K14 gene,0610010K14Rik,"1110020A23Rik, Bap18",10090,MGI:1915609
106264,106264,RIKEN cDNA 0610012G03 gene,0610012G03Rik,,10090,MGI:1913301
68364,68364,RIKEN cDNA 0610030E20 gene,0610030E20Rik,"1500031N04Rik, 2810411C16Rik",10090,MGI:1915614
70345,70345,RIKEN cDNA 0610038B21 gene,0610038B21Rik,,10090,MGI:1917595
68386,68386,RIKEN cDNA 0610039K10 gene,0610039K10Rik,,10090,MGI:1915636
67672,67672,RIKEN cDNA 0610040B10 gene,0610040B10Rik,,10090,MGI:1914922
76261,76261,RIKEN cDNA 0610040J01 gene,0610040J01Rik,,10090,MGI:1923511
100043040,100043040,RIKEN cDNA 1110002L01 gene,1110002L01Rik,,10090,MGI:1915821
56372,56372,RIKEN cDNA 1110004F10 gene,1110004F10Rik,"Smacp, Smap, sid2057, sid2057p",10090,MGI:1929274
66123,66123,RIKEN cDNA 1110006O24 gene,1110006O24Rik,,10090,MGI:1913373
73721,73721,RIKEN cDNA 1110017D15 gene,1110017D15Rik,"Cbe1, Smrp1",10090,MGI:1920971
68531,68531,RIKEN cDNA 1110020A21 gene,1110020A21Rik,2600015P10Rik,10090,MGI:1915781
68721,68721,RIKEN cDNA 1110032A03 gene,1110032A03Rik,"4930500N06Rik, c11orf1",10090,MGI:1915971
68725,68725,RIKEN cDNA 1110032F04 gene,1110032F04Rik,,10090,MGI:1915975
68763,68763,RIKEN cDNA 1110038B12 gene,1110038B12Rik,"0610009C20Rik, 0910001G04Rik",10090,MGI:1916013
117171,117171,RIKEN cDNA 1110038F14 gene,1110038F14Rik,,10090,MGI:2152337
66206,66206,RIKEN cDNA 1110059E24 gene,1110059E24Rik,,10090,MGI:1913456
66202,66202,RIKEN cDNA 1110059G10 gene,1110059G10Rik,,10090,MGI:1913452
68920,68920,RIKEN cDNA 1110065P20 gene,1110065P20Rik,C530005M16Rik,10090,MGI:1916170
68918,68918,RIKEN cDNA 1190005I06 gene,1190005I06Rik,,10090,MGI:1916168
544717,544717,RIKEN cDNA 1190007I07 gene,1190007I07Rik,Brawnin,10090,MGI:3698433
319830,319830,RIKEN cDNA 1500004A13 gene,1500004A13Rik,5430404N14Rik,10090,MGI:2442808
69784,69784,RIKEN cDNA 1500009L16 gene,1500009L16Rik,"2700050C19Rik, OCC-1",10090,MGI:1917034
66236,66236,RIKEN cDNA 1500011B03 gene,1500011B03Rik,,10090,MGI:1913486
