gene_id,length,symbol
100270707,1878,GM14379
100270744,3520,BTBD18
394252,1164,SERPINB3D
394430,3242,UGT1A10
394432,3294,UGT1A7C
394433,3208,UGT1A5
394434,3216,UGT1A9
394436,3229,UGT1A1
263406,12431,PLEKHG3
263764,5799,CREG2
100271704,638,GM17660
263803,4114,PKN3
100009600,1842,ZGLP1
100009609,2538,VMN2R65
100009614,553,GM10024
263876,5177,SPATA2
100271841,2456,UCKL1OS
100271882,1728,GM14139
100271928,951,GM15881
264064,3123,CDK8
264134,4331,TTC26
100272219,1696,AA543186
100272221,1405,GM17801
264895,3069,ACSF2
396184,5861,FLRT1
266459,1641,EIF1AD15
266614,1366,LY6G5B
266620,468,DEFB36
790911,3627,SLC13A2OS
790912,2187,RAB11FIP4OS1
266632,3151,IRAK4
266645,2303,ACMSD
266690,5380,CYB5R4
266692,5698,CPNE1
266744,1903,LGSN
791069,97,MIR301B
791070,100,MIR744
791071,81,MIR758
791072,98,MIR551B
791073,76,MIR762
791074,97,MIR802
791075,76,MIR761
791076,120,MIR763
791077,119,MIR760
266781,1941,SNX17
791079,94,MIR770
791080,98,MIR759
791081,108,MIR764
266793,74,SNORD87
266815,2489,MILL1
791260,1419,TOMT
791299,5024,GM10069
791307,2730,GM10248
267019,5134,RPS15A
791318,5742,GM10125
791338,1686,GM10190
791359,540,GM9961
791378,2005,GM10280
791383,1417,GM9962
791403,828,MHRT
791417,1997,GM14164
791422,2220,GM11426
791423,3414,GM11190
399101,437,SNHG3
268281,13144,SHPRH
268288,3976,SAMD3
268291,2860,RNF217
268294,5390,ZBTB24
268297,6247,SCML4
268301,4512,SOWAHC
268319,2065,BC025920
268345,9058,KCNC2
268354,4385,TAFA2
268373,854,PPIA
268379,19780,ABCA13
268390,3790,AHSA2
268395,2289,MPG
268396,11427,SH3PXD2B
268417,5201,ZKSCAN17
268420,6025,ALKBH5
399510,6506,MAP4K5
268445,7395,ANKRD13B
268448,5245,PHF12
268449,560,RPL23A
268451,3145,RAB11FIP4
268465,2228,EME1
268469,2732,ZFP652
268470,3969,UBE2Z
399548,4244,SCN4B
399549,1405,H2-M10.6
268480,4261,RAPGEFL1
268481,2959,KRT222
268482,1854,KRT12
399558,7097,FLRT2
268490,1224,LSM12
268491,4573,MEIOC
399566,2405,BTBD6
399568,2876,CDIN1
268498,1078,E030025P04RIK
268510,4607,MGAT5B
268512,4018,SLC26A11
268515,14095,BAHCC1
399591,900,TMSB15L
399599,3163,CCDC87
268527,8757,GREB1
399603,5563,LRATD2
268534,2553,SNTG2
268564,6122,ZBTB1
268566,3399,GPHN
268567,7462,TMEM229B
268591,2162,SERPINA5
268595,6133,D430019H16RIK
399673,1093,TDPOZ2
399674,1098,TDPOZ3
399675,1113,TDPOZ4
399676,1023,TDPOZ5
268656,2568,SPTLC1
268663,4127,CDHR2
268670,3482,ZFP759
268686,300,S100Z
268697,2316,CCNB1
268706,11760,SLC38A9
268709,3389,FAM107A
268721,8873,ZSWIM8
268739,9711,ARHGEF40
268741,7213,TOX4
268747,4915,CARMIL3
268749,3497,RNF31
268752,4605,WDFY2
268756,2265,GULO
268759,2090,9930012K11RIK
268780,6045,EGFLAM
268782,2106,AGXT2
268783,4806,MTMR12
268807,2212,KLHL38
268816,6985,MROH5
268822,2690,ADCK5
268857,4198,NLRC3
268859,6405,RBFOX1
268860,8109,ABAT
268878,4598,ATP13A5
268880,3111,XXYLT1
268882,4046,FBXO45
268885,414,STFA2L1
268890,5260,LSAMP
268902,13602,ROBO2
268903,4662,NRIP1
268905,750,KRTAP13-1
268930,4054,PKMYT1
268932,7186,CASKIN1
268933,3099,WDR24
268934,4422,GRM4
268935,4914,SCUBE3
268936,9128,BRPF3
268949,2608,MUCL3
268958,2575,CAPN11
268970,5530,ARHGAP28
268973,5897,NLRC4
268977,7225,LTBP1
268980,4074,STRN
268996,4484,SS18
269003,5725,SAP130
269016,4784,SH3RF2
269019,3765,STK32A
269023,14105,ZFP608
269033,6613,4930503L19RIK
269037,6480,CTIF
269053,3924,GPR152
269060,5823,DAGLA
269061,6246,CPSF7
269063,945,MS4A5
269109,4630,DPP10
269113,2638,NUP54
269116,10748,NFASC
269120,2378,OPTC
269132,4208,COLGALT2
269152,8104,KIF26B
269180,10664,INPP4A
269181,7612,MGAT4A
269198,13986,NBEAL1
269209,5977,STK36
269224,8373,PASK
269233,4188,FAM171A1
269252,9231,GTF3C4
269254,12107,SETX
269261,638,RPL12
269275,9049,ACVR1C
269295,1263,RTN4RL2
269328,2871,MUC15
269336,2410,CCDC32
269338,4450,VPS39
269344,1934,ELL3
269346,3998,SLC28A2
269356,3201,SLC4A11
269378,2541,AHCY
269389,1675,TOX2
269397,4369,SS18L1
269400,5804,RTEL1
269401,6181,ZFP512B
269423,3700,ABHD18
269424,5952,JADE1
269437,10520,PLCH1
269470,5744,WDR3
269473,10544,LRIG2
269513,6976,NKAIN3
269514,4011,FBXL4
269523,3315,VCP
269529,5079,FBXO10
269536,4203,TEX10
269582,7421,CLSPN
269585,5806,ZSCAN20
269587,15274,EPB41
269589,2903,SYTL1
269593,8092,LUZP1
269604,4762,GPR157
269608,6638,PLEKHG5
269610,9549,CHD5
269614,3030,PANK4
269615,6993,PLCH2
269623,2518,RBM48
269629,5368,LHFPL3
269633,1786,WDR86
269637,3450,CNPY1
269639,3449,ZFP512
269642,6529,NAT8L
269643,4031,PPP2R2C
269682,7715,GOLGA3
269693,2662,CCDC60
269695,5087,RNFT2
269702,9965,MPHOSPH9
269704,4078,ZFP664
269713,4995,CLIP2
269717,4020,ORAI2
269774,19978,AAK1
269784,6969,CNTN4
269788,4765,LHFPL4
269799,1548,CLEC4A1
269800,9204,ZFP384
269823,2070,PON3
269831,2490,TSPAN12
269854,1847,NAT14
269855,4260,SSC5D
269862,954,OR10AM5
269870,13090,ZFP446
269878,10407,MEGF8
269881,4678,MAP3K10
269902,2592,VMN2R57
269941,4176,CHSY1
269951,1899,IDH2
269952,3520,GDPGP1
269954,5081,TTLL13
269955,2634,RCCD1
269959,7285,ADAMTSL3
269966,12517,NUP98
269994,3924,GSG1L
269997,2684,ZFP747
269999,2141,ORAI3
270004,2591,FOXI2
270028,3671,NALF1
270035,7381,LETM2
270049,3608,GALNTL6
